UrugalYu Uru(N8)+galYu_#_PL
Urannu Uru(N8)+rannu_ru_ACC
UrugalYannu Uru(N8)+galYu_#_PL+lYannu_lYu_ACC 
UriMxa Uru(N8)+riMxa_ru_INS
UrugalYiMxa Uru(N8)+galYu_#_PL+lYiMxa_lYu_INS
UrigeV Uru(N8)+rigeV_ru_DAT
UrugalYigeV Uru(N8)+galYu_#_PL+lYigeV_lYu_DAT
UriMxa Uru(N8)+riMxa_ru_ABL
UrugalYiMxa Uru(N8)+galYu_#_PL+lYiMxa_lYu_ABL
Ura Uru(N8)+ra_ru_GEN
UrugalYa Uru(N8)+galYu_#_PL+lYa_lYu_GEN
Uralli Uru(N8)+ralli_ru_LOC
UrugalYalli Uru(N8)+galYu_#_PL+lYalli_lYu_LOC
Ure Uru(N8)+re_ru_VOC
UrugalYe Uru(N8)+galYu_#_PL+lYe_lYu_VOC
Urigoskara Uru(N8)+rigoskara_ru_BEN
UrugalYigoskara Uru(N8)+galYu_#_PL+lYigoskara_lYu_BEN
Urigoskara Uru(N8)+rigoskara_ru_PUR
UrugalYigoskara Uru(N8)+galYu_#_PL+lYigoskara_lYu_PUR
UrigAgi Uru(N8)+rigAgi_ru_BEN
UrugalYigAgi Uru(N8)+galYu_#_PL+lYigAgi_lYu_BEN
UrigAgi Uru(N8)+rigAgi_ru_PUR
UrugalYigAgi Uru(N8)+galYu_#_PL+lYigAgi_lYu_PUR
Urigosuga Uru(N8)+rigosuga_ru_BEN
UrugalYigosuga Uru(N8)+galYu_#_PL+lYigosuga_lYu_BEN
Urigosuga Uru(N8)+rigosuga_ru_PUR
UrugalYigosuga Uru(N8)+galYu_#_PL+lYigosuga_lYu_PUR
UrigiMwa Uru(N8)+rigiMwa_ru_COMP
UrugalYigiMwa Uru(N8)+galYu_#_PL+lYigiMwa_lYu_COMP
UraMweV Uru(N8)+raMweV_ru_SIM
UrugalYaMweV Uru(N8)+galYu_#_PL+lYaMweV_lYu_SIM
UraMwa Uru(N8)+raMwa_ru_SIM
UrugalYaMwa Uru(N8)+galYu_#_PL+lYaMwa_lYu_SIM
UraMwaha Uru(N8)+raMwaha_ru_SIM
UrugalYaMwaha Uru(N8)+galYu_#_PL+lYaMwaha_lYu_SIM
UroVdaneV Uru(N8)+roVdaneV_ru_SOC
UrugalYoVdaneV Uru(N8)+galYu_#_PL+lYoVdaneV_lYu_SOC
UroVMxigeV Uru(N8)+roVMxigeV_ru_SOC
UrugalYoVMxigeV Uru(N8)+galYu_#_PL+lYoVMxigeV_lYu_SOC
UrA Uru(N8)+rA_ru_INTR
UrU Uru(N8)+rU_ru_INCL
Uro Uru(N8)+ro_ru_DUB
Uro Uru(N8)+ro_ru_INDF
Uro Uru(N8)+ro_ru_PRES
Ure Uru(N8)+re_ru_IMPH
Ure Uru(N8)+re_ru_DECL
Ure Uru(N8)+re_ru_RIS
UrannA Uru(N8)+rannu_ru_ACC+annA_annu_INTR
UrannU Uru(N8)+rannu_ru_ACC+annU_annu_INCL
Uranno Uru(N8)+rannu_ru_ACC+anno_annu_DUB
Uranno Uru(N8)+rannu_ru_ACC+anno_annu_INDF
Uranno Uru(N8)+rannu_ru_ACC+anno_annu_PRES
Uranne Uru(N8)+rannu_ru_ACC+anne_annu_IMPH
Uranne Uru(N8)+rannu_ru_ACC+anne_annu_DECL
Uranne Uru(N8)+rannu_ru_ACC+anne_annu_RIS
UriMxalA Uru(N8)+riMxa_ru_INS+lA_#_INTR
UriMxalU Uru(N8)+riMxa_ru_INS+lU_#_INCL
UriMxalo Uru(N8)+riMxa_ru_INS+lo_#_DUB
UriMxalo Uru(N8)+riMxa_ru_INS+lo_#_INDF
UriMxalo Uru(N8)+riMxa_ru_INS+lo_#_PRES
UriMxale Uru(N8)+riMxa_ru_INS+le_#_IMPH
UriMxale Uru(N8)+riMxa_ru_INS+le_#_DECL
UriMxale Uru(N8)+riMxa_ru_INS+le_#_RIS
UrigA Uru(N8)+rigeV_ru_DAT+rigA_rigeV_INTR
UrigU Uru(N8)+rigeV_ru_DAT+rigU_rigeV_INCL
Urigo Uru(N8)+rigeV_ru_DAT+rigo_rigeV_DUB
Urigo Uru(N8)+rigeV_ru_DAT+rigo_rigeV_INDF
Urigo Uru(N8)+rigeV_ru_DAT+rigo_rigeV_PRES
Urige Uru(N8)+rigeV_ru_DAT+rige_rigeV_IMPH
Urige Uru(N8)+rigeV_ru_DAT+rige_rigeV_DECL
Urige Uru(N8)+rigeV_ru_DAT+rige_rigeV_RIS
UriMxalA Uru(N8)+riMxa_ru_ABL+lA_#_INTR
UriMxalU Uru(N8)+riMxa_ru_ABL+lU_#_INCL
UriMxalo Uru(N8)+riMxa_ru_ABL+lo_#_DUB
UriMxalo Uru(N8)+riMxa_ru_ABL+lo_#_INDF
UriMxalo Uru(N8)+riMxa_ru_ABL+lo_#_PRES
UriMxale Uru(N8)+riMxa_ru_ABL+le_#_IMPH
UriMxale Uru(N8)+riMxa_ru_ABL+le_#_DECL
UriMxale Uru(N8)+riMxa_ru_ABL+le_#_RIS
UralliyA Uru(N8)+ralli_ru_LOC+yA_#_INTR
UralliyU Uru(N8)+ralli_ru_LOC+yU_#_INCL
Uralliyo Uru(N8)+ralli_ru_LOC+yo_#_DUB
Uralliyo Uru(N8)+ralli_ru_LOC+yo_#_INDF
Uralliyo Uru(N8)+ralli_ru_LOC+yo_#_PRES
Uralliye Uru(N8)+ralli_ru_LOC+ye_#_IMPH
Uralliye Uru(N8)+ralli_ru_LOC+ye_#_DECL
Uralliye Uru(N8)+ralli_ru_LOC+ye_#_RIS
UrugalYA Uru(N8)+galYu_#_NOM+lYA_lYu_INTR
UrugalYU Uru(N8)+galYu_#_NOM+lYU_lYu_INCL
UrugalYo Uru(N8)+galYu_#_NOM+lYo_lYu_DUB
UrugalYo Uru(N8)+galYu_#_NOM+lYo_lYu_INDF
UrugalYo Uru(N8)+galYu_#_NOM+lYo_lYu_PRES
UrugalYe Uru(N8)+galYu_#_NOM+lYe_lYu_IMPH
UrugalYe Uru(N8)+galYu_#_NOM+lYe_lYu_DECL
UrugalYe Uru(N8)+galYu_#_NOM+lYe_lYu_RIS
UrugalYannA Uru(N8)+galYu_#_ACC+lYannA_lYu_INTR
UrugalYannU Uru(N8)+galYu_#_ACC+lYannU_lYu_INCL
UrugalYanno Uru(N8)+galYu_#_ACC+lYanno_lYu_DUB
UrugalYanno Uru(N8)+galYu_#_ACC+lYanno_lYu_INDF
UrugalYanno Uru(N8)+galYu_#_ACC+lYanno_lYu_PRES
UrugalYanne Uru(N8)+galYu_#_ACC+lYanne_lYu_IMPH
UrugalYanne Uru(N8)+galYu_#_ACC+lYanne_lYu_DECL
UrugalYanne Uru(N8)+galYu_#_ACC+lYanne_lYu_RIS
UrugalYiMxalA Uru(N8)+galYu_#_INS+lYiMxalA_lYu_INTR
UrugalYiMxalU Uru(N8)+galYu_#_INS+lYiMxalU_lYu_INCL
UrugalYiMxalo Uru(N8)+galYu_#_INS+lYiMxalo_lYu_DUB
UrugalYiMxalo Uru(N8)+galYu_#_INS+lYiMxalo_lYu_INDF
UrugalYiMxalo Uru(N8)+galYu_#_INS+lYiMxalo_lYu_PRES
UrugalYiMxale Uru(N8)+galYu_#_INS+lYiMxale_lYu_IMPH
UrugalYiMxale Uru(N8)+galYu_#_INS+lYiMxale_lYu_DECL
UrugalYiMxale Uru(N8)+galYu_#_INS+lYiMxale_lYu_RIS
UrugalYigA Uru(N8)+galYu_#_DAT+lYigA_lYu_INTR
UrugalYigU Uru(N8)+galYu_#_DAT+lYigU_lYu_INCL
UrugalYigo Uru(N8)+galYu_#_DAT+lYigo_lYu_DUB
UrugalYigo Uru(N8)+galYu_#_DAT+lYigo_lYu_INDF
UrugalYigo Uru(N8)+galYu_#_DAT+lYigo_lYu_PRES
UrugalYige Uru(N8)+galYu_#_DAT+lYige_lYu_IMPH
UrugalYige Uru(N8)+galYu_#_DAT+lYige_lYu_DECL
UrugalYige Uru(N8)+galYu_#_DAT+lYige_lYu_RIS
