ajjiyu ajji(N10)+yu_#_NOM
ajjiyaMxiru ajji(N10)+yaMxiru_#_PL
ajjiyannu ajji(N10)+yannu_#_ACC
ajjiyaMxirannu ajji(N10)+yaMxiru_#_PL+rannu_ru_ACC 
ajjiyiMxa ajji(N10)+yiMxa_#_INS
ajjiyaMxiriMxa ajji(N10)+yaMxiru_#_PL+riMxa_ru_INS
ajjigeV ajji(N10)+geV_#_DAT
ajjiyaMxirigeV ajji(N10)+yaMxiru_#_PL+rigeV_ru_DAT
ajjiyiMxa ajji(N10)+yiMxa_#_ABL
ajjiyaMxiriMxa ajji(N10)+yaMxiru_#_PL+riMxa_ru_ABL
ajjiya ajji(N10)+ya_#_GEN
ajjiyaMxira ajji(N10)+yaMxiru_#_PL+ra_ru_GEN
ajjiyalli ajji(N10)+yalli_#_LOC
ajjiyaMxiralli ajji(N10)+yaMxiru_#_PL+ralli_ru_LOC
ajjI ajji(N10)+ajjI_ajji_VOC
ajjiyaMxire ajji(N10)+yaMxiru_#_PL+re_ru_VOC
ajjigoskara ajji(N10)+goskara_#_BEN
ajjiyaMxirigoskara ajji(N10)+yaMxiru_#_PL+rigoskara_ru_BEN
ajjigoskara ajji(N10)+goskara_#_PUR
ajjiyaMxirigoskara ajji(N10)+yaMxiru_#_PL+rigoskara_ru_PUR
ajjigAgi ajji(N10)+gAgi_#_BEN
ajjiyaMxirigAgi ajji(N10)+yaMxiru_#_PL+rigAgi_ru_BEN
ajjigAgi ajji(N10)+gAgi_#_PUR
ajjiyaMxirigAgi ajji(N10)+yaMxiru_#_PL+rigAgi_ru_PUR
ajjigosuga ajji(N10)+gosuga_#_BEN
ajjiyaMxirigosuga ajji(N10)+yaMxiru_#_PL+rigosuga_ru_BEN
ajjigosuga ajji(N10)+gosuga_#_PUR
ajjiyaMxirigosuga ajji(N10)+yaMxiru_#_PL+rigosuga_ru_PUR
ajjigiMwa ajji(N10)+giMwa_#_COMP
ajjiyaMxirigiMwa ajji(N10)+yaMxiru_#_PL+rigiMwa_ru_COMP
ajjiyaMweV ajji(N10)+yaMweV_#_SIM
ajjiyaMxiraMweV ajji(N10)+yaMxiru_#_PL+raMweV_ru_SIM
ajjiyaMwa ajji(N10)+yaMwa_#_SIM
ajjiyaMxiraMwa ajji(N10)+yaMxiru_#_PL+raMwa_ru_SIM
ajjiyaMwaha ajji(N10)+yaMwaha_#_SIM
ajjiyaMxiraMwaha ajji(N10)+yaMxiru_#_PL+raMwaha_ru_SIM
ajjiyoVdaneV ajji(N10)+yoVdaneV_#_SOC
ajjiyaMxiroVdaneV ajji(N10)+yaMxiru_#_PL+roVdaneV_ru_SOC
ajjiyoVMxigeV ajji(N10)+yoVMxigeV_#_SOC
ajjiyaMxiroVMxigeV ajji(N10)+yaMxiru_#_PL+roVMxigeV_ru_SOC
ajjiyA ajji(N10)+yu_#_NOM+yA_yu_INTR
ajjiyU ajji(N10)+yu_#_NOM+yU_yu_INCL
ajjiyo ajji(N10)+yu_#_NOM+yo_yu_DUB
ajjiyo ajji(N10)+yu_#_NOM+yo_yu_INDF
ajjiyo ajji(N10)+yu_#_NOM+yo_yu_PRES
ajjiye ajji(N10)+yu_#_NOM+ye_yu_IMPH
ajjiye ajji(N10)+yu_#_NOM+ye_yu_DECL
ajjiye ajji(N10)+yu_#_NOM+ye_yu_RIS
ajjiyannA ajji(N10)+yannu_#_ACC+nnA_nnu_INTR
ajjiyannU ajji(N10)+yannu_#_ACC+nnU_nnu_INCL
ajjiyanno ajji(N10)+yannu_#_ACC+nno_nnu_DUB
ajjiyanno ajji(N10)+yannu_#_ACC+nno_nnu_INDF
ajjiyanno ajji(N10)+yannu_#_ACC+nno_nnu_PRES
ajjiyanne ajji(N10)+yannu_#_ACC+nne_nnu_IMPH
ajjiyanne ajji(N10)+yannu_#_ACC+nne_nnu_DECL
ajjiyanne ajji(N10)+yannu_#_ACC+nne_nnu_RIS
ajjiyiMxalA ajji(N10)+yiMxa_#_INS+lA_#_INTR
ajjiyiMxalU ajji(N10)+yiMxa_#_INS+lU_#_INCL
ajjiyiMxalo ajji(N10)+yiMxa_#_INS+lo_#_DUB
ajjiyiMxalo ajji(N10)+yiMxa_#_INS+lo_#_INDF
ajjiyiMxalo ajji(N10)+yiMxa_#_INS+lo_#_PRES
ajjiyiMxale ajji(N10)+yiMxa_#_INS+le_#_IMPH
ajjiyiMxale ajji(N10)+yiMxa_#_INS+le_#_DECL
ajjiyiMxale ajji(N10)+yiMxa_#_INS+le_#_RIS
ajjigA ajji(N10)+geV_#_DAT+gA_geV_INTR
ajjigU ajji(N10)+geV_#_DAT+gU_geV_INCL
ajjigo ajji(N10)+geV_#_DAT+go_geV_DUB
ajjigo ajji(N10)+geV_#_DAT+go_geV_INDF
ajjigo ajji(N10)+geV_#_DAT+go_geV_PRES
ajjige ajji(N10)+geV_#_DAT+ge_geV_IMPH
ajjige ajji(N10)+geV_#_DAT+ge_geV_DECL
ajjige ajji(N10)+geV_#_DAT+ge_geV_RIS
ajjiyiMxalA ajji(N10)+yiMxa_#_ABL+lA_#_INTR
ajjiyiMxalU ajji(N10)+yiMxa_#_ABL+lU_#_INCL
ajjiyiMxalo ajji(N10)+yiMxa_#_ABL+lo_#_DUB
ajjiyiMxalo ajji(N10)+yiMxa_#_ABL+lo_#_INDF
ajjiyiMxalo ajji(N10)+yiMxa_#_ABL+lo_#_PRES
ajjiyiMxale ajji(N10)+yiMxa_#_ABL+le_#_IMPH
ajjiyiMxale ajji(N10)+yiMxa_#_ABL+le_#_DECL
ajjiyiMxale ajji(N10)+yiMxa_#_ABL+le_#_RIS
ajjiyalliyA ajji(N10)+yalli_#_LOC+yA_#_INTR
ajjiyalliyU ajji(N10)+yalli_#_LOC+yU_#_INCL
ajjiyalliyo ajji(N10)+yalli_#_LOC+yo_#_DUB
ajjiyalliyo ajji(N10)+yalli_#_LOC+yo_#_INDF
ajjiyalliyo ajji(N10)+yalli_#_LOC+yo_#_PRES
ajjiyalliye ajji(N10)+yalli_#_LOC+ye_#_IMPH
ajjiyalliye ajji(N10)+yalli_#_LOC+ye_#_DECL
ajjiyalliye ajji(N10)+yalli_#_LOC+ye_#_RIS
ajjiyaMxirA ajji(N10)+yaMxiru_#_NOM+rA_ru_INTR 
ajjiyaMxirU ajji(N10)+yaMxiru_#_NOM+rU_ru_INCL
ajjiyaMxiro ajji(N10)+yaMxiru_#_NOM+ro_ru_DUB
ajjiyaMxiro ajji(N10)+yaMxiru_#_NOM+ro_ru_INDF
ajjiyaMxiro ajji(N10)+yaMxiru_#_NOM+ro_ru_PRES
ajjiyaMxire ajji(N10)+yaMxiru_#_NOM+re_ru_IMPH
ajjiyaMxire ajji(N10)+yaMxiru_#_NOM+re_ru_DECL
ajjiyaMxire ajji(N10)+yaMxiru_#_NOM+re_ru_RIS
ajjiyaMxirannA ajji(N10)+yaMxiru_#_ACC+rannA_ru_INTR
ajjiyaMxirannU ajji(N10)+yaMxiru_#_ACC+rannU_ru_INCL
ajjiyaMxiranno ajji(N10)+yaMxiru_#_ACC+ranno_ru_DUB
ajjiyaMxiranno ajji(N10)+yaMxiru_#_ACC+ranno_ru_INDF
ajjiyaMxiranno ajji(N10)+yaMxiru_#_ACC+ranno_ru_PRES
ajjiyaMxiranne ajji(N10)+yaMxiru_#_ACC+ranne_ru_IMPH
ajjiyaMxiranne ajji(N10)+yaMxiru_#_ACC+ranne_ru_DECL
ajjiyaMxiranne ajji(N10)+yaMxiru_#_ACC+ranne_ru_RIS
ajjiyaMxiriMxalA ajji(N10)+yaMxiru_#_INS+riMxalA_ru_INTR
ajjiyaMxiriMxalU ajji(N10)+yaMxiru_#_INS+riMxalU_ru_INCL
ajjiyaMxiriMxalo ajji(N10)+yaMxiru_#_INS+riMxalo_ru_DUB
ajjiyaMxiriMxalo ajji(N10)+yaMxiru_#_INS+riMxalo_ru_INDF
ajjiyaMxiriMxalo ajji(N10)+yaMxiru_#_INS+riMxalo_ru_PRES
ajjiyaMxiriMxale ajji(N10)+yaMxiru_#_INS+riMxale_ru_IMPH
ajjiyaMxiriMxale ajji(N10)+yaMxiru_#_INS+riMxale_ru_DECL
ajjiyaMxiriMxale ajji(N10)+yaMxiru_#_INS+riMxale_ru_RIS
ajjiyaMxirigA ajji(N10)+yaMxiru_#_DAT+rigA_ru_INTR
ajjiyaMxirigU ajji(N10)+yaMxiru_#_DAT+rigU_ru_INCL
ajjiyaMxirigo ajji(N10)+yaMxiru_#_DAT+rigo_ru_DUB
ajjiyaMxirigo ajji(N10)+yaMxiru_#_DAT+rigo_ru_INDF
ajjiyaMxirigo ajji(N10)+yaMxiru_#_DAT+rigo_ru_PRES
ajjiyaMxirige ajji(N10)+yaMxiru_#_DAT+rige_ru_IMPH
ajjiyaMxirige ajji(N10)+yaMxiru_#_DAT+rige_ru_DECL
ajjiyaMxirige ajji(N10)+yaMxiru_#_DAT+rige_ru_RIS
ajjiyaMxiriMxalA ajji(N10)+yaMxiru_#_ABL+riMxalA_ru_INTR
ajjiyaMxiriMxalU ajji(N10)+yaMxiru_#_ABL+riMxalU_ru_INCL
ajjiyaMxiriMxalo ajji(N10)+yaMxiru_#_ABL+riMxalo_ru_DUB
ajjiyaMxiriMxalo ajji(N10)+yaMxiru_#_ABL+riMxalo_ru_INDF
