akkanu akka(N9)+nu_#_NOM
akkaMxiru akka(N9)+akkaMxiru_akka_PL
akkanannu akka(N9)+nannu_#_ACC
akkaMxirannu akka(N9)+akkaMxiru_akka_PL+rannu_ru_ACC 
akkaniMxa akka(N9)+niMxa_#_INS
akkaMxiriMxa akka(N9)+akkaMxiru_akka_PL+riMxa_ru_INS
akkanigeV akka(N9)+nigeV_#_DAT
akkaMxirigeV akka(N9)+akkaMxiru_akka_PL+rigeV_ru_DAT
akkaniMxa akka(N9)+niMxa_#_ABL
akkaMxiriMxa akka(N9)+akkaMxiru_akka_PL+riMxa_ru_ABL
akkana akka(N9)+na_#_GEN
akkaMxira akka(N9)+akkaMxiru_akka_PL+ra_ru_GEN
akkanalli akka(N9)+nalli_#_LOC
akkaMxiralli akka(N9)+akkaMxiru_akka_PL+ralli_ru_LOC
akkA akka(N9)+akkA_akka_VOC
akkaMxire akka(N9)+akkaMxiru_akka_PL+re_ru_VOC
akkanigoskara akka(N9)+nigoskara_#_BEN
akkaMxirigoskara akka(N9)+akkaMxiru_akka_PL+rigoskara_ru_BEN
akkanigoskara akka(N9)+nigoskara_#_PUR
akkaMxirigoskara akka(N9)+akkaMxiru_akka_PL+rigoskara_ru_PUR
akkanigAgi akka(N9)+nigAgi_#_BEN
akkaMxirigAgi akka(N9)+akkaMxiru_akka_PL+rigAgi_ru_BEN
akkanigAgi akka(N9)+nigAgi_#_PUR
akkaMxirigAgi akka(N9)+akkaMxiru_akka_PL+rigAgi_ru_PUR
akkanigosuga akka(N9)+nigosuga_#_BEN
akkaMxirigosuga akka(N9)+akkaMxiru_akka_PL+rigosuga_ru_BEN
akkanigosuga akka(N9)+nigosuga_#_PUR
akkaMxirigosuga akka(N9)+akkaMxiru_akka_PL+rigosuga_ru_PUR
akkanigiMwa akka(N9)+nigiMwa_#_COMP
akkaMxirigiMwa akka(N9)+akkaMxiru_akka_PL+rigiMwa_ru_COMP
akkanaMweV akka(N9)+naMweV_#_SIM
akkaMxiraMweV akka(N9)+akkaMxiru_akka_PL+raMweV_ru_SIM
akkanaMwa akka(N9)+naMwa_#_SIM
akkaMxiraMwa akka(N9)+akkaMxiru_akka_PL+raMwa_ru_SIM
akkanaMwaha akka(N9)+naMwaha_#_SIM
akkaMxiraMwaha akka(N9)+akkaMxiru_akka_PL+raMwaha_ru_SIM
akkanondaneV akka(N9)+nondaneV_#_SOC
akkaMxirondaneV akka(N9)+akkaMxiru_akka_PL+rondaneV_ru_SOC
akkanonMxigeV akka(N9)+nonMxigeV_#_SOC
akkaMxironMxigeV akka(N9)+akkaMxiru_akka_PL+ronMxigeV_ru_SOC
akkanA akka(N9)+nu_#_NOM+nA_nu_INTR
akkanU akka(N9)+nu_#_NOM+nU_nu_INCL
akkano akka(N9)+nu_#_NOM+no_nu_DUB
akkano akka(N9)+nu_#_NOM+no_nu_INDF
akkano akka(N9)+nu_#_NOM+no_nu_PRES
akkane akka(N9)+nu_#_NOM+ne_nu_IMPH
akkane akka(N9)+nu_#_NOM+ne_nu_DECL
akkane akka(N9)+nu_#_NOM+ne_nu_RIS
akkanannA akka(N9)+nannu_#_ACC+nnA_nnu_INTR
akkanannU akka(N9)+nannu_#_ACC+nnU_nnu_INCL
akkananno akka(N9)+nannu_#_ACC+nno_nnu_DUB
akkananno akka(N9)+nannu_#_ACC+nno_nnu_INDF
akkananno akka(N9)+nannu_#_ACC+nno_nnu_PRES
akkananne akka(N9)+nannu_#_ACC+nne_nnu_IMPH
akkananne akka(N9)+nannu_#_ACC+nne_nnu_DECL
akkananne akka(N9)+nannu_#_ACC+nne_nnu_RIS
akkaniMxalA akka(N9)+niMxa_#_INS+lA_#_INTR
akkaniMxalU akka(N9)+niMxa_#_INS+lU_#_INCL
akkaniMxalo akka(N9)+niMxa_#_INS+lo_#_DUB
akkaniMxalo akka(N9)+niMxa_#_INS+lo_#_INDF
akkaniMxalo akka(N9)+niMxa_#_INS+lo_#_PRES
akkaniMxale akka(N9)+niMxa_#_INS+le_#_IMPH
akkaniMxale akka(N9)+niMxa_#_INS+le_#_DECL
akkaniMxale akka(N9)+niMxa_#_INS+le_#_RIS
akkanigA akka(N9)+nigeV_#_DAT+gA_geV_INTR
akkanigU akka(N9)+nigeV_#_DAT+gU_geV_INCL
akkanigo akka(N9)+nigeV_#_DAT+go_geV_DUB
akkanigo akka(N9)+nigeV_#_DAT+go_geV_INDF
akkanigo akka(N9)+nigeV_#_DAT+go_geV_PRES
akkanige akka(N9)+nigeV_#_DAT+ge_geV_IMPH
akkanige akka(N9)+nigeV_#_DAT+ge_geV_DECL
akkanige akka(N9)+nigeV_#_DAT+ge_geV_RIS
akkaniMxalA akka(N9)+niMxa_#_ABL+lA_#_INTR
akkaniMxalU akka(N9)+niMxa_#_ABL+lU_#_INCL
akkaniMxalo akka(N9)+niMxa_#_ABL+lo_#_DUB
akkaniMxalo akka(N9)+niMxa_#_ABL+lo_#_INDF
akkaniMxalo akka(N9)+niMxa_#_ABL+lo_#_PRES
akkaniMxale akka(N9)+niMxa_#_ABL+le_#_IMPH
akkaniMxale akka(N9)+niMxa_#_ABL+le_#_DECL
akkaniMxale akka(N9)+niMxa_#_ABL+le_#_RIS
akkanalliyA akka(N9)+nalli_#_LOC+yA_#_INTR
akkanalliyU akka(N9)+nalli_#_LOC+yU_#_INCL
akkanalliyo akka(N9)+nalli_#_LOC+yo_#_DUB
akkanalliyo akka(N9)+nalli_#_LOC+yo_#_INDF
akkanalliyo akka(N9)+nalli_#_LOC+yo_#_PRES
akkanalliye akka(N9)+nalli_#_LOC+ye_#_IMPH
akkanalliye akka(N9)+nalli_#_LOC+ye_#_DECL
akkanalliye akka(N9)+nalli_#_LOC+ye_#_RIS
akkaMxirA akka(N9)+akkaMxiru_akka_NOM+rA_ru_INTR
akkaMxirU akka(N9)+akkaMxiru_akka_NOM+rU_ru_INCL
akkaMxiro akka(N9)+akkaMxiru_akka_NOM+ro_ru_DUB
akkaMxiro akka(N9)+akkaMxiru_akka_NOM+ro_ru_INDF
akkaMxiro akka(N9)+akkaMxiru_akka_NOM+ro_ru_PRES
akkaMxire akka(N9)+akkaMxiru_akka_NOM+re_ru_IMPH
akkaMxire akka(N9)+akkaMxiru_akka_NOM+re_ru_DECL
akkaMxire akka(N9)+akkaMxiru_akka_NOM+re_ru_RIS
akkaMxirannA akka(N9)+akkaMxiru_akka_ACC+rannA_ru_INTR
