cikkaxannu cikkaxu(N18)+xannu_xu_ACC
cikkavannu cikkavu(N18)+vannu_vu_ACC
cikkaxariMxa cikkaxu(N18)+xariMxa_xu_INS
cikkavugalYiMxa cikkavu(N18)+galYu_#_PL+lYiMxa_lYu_INS
cikkaxakkeV cikkaxu(N18)+xakkeV_xu_DAT
cikkavugalYigeV cikkavu(N18)+galYu_#_PL+lYigeV_lYu_DAT
cikkaxariMxa cikkaxu(N18)+xariMxa_xu_ABL
cikkavugalYiMxa cikkavu(N18)+galYu_#_PL+lYiMxa_lYu_ABL
cikkaxara  cikkaxu(N18)+xara_xu_GEN
cikkavugalYa cikkavu(N18)+galYu_#_PL+lYa_lYu_GEN 
cikkaxaralli cikkaxu(N18)+xaralli_xu_LOC
cikkavugalYalli cikkavu(N18)+galYu_#_PL+lYalli_lYu_LOC
cikkaxakkoskara cikkaxu(N18)+xakkoskara_xu_BEN
cikkavugalYigoskara cikkavu(N18)+galYu_#_PL+lYigoskara_lYu_BEN
cikkaxakkoskara cikkaxu(N18)+xakkoskara_xu_PUR
cikkavugalYigoskara cikkavu(N18)+galYu_#_PL+lYigoskara_lYu_PUR
cikkaxakkAgi cikkaxu(N18)+xakkAgi_xu_BEN
cikkavugalYigAgi cikkavu(N18)+galYu_#_PL+lYigAgi_lYu_BEN
cikkaxakkAgi cikkaxu(N18)+xakkAgi_xu_PUR
cikkavugalYigAgi cikkavu(N18)+galYu_#_PL+lYigAgi_lYu_PUR
cikkaxakkosuga cikkaxu(N18)+xakkosuga_xu_BEN
cikkavugalYigosuga cikkavu(N18)+galYu_#_PL+lYigosuga_lYu_BEN
cikkaxakkosuga cikkaxu(N18)+xakkosuga_xu_PUR
cikkavugalYigosuga cikkavu(N18)+galYu_#_PL+lYigosuga_lYu_PUR
cikkaxakkiMwa cikkaxu(N18)+xakkiMwa_xu_COMP
cikkavugalYigiMwa cikkavu(N18)+galYu_#_PL+lYigiMwa_lYu_COMP
cikkaxaraMweV cikkaxu(N18)+xaraMweV_xu_SIM
cikkavugalYaMweV cikkavu(N18)+galYu_#_PL+lYaMweV_lYu_SIM
cikkaxaraMwa cikkaxu(N18)+xaraMwa_xu_SIM
cikkavugalYaMwa cikkavu(N18)+galYu_#_PL+lYaMwa_lYu_SIM
cikkaxaraMwaha cikkaxu(N18)+xaraMwaha_xu_SIM
cikkavugalYaMwaha cikkavu(N18)+galYu_#_PL+lYaMwaha_lYu_SIM
cikkaxaroVdaneV cikkaxu(N18)+xaroVdaneV_xu_SOC
cikkavugalYoVdaneV cikkavu(N18)+galYu_#_PL+lYoVdaneV_lYu_SOC
cikkaxaroVMxigeV cikkaxu(N18)+xaroVMxigeV_xu_SOC
cikkavugalYoVMxigeV cikkavu(N18)+galYu_#_PL+lYoVMxigeV_lYu_SOC
cikkaxA cikkaxu(N18)+xA_xu_INTR
cikkaxU cikkaxu(N18)+xU_xu_INCL
cikkaxo cikkaxu(N18)+xo_xu_DUB
cikkaxo cikkaxu(N18)+xo_xu_INDF
cikkaxo cikkaxu(N18)+xo_xu_PRES
cikkaxe cikkaxu(N18)+xe_xu_IMPH
cikkaxe cikkaxu(N18)+xe_xu_DECL
cikkaxe cikkaxu(N18)+xe_xu_RIS
cikkaxannA cikkaxu(N18)+xannu_xu_ACC+nnA_nnu_INTR
cikkaxannU cikkaxu(N18)+xannu_xu_ACC+nnU_nnu_INCL
cikkaxanno cikkaxu(N18)+xannu_xu_ACC+nno_nnu_DUB
cikkaxanno cikkaxu(N18)+xannu_xu_ACC+nno_nnu_INDF
cikkaxanno cikkaxu(N18)+xannu_xu_ACC+nno_nnu_PRES
cikkaxanne cikkaxu(N18)+xannu_xu_ACC+nne_nnu_IMPH
cikkaxanne cikkaxu(N18)+xannu_xu_ACC+nne_nnu_DECL
cikkaxanne cikkaxu(N18)+xannu_xu_ACC+nne_nnu_RIS
cikkaxariMxalA cikkaxu(N18)+xariMxa_xu_INS+lA_#_INTR
cikkaxariMxalU cikkaxu(N18)+xariMxa_xu_INS+lU_#_INCL
cikkaxariMxalo cikkaxu(N18)+xariMxa_xu_INS+lo_#_DUB
cikkaxariMxalo cikkaxu(N18)+xariMxa_xu_INS+lo_#_INDF
cikkaxariMxalo cikkaxu(N18)+xariMxa_xu_INS+lo_#_PRES
cikkaxariMxale cikkaxu(N18)+xariMxa_xu_INS+le_#_IMPH
cikkaxariMxale cikkaxu(N18)+xariMxa_xu_INS+le_#_DECL
cikkaxariMxale cikkaxu(N18)+xariMxa_xu_INS+le_#_RIS
