dAdiyu dAdi(N11)+yu_#_NOM
dAdiyaru dAdi(N11)+yaru_#_PL
dAdiyannu dAdi(N11)+yannu_#_ACC
dAdiyarannu dAdi(N11)+yaru_#_PL+rannu_ru_ACC 
dAdiyiMxa dAdi(N11)+yiMxa_#_INS
dAdiyariMxa dAdi(N11)+yaru_#_PL+riMxa_ru_INS
dAdigeV dAdi(N11)+geV_#_DAT
dAdiyarigeV dAdi(N11)+yaru_#_PL+rigeV_ru_DAT
dAdiyiMxa dAdi(N11)+yiMxa_#_ABL
dAdiyariMxa dAdi(N11)+yaru_#_PL+riMxa_ru_ABL
dAdiya dAdi(N11)+ya_#_GEN
dAdiyara dAdi(N11)+yaru_#_PL+ra_ru_GEN
dAdiyalli dAdi(N11)+yalli_#_LOC
dAdiyaralli dAdi(N11)+yaru_#_PL+ralli_ru_LOC
dAdiye dAdi(N11)+ye_#_VOC
dAdiyare dAdi(N11)+yaru_#_PL+re_ru_VOC
dAdigoskara dAdi(N11)+goskara_#_BEN
dAdiyarigoskara dAdi(N11)+yaru_#_PL+rigoskara_ru_BEN
dAdigoskara dAdi(N11)+goskara_#_PUR
dAdiyarigoskara dAdi(N11)+yaru_#_PL+rigoskara_ru_PUR
dAdigAgi dAdi(N11)+gAgi_#_BEN
dAdiyarigAgi dAdi(N11)+yaru_#_PL+rigAgi_ru_BEN
dAdigAgi dAdi(N11)+gAgi_#_PUR
dAdiyarigAgi dAdi(N11)+yaru_#_PL+rigAgi_ru_PUR
dAdigosuga dAdi(N11)+gosuga_#_BEN
dAdiyarigosuga dAdi(N11)+yaru_#_PL+rigosuga_ru_BEN
dAdigosuga dAdi(N11)+gosuga_#_PUR
dAdiyarigosuga dAdi(N11)+yaru_#_PL+rigosuga_ru_PUR
dAdigiMwa dAdi(N11)+giMwa_#_COMP
dAdiyarigiMwa dAdi(N11)+yaru_#_PL+rigiMwa_ru_COMP
dAdiyaMweV dAdi(N11)+yaMweV_#_SIM
dAdiyaraMweV dAdi(N11)+yaru_#_PL+raMweV_ru_SIM
dAdiyaMwa dAdi(N11)+yaMwa_#_SIM
dAdiyaraMwa dAdi(N11)+yaru_#_PL+raMwa_ru_SIM
dAdiyaMwaha dAdi(N11)+yaMwaha_#_SIM
dAdiyaraMwaha dAdi(N11)+yaru_#_PL+raMwaha_ru_SIM
dAdiyoVdaneV dAdi(N11)+yoVdaneV_#_SOC
dAdiyaroVdaneV dAdi(N11)+yaru_#_PL+roVdaneV_ru_SOC
dAdiyoVMxigeV dAdi(N11)+yoVMxigeV_#_SOC
dAdiyaroVMxigeV dAdi(N11)+yaru_#_PL+roVMxigeV_ru_SOC
dAdiyA dAdi(N11)+yu_#_NOM+yA_yu_INTR
dAdiyU dAdi(N11)+yu_#_NOM+yU_yu_INCL
dAdiyo dAdi(N11)+yu_#_NOM+yo_yu_DUB
dAdiyo dAdi(N11)+yu_#_NOM+yo_yu_INDF
dAdiyo dAdi(N11)+yu_#_NOM+yo_yu_PRES
dAdiye dAdi(N11)+yu_#_NOM+ye_yu_IMPH
dAdiye dAdi(N11)+yu_#_NOM+ye_yu_DECL
dAdiye dAdi(N11)+yu_#_NOM+ye_yu_RIS
dAdiyannA dAdi(N11)+yannu_#_ACC+nnA_nnu_INTR
dAdiyannU dAdi(N11)+yannu_#_ACC+nnU_nnu_INCL
dAdiyanno dAdi(N11)+yannu_#_ACC+nno_nnu_DUB
dAdiyanno dAdi(N11)+yannu_#_ACC+nno_nnu_INDF
dAdiyanno dAdi(N11)+yannu_#_ACC+nno_nnu_PRES
dAdiyanne dAdi(N11)+yannu_#_ACC+nne_nnu_IMPH
dAdiyanne dAdi(N11)+yannu_#_ACC+nne_nnu_DECL
dAdiyanne dAdi(N11)+yannu_#_ACC+nne_nnu_RIS
dAdiyiMxalA dAdi(N11)+yiMxa_#_INS+lA_#_INTR
dAdiyiMxalU dAdi(N11)+yiMxa_#_INS+lU_#_INCL
dAdiyiMxalo dAdi(N11)+yiMxa_#_INS+lo_#_DUB
dAdiyiMxalo dAdi(N11)+yiMxa_#_INS+lo_#_INDF
dAdiyiMxalo dAdi(N11)+yiMxa_#_INS+lo_#_PRES
dAdiyiMxale dAdi(N11)+yiMxa_#_INS+le_#_IMPH
