garudanu garuda(N6)+nu_#_NOM
garudagalYu garuda(N6)+galYu_#_PL
garudanannu garuda(N6)+nannu_#_ACC
garudagalnannu garuda(N6)+galYu_#_PL+lnannu_lYu_ACC 
garudaniMxa garuda(N6)+niMxa_#_INS
garudagalYiMxa garuda(N6)+galYu_#_PL+lYiMxa_lYu_INS
garudanigeV garuda(N6)+nigeV_#_DAT
garudagalYigeV garuda(N6)+galYu_#_PL+lYigeV_lYu_DAT
garudaniMxa garuda(N6)+niMxa_#_ABL
garudagalYiMxa garuda(N6)+galYu_#_PL+lYiMxa_lYu_ABL
garudana garuda(N6)+na_#_GEN
garudagalYa garuda(N6)+galYu_#_PL+lYa_lYu_GEN
garudanalli garuda(N6)+nalli_#_LOC
garudagalYalli garuda(N6)+galYu_#_PL+lYalli_lYu_LOC
garudane garuda(N6)+ne_#_VOC
garudagalYe garuda(N6)+galYu_#_PL+lYe_lYu_VOC
garudanigoskara garuda(N6)+nigoskara_#_BEN
garudagalYigoskara garuda(N6)+galYu_#_PL+lYigoskara_lYu_BEN
garudanigoskara garuda(N6)+nigoskara_#_PUR
garudagalYigoskara garuda(N6)+galYu_#_PL+lYigoskara_lYu_PUR
garudanigAgi garuda(N6)+nigAgi_#_BEN
garudagalYigAgi garuda(N6)+galYu_#_PL+lYigAgi_lYu_BEN
garudanigAgi garuda(N6)+nigAgi_#_PUR
garudagalYigAgi garuda(N6)+galYu_#_PL+lYigAgi_lYu_PUR
garudanigosuga garuda(N6)+nigosuga_#_BEN
garudagalYigosuga garuda(N6)+galYu_#_PL+lYigosuga_lYu_BEN
garudanigosuga garuda(N6)+nigosuga_#_PUR
garudagalYigosuga garuda(N6)+galYu_#_PL+lYigosuga_lYu_PUR
garudanigiMwa garuda(N6)+nigiMwa_#_COMP
garudagalYigiMwa garuda(N6)+galYu_#_PL+lYigiMwa_lYu_COMP
garudanaMweV garuda(N6)+naMweV_#_SIM
garudagalYaMweV garuda(N6)+galYu_#_PL+lYaMweV_lYu_SIM
garudanaMwa garuda(N6)+naMwa_#_SIM
garudagalYaMwa garuda(N6)+galYu_#_PL+lYaMwa_lYu_SIM
garudanaMwaha garuda(N6)+naMwaha_#_SIM
garudagalYaMwaha garuda(N6)+galYu_#_PL+lYaMwaha_lYu_SIM
garudanoVdaneV garuda(N6)+noVdaneV_#_SOC
garudagalYoVdaneV garuda(N6)+galYu_#_PL+lYoVdaneV_lYu_SOC
garudanoVMxigeV garuda(N6)+noVMxigeV_#_SOC
garudagalYoVMxigeV garuda(N6)+galYu_#_PL+lYoVMxigeV_lYu_SOC
garudanA garuda(N6)+nu_#_NOM+nA_nu_INTR
