huduganu huduga(N16)+nu_#_NOM
hudugaru huduga(N16)+garu_ga_PL
huduganannu huduga(N16)+nannu_#_ACC
hudugarannu huduga(N16)+aru_#_PL+rannu_aru_ACC 
huduganiMxa huduga(N16)+niMxa_#_INS
hudugariMxa huduga(N16)+aru_#_PL+riMxa_aru_INS
huduganigeV huduga(N16)+nigeV_#_DAT
hudugarigeV huduga(N16)+aru_#_PL+rigeV_aru_DAT
huduganiMxa huduga(N16)+niMxa_#_ABL
hudugariMxa huduga(N16)+aru_#_PL+riMxa_aru_ABL
hudugana huduga(N16)+na_#_GEN
hudugara huduga(N16)+aru_#_PL+ra_aru_GEN
huduganalli huduga(N16)+nalli_#_LOC
hudugaralli huduga(N16)+aru_#_PL+ralli_aru_LOC
hudugane huduga(N16)+ne_#_VOC
hudugare huduga(N16)+aru_#_PL+re_aru_VOC
huduganigoskara huduga(N16)+nigoskara_#_BEN
hudugarigoskara huduga(N16)+aru_#_PL+rigoskara_aru_BEN
huduganigoskara huduga(N16)+nigoskara_#_PUR
hudugarigoskara huduga(N16)+aru_#_PL+rigoskara_aru_PUR
huduganigAgi huduga(N16)+nigAgi_#_BEN
hudugarigAgi huduga(N16)+aru_#_PL+rigAgi_aru_BEN
huduganigAgi huduga(N16)+nigAgi_#_PUR
hudugarigAgi huduga(N16)+aru_#_PL+rigAgi_aru_PUR
huduganigosuga huduga(N16)+nigosuga_#_BEN
hudugarigosuga huduga(N16)+aru_#_PL+rigosuga_aru_BEN
huduganigosuga huduga(N16)+nigosuga_#_PUR
hudugarigosuga huduga(N16)+aru_#_PL+rigosuga_aru_PUR
huduganigiMwa huduga(N16)+ganigiMwa_ga_COMP
hudugarigiMwa huduga(N16)+aru_#_PL+rigiMwa_aru_COMP
huduganaMweV huduga(N16)+naMweV_#_SIM
hudugaraMweV huduga(N16)+aru_#_PL+raMweV_aru_SIM
huduganaMwa huduga(N16)+naMwa_#_SIM
hudugaraMwa huduga(N16)+aru_#_PL+raMwa_aru_SIM
huduganaMwaha huduga(N16)+naMwaha_#_SIM
hudugaraMwaha huduga(N16)+aru_#_PL+raMwaha_aru_SIM
huduganoVdaneV huduga(N16)+noVdaneV_#_SOC
hudugaroVdaneV huduga(N16)+aru_#_PL+roVdaneV_aru_SOC
huduganoVMxigeV huduga(N16)+noVMxigeV_#_SOC
hudugaroVMxigeV huduga(N16)+aru_#_PL+roVMxigeV_aru_SOC
huduganA huduga(N16)+nu_#_NOM+nA_nu_INTR
huduganU huduga(N16)+nu_#_NOM+nU_nu_INCL
hudugano huduga(N16)+nu_#_NOM+no_nu_DUB
hudugano huduga(N16)+nu_#_NOM+no_nu_INDF
hudugano huduga(N16)+nu_#_NOM+no_nu_PRES
hudugane huduga(N16)+nu_#_NOM+ne_nu_IMPH
hudugane huduga(N16)+nu_#_NOM+ne_nu_DECL
hudugane huduga(N16)+nu_#_NOM+ne_nu_RIS
huduganannA huduga(N16)+nannu_#_ACC+nnA_nnu_INTR
huduganannU huduga(N16)+nannu_#_ACC+nnU_nnu_INCL
hudugananno huduga(N16)+nannu_#_ACC+nno_nnu_DUB
hudugananno huduga(N16)+nannu_#_ACC+nno_nnu_INDF
hudugananno huduga(N16)+nannu_#_ACC+nno_nnu_PRES
hudugananne huduga(N16)+nannu_#_ACC+nne_nnu_IMPH
hudugananne huduga(N16)+nannu_#_ACC+nne_nnu_DECL
hudugananne huduga(N16)+nannu_#_ACC+nne_nnu_RIS
huduganiMxalA huduga(N16)+niMxa_#_INS+lA_#_INTR
huduganiMxalU huduga(N16)+niMxa_#_INS+lU_#_INCL
huduganiMxalo huduga(N16)+niMxa_#_INS+lo_#_DUB
huduganiMxalo huduga(N16)+niMxa_#_INS+lo_#_INDF
huduganiMxalo huduga(N16)+niMxa_#_INS+lo_#_PRES
huduganiMxale huduga(N16)+niMxa_#_INS+le_#_IMPH
huduganiMxale huduga(N16)+niMxa_#_INS+le_#_DECL
huduganiMxale huduga(N16)+niMxa_#_INS+le_#_RIS
huduganigA huduga(N16)+nigeV_#_DAT+gA_geV_INTR
huduganigU huduga(N16)+nigeV_#_DAT+gU_geV_INCL
huduganigo huduga(N16)+nigeV_#_DAT+go_geV_DUB
huduganigo huduga(N16)+nigeV_#_DAT+go_geV_INDF
huduganigo huduga(N16)+nigeV_#_DAT+go_geV_PRES
huduganige huduga(N16)+nigeV_#_DAT+ge_geV_IMPH
huduganige huduga(N16)+nigeV_#_DAT+ge_geV_DECL
huduganige huduga(N16)+nigeV_#_DAT+ge_geV_RIS
huduganiMxalA huduga(N16)+niMxa_#_ABL+lA_#_INTR
huduganiMxalU huduga(N16)+niMxa_#_ABL+lU_#_INCL
huduganiMxalo huduga(N16)+niMxa_#_ABL+lo_#_DUB
huduganiMxalo huduga(N16)+niMxa_#_ABL+lo_#_INDF
huduganiMxalo huduga(N16)+niMxa_#_ABL+lo_#_PRES
huduganiMxale huduga(N16)+niMxa_#_ABL+le_#_IMPH
huduganiMxale huduga(N16)+niMxa_#_ABL+le_#_DECL
huduganiMxale huduga(N16)+niMxa_#_ABL+le_#_RIS
huduganalliyA huduga(N16)+nalli_#_LOC+yA_#_INTR
huduganalliyU huduga(N16)+nalli_#_LOC+yU_#_INCL
huduganalliyo huduga(N16)+nalli_#_LOC+yo_#_DUB
huduganalliyo huduga(N16)+nalli_#_LOC+yo_#_INDF
huduganalliyo huduga(N16)+nalli_#_LOC+yo_#_PRES
huduganalliye huduga(N16)+nalli_#_LOC+ye_#_IMPH
huduganalliye huduga(N16)+nalli_#_LOC+ye_#_DECL
huduganalliye huduga(N16)+nalli_#_LOC+ye_#_RIS
hudugarA huduga(N16)+aru_#_NOM+rA_aru_INTR
hudugarU huduga(N16)+aru_#_NOM+rU_aru_INCL
hudugaro huduga(N16)+aru_#_NOM+ro_aru_DUB
hudugaro huduga(N16)+aru_#_NOM+ro_aru_INDF
hudugaro huduga(N16)+aru_#_NOM+ro_aru_PRES
hudugare huduga(N16)+aru_#_NOM+re_aru_IMPH
hudugare huduga(N16)+aru_#_NOM+re_aru_DECL
hudugare huduga(N16)+aru_#_NOM+re_aru_RIS
hudugarannA huduga(N16)+aru_#_ACC+rannA_aru_INTR
hudugarannU huduga(N16)+aru_#_ACC+rannU_aru_INCL
hudugaranno huduga(N16)+aru_#_ACC+ranno_aru_DUB
hudugaranno huduga(N16)+aru_#_ACC+ranno_aru_INDF
hudugaranno huduga(N16)+aru_#_ACC+ranno_aru_PRES
hudugaranne huduga(N16)+aru_#_ACC+ranne_aru_IMPH
hudugaranne huduga(N16)+aru_#_ACC+ranne_aru_DECL
hudugaranne huduga(N16)+aru_#_ACC+ranne_aru_RIS
hudugariMxalA huduga(N16)+aru_#_INS+riMxalA_aru_INTR
hudugariMxalU huduga(N16)+aru_#_INS+riMxalU_aru_INCL
hudugariMxalo huduga(N16)+aru_#_INS+riMxalo_aru_DUB
hudugariMxalo huduga(N16)+aru_#_INS+riMxalo_aru_INDF
hudugariMxalo huduga(N16)+aru_#_INS+riMxalo_aru_PRES
hudugariMxale huduga(N16)+aru_#_INS+riMxale_aru_IMPH
hudugariMxale huduga(N16)+aru_#_INS+riMxale_aru_DECL
hudugariMxale huduga(N16)+aru_#_INS+riMxale_aru_RIS
