kEyu kE(N5)+yu_#_NOM
kEgalYu kE(N5)+galYu_#_PL
kEyannu kE(N5)+yannu_#_ACC
kEgalYannu kE(N5)+galYu_#_PL+lYannu_lYu_ACC 
kEyiMxa kE(N5)+yiMxa_#_INS
kEgalYiMxa kE(N5)+galYu_#_PL+lYiMxa_lYu_INS
kEgeV kE(N5)+geV_#_DAT
kEgalYigeV kE(N5)+galYu_#_PL+lYigeV_lYu_DAT
kEyiMxa kE(N5)+yiMxa_#_ABL
kEgalYiMxa kE(N5)+galYu_#_PL+lYiMxa_lYu_ABL
kEya kE(N5)+ya_#_GEN
kEgalYa kE(N5)+galYu_#_PL+lYa_lYu_GEN
kEyalli kE(N5)+yalli_#_LOC
kEgalYalli kE(N5)+galYu_#_PL+lYalli_lYu_LOC
kEye kE(N5)+ye_#_VOC
kEgalYe kE(N5)+galYu_#_PL+lYe_lYu_VOC
kEgoskara kE(N5)+goskara_#_BEN
kEgalYigoskara kE(N5)+galYu_#_PL+lYigoskara_lYu_BEN
kEgoskara kE(N5)+goskara_#_PUR
kEgalYigoskara kE(N5)+galYu_#_PL+lYigoskara_lYu_PUR
kEgAgi kE(N5)+gAgi_#_BEN
kEgalYigAgi kE(N5)+galYu_#_PL+lYigAgi_lYu_BEN
kEgAgi kE(N5)+gAgi_#_PUR
kEgalYigAgi kE(N5)+galYu_#_PL+lYigAgi_lYu_PUR
kEgosuga kE(N5)+gosuga_#_BEN
kEgalYigosuga kE(N5)+galYu_#_PL+lYigosuga_lYu_BEN
kEgosuga kE(N5)+gosuga_#_PUR
kEgalYigosuga kE(N5)+galYu_#_PL+lYigosuga_lYu_PUR
kEgiMwa kE(N5)+giMwa_#_COMP
kEgalYigiMwa kE(N5)+galYu_#_PL+lYigiMwa_lYu_COMP
kEyaMweV kE(N5)+yaMweV_#_SIM
kEgalYaMweV kE(N5)+galYu_#_PL+lYaMweV_lYu_SIM
kEyaMwa kE(N5)+yaMwa_#_SIM
kEgalYaMwa kE(N5)+galYu_#_PL+lYaMwa_lYu_SIM
kEyaMwaha kE(N5)+yaMwaha_#_SIM
kEgalYaMwaha kE(N5)+galYu_#_PL+lYaMwaha_lYu_SIM
kEyoVdaneV kE(N5)+yoVdaneV_#_SOC
kEgalYoVdaneV kE(N5)+galYu_#_PL+lYoVdaneV_lYu_SOC
kEyoVMxigeV kE(N5)+yoVMxigeV_#_SOC
kEgalYoVMxigeV kE(N5)+galYu_#_PL+lYoVMxigeV_lYu_SOC
kEyA kE(N5)+yu_#_NOM+yA_yu_INTR
kEyU kE(N5)+yu_#_NOM+yU_yu_INCL
kEyo kE(N5)+yu_#_NOM+yo_yu_DUB
kEyo kE(N5)+yu_#_NOM+yo_yu_INDF
kEyo kE(N5)+yu_#_NOM+yo_yu_PRES
kEye kE(N5)+yu_#_NOM+ye_yu_IMPH
kEye kE(N5)+yu_#_NOM+ye_yu_DECL
kEye kE(N5)+yu_#_NOM+ye_yu_RIS
kEyannA kE(N5)+yannu_#_ACC+nnA_nnu_INTR
kEyannU kE(N5)+yannu_#_ACC+nnU_nnu_INCL
kEyanno kE(N5)+yannu_#_ACC+nno_nnu_DUB
kEyanno kE(N5)+yannu_#_ACC+nno_nnu_INDF
kEyanno kE(N5)+yannu_#_ACC+nno_nnu_PRES
kEyanne kE(N5)+yannu_#_ACC+nne_nnu_IMPH
