mAwqvu mAwq(N13)+vu_#_NOM
mAwqgalYu mAwq(N13)+galYu_#_PL
mAwqvannu mAwq(N13)+vannu_#_ACC
mAwqgalYannu mAwq(N13)+galYu_#_PL+lYannu_lYu_ACC 
mAwqviniMxa mAwq(N13)+viniMxa_#_INS
mAwqgalYiMxa mAwq(N13)+galYu_#_PL+lYiMxa_lYu_INS
mAwqvigeV mAwq(N13)+vigeV_#_DAT
mAwqgalYigeV mAwq(N13)+galYu_#_PL+lYigeV_lYu_DAT
mAwqviniMxa mAwq(N13)+viniMxa_#_ABL
mAwqgalYiMxa mAwq(N13)+galYu_#_PL+lYiMxa_lYu_ABL
mAwqvina mAwq(N13)+vina_#_GEN
mAwqgalYa mAwq(N13)+galYu_#_PL+lYa_lYu_GEN
mAwqvinalli mAwq(N13)+vinalli_#_LOC
mAwqgalYalli mAwq(N13)+galYu_#_PL+lYalli_lYu_LOC
mAwqve mAwq(N13)+ve_#_VOC
mAwqgalYe mAwq(N13)+galYu_#_PL+lYe_lYu_VOC
mAwqvigoskara mAwq(N13)+vigoskara_#_BEN
mAwqgalYigoskara mAwq(N13)+galYu_#_PL+lYigoskara_lYu_BEN
mAwqvigoskara mAwq(N13)+vigoskara_#_PUR
mAwqgalYigoskara mAwq(N13)+galYu_#_PL+lYigoskara_lYu_PUR
mAwqvigAgi mAwq(N13)+vigAgi_#_BEN
mAwqgalYigAgi mAwq(N13)+galYu_#_PL+lYigAgi_lYu_BEN
mAwqvigAgi mAwq(N13)+vigAgi_#_PUR
mAwqgalYigAgi mAwq(N13)+galYu_#_PL+lYigAgi_lYu_PUR
mAwqvigosuga mAwq(N13)+vigosuga_#_BEN
mAwqgalYigosuga mAwq(N13)+galYu_#_PL+lYigosuga_lYu_BEN
mAwqvigosuga mAwq(N13)+vigosuga_#_PUR
mAwqgalYigosuga mAwq(N13)+galYu_#_PL+lYigosuga_lYu_PUR
mAwqvigiMwa mAwq(N13)+vigiMwa_#_COMP
mAwqgalYigiMwa mAwq(N13)+galYu_#_PL+lYigiMwa_lYu_COMP
mAwqvinaMweV mAwq(N13)+vinaMweV_#_SIM
mAwqgalYaMweV mAwq(N13)+galYu_#_PL+lYaMweV_lYu_SIM
mAwqvinaMwa mAwq(N13)+vinaMwa_#_SIM
mAwqgalYaMwa mAwq(N13)+galYu_#_PL+lYaMwa_lYu_SIM
mAwqvinaMwaha mAwq(N13)+vinaMwaha_#_SIM
