mUdaNavu mUdaNa(N19)+vu_#_NOM
mUdaNavannu mUdaNa(N19)+vannu_#_ACC
mUdaNaxiMxa mUdaNa(N19)+xiMxa_#_INS
mUdaNakkeV mUdaNa(N19)+kkeV_#_DAT
mUdaNaxiMxa mUdaNa(N19)+xiMxa_#_ABL
mUdaNaxa mUdaNa(N19)+xa_#_GEN
mUdaNaxalli mUdaNa(N19)+xalli_#_LOC
mUdaNave mUdaNa(N19)+ve_#_VOC
mUdaNakkoskara mUdaNa(N19)+kkoskara_#_BEN
mUdaNakkoskara mUdaNa(N19)+kkoskara_#_PUR
mUdaNakkAgi mUdaNa(N19)+kkAgi_#_BEN
mUdaNakkAgi mUdaNa(N19)+kkAgi_#_PUR
mUdaNakkosuga mUdaNa(N19)+kkosuga_#_BEN
mUdaNakkosuga mUdaNa(N19)+kkosuga_#_PUR
mUdaNakkiMwa mUdaNa(N19)+kkiMwa_#_COMP
mUdaNaxaMweV mUdaNa(N19)+xaMweV_#_SIM
mUdaNaxaMwa mUdaNa(N19)+xaMwa_#_SIM
mUdaNaxaMwaha mUdaNa(N19)+xaMwaha_#_SIM
mUdaNaxoVdaneV mUdaNa(N19)+xoVdaneV_#_SOC
mUdaNaxoVMxigeV mUdaNa(N19)+xoVMxigeV_#_SOC
mUdaNavA mUdaNa(N19)+vu_#_NOM+vA_vu_INTR
mUdaNavU mUdaNa(N19)+vu_#_NOM+vU_vu_INCL
mUdaNavo mUdaNa(N19)+vu_#_NOM+vo_vu_DUB
mUdaNavo mUdaNa(N19)+vu_#_NOM+vo_vu_INDF
mUdaNavo mUdaNa(N19)+vu_#_NOM+vo_vu_PRES
mUdaNave mUdaNa(N19)+vu_#_NOM+ve_vu_IMPH
mUdaNave mUdaNa(N19)+vu_#_NOM+ve_vu_DECL
mUdaNave mUdaNa(N19)+vu_#_NOM+ve_vu_RIS
mUdaNavannA mUdaNa(N19)+vannu_#_ACC+nnA_nnu_INTR
mUdaNavannU mUdaNa(N19)+vannu_#_ACC+nnU_nnu_INCL
mUdaNavanno mUdaNa(N19)+vannu_#_ACC+nno_nnu_DUB
mUdaNavanno mUdaNa(N19)+vannu_#_ACC+nno_nnu_INDF
mUdaNavanno mUdaNa(N19)+vannu_#_ACC+nno_nnu_PRES
mUdaNavanne mUdaNa(N19)+vannu_#_ACC+nne_nnu_IMPH
mUdaNavanne mUdaNa(N19)+vannu_#_ACC+nne_nnu_DECL
mUdaNavanne mUdaNa(N19)+vannu_#_ACC+nne_nnu_RIS
mUdaNaxiMxalA mUdaNa(N19)+xiMxa_#_INS+lA_#_INTR
mUdaNaxiMxalU mUdaNa(N19)+xiMxa_#_INS+lU_#_INCL
mUdaNaxiMxalo mUdaNa(N19)+xiMxa_#_INS+lo_#_DUB
mUdaNaxiMxalo mUdaNa(N19)+xiMxa_#_INS+lo_#_INDF
mUdaNaxiMxalo mUdaNa(N19)+xiMxa_#_INS+lo_#_PRES
mUdaNaxiMxale mUdaNa(N19)+xiMxa_#_INS+le_#_IMPH
mUdaNaxiMxale mUdaNa(N19)+xiMxa_#_INS+le_#_DECL
mUdaNaxiMxale mUdaNa(N19)+xiMxa_#_INS+le_#_RIS
mUdaNakkA mUdaNa(N19)+kkeV_#_DAT+kkA_kkeV_INTR
mUdaNakkU mUdaNa(N19)+kkeV_#_DAT+kkU_kkeV_INCL
mUdaNakko mUdaNa(N19)+kkeV_#_DAT+kko_kkeV_DUB
mUdaNakko mUdaNa(N19)+kkeV_#_DAT+kko_kkeV_INDF
mUdaNakko mUdaNa(N19)+kkeV_#_DAT+kko_kkeV_PRES
mUdaNakke mUdaNa(N19)+kkeV_#_DAT+kke_kkeV_IMPH
mUdaNakke mUdaNa(N19)+kkeV_#_DAT+kke_kkeV_DECL
mUdaNakke mUdaNa(N19)+kkeV_#_DAT+kke_kkeV_RIS
mUdaNaxiMxalA mUdaNa(N19)+xiMxa_#_ABL+lA_#_INTR
mUdaNaxiMxalU mUdaNa(N19)+xiMxa_#_ABL+lU_#_INCL
mUdaNaxiMxalo mUdaNa(N19)+xiMxa_#_ABL+lo_#_DUB
mUdaNaxiMxalo mUdaNa(N19)+xiMxa_#_ABL+lo_#_INDF
mUdaNaxiMxalo mUdaNa(N19)+xiMxa_#_ABL+lo_#_PRES
mUdaNaxiMxale mUdaNa(N19)+xiMxa_#_ABL+le_#_IMPH
mUdaNaxiMxale mUdaNa(N19)+xiMxa_#_ABL+le_#_DECL
mUdaNaxiMxale mUdaNa(N19)+xiMxa_#_ABL+le_#_RIS
mUdaNaxalliyA mUdaNa(N19)+xalli_#_LOC+yA_#_INTR
mUdaNaxalliyU mUdaNa(N19)+xalli_#_LOC+yU_#_INCL
mUdaNaxalliyo mUdaNa(N19)+xalli_#_LOC+yo_#_DUB
mUdaNaxalliyo mUdaNa(N19)+xalli_#_LOC+yo_#_INDF
mUdaNaxalliyo mUdaNa(N19)+xalli_#_LOC+yo_#_PRES
mUdaNaxalliye mUdaNa(N19)+xalli_#_LOC+ye_#_IMPH
mUdaNaxalliye mUdaNa(N19)+xalli_#_LOC+ye_#_DECL
mUdaNaxalliye mUdaNa(N19)+xalli_#_LOC+ye_#_RIS
mUdaNakkoskaravA mUdaNa(N19)+kkoskara_#_BEN+vA_#_INTR
mUdaNakkoskaravU mUdaNa(N19)+kkoskara_#_BEN+vU_#_INCL
mUdaNakkoskaravo mUdaNa(N19)+kkoskara_#_BEN+vo_#_DUB
mUdaNakkoskaravo mUdaNa(N19)+kkoskara_#_BEN+vo_#_INDF
