maguvu magu(N7)+vu_#_NOM
makkalYu magu(N7)+makkalYu_magu_#_PL
maguvannu magu(N7)+vannu_#_ACC
makkalYannu magu(N7)+makkalYu_magu_PL+lYannu_lYu_ACC 
maguviMxa magu(N7)+viMxa_#_INS
maguviniMxa magu(N7)+viniMxa_#_INS
makkalYiMxa magu(N7)+makkalYu_magu_PL+lYiMxa_lYu_INS
maguvigeV magu(N7)+vigeV_#_DAT
makkalYigeV magu(N7)+makkalYu_magu_PL+lYigeV_lYu_DAT
maguviMxa magu(N7)+viMxa_#_ABL
maguviniMxa magu(N7)+viniMxa_#_ABL
makkalYiMxa magu(N7)+makkalYu_magu_PL+lYiMxa_lYu_ABL
maguvina magu(N7)+vina_#_GEN
makkalYa magu(N7)+makkalYu_magu_PL+lYa_lYu_GEN
maguvalli magu(N7)+valli_#_LOC
maguvinalli magu(N7)+vinalli_#_LOC
makkalYalli magu(N7)+makkalYu_magu_PL+lYalli_lYu_LOC
maguve magu(N7)+ve_#_VOC
makkalYe magu(N7)+makkalYu_magu_PL+lYe_lYu_VOC
maguvigoskara magu(N7)+vigoskara_#_BEN
makkalYigoskara magu(N7)+makkalYu_magu_PL+lYigoskara_lYu_BEN
maguvigoskara magu(N7)+vigoskara_#_PUR
makkalYigoskara magu(N7)+makkalYu_magu_PL+lYigoskara_lYu_PUR
maguvigAgi magu(N7)+vigAgi_#_BEN
makkalYigAgi magu(N7)+makkalYu_magu_PL+lYigAgi_lYu_BEN
maguvigAgi magu(N7)+vigAgi_#_PUR
makkalYigAgi magu(N7)+makkalYu_magu_PL+lYigAgi_lYu_PUR
maguvigosuga magu(N7)+vigosuga_#_BEN
makkalYigosuga magu(N7)+makkalYu_magu_PL+lYigosuga_lYu_BEN
maguvigosuga magu(N7)+vigosuga_#_PUR
makkalYigosuga magu(N7)+makkalYu_magu_PL+lYigosuga_lYu_PUR
maguvigiMwa magu(N7)+vigiMwa_#_COMP
makkalYigiMwa magu(N7)+makkalYu_magu_PL+lYigiMwa_lYu_COMP
maguvinaMweV magu(N7)+vinaMweV_#_SIM
makkalYaMweV magu(N7)+makkalYu_magu_PL+lYaMweV_lYu_SIM
maguvinaMwa magu(N7)+vinaMwa_#_SIM
makkalYaMwa magu(N7)+makkalYu_magu_PL+lYaMwa_lYu_SIM
maguvinaMwaha magu(N7)+vinaMwaha_#_SIM
makkalYaMwaha magu(N7)+makkalYu_magu_PL+lYaMwaha_lYu_SIM
maguvoVdaneV magu(N7)+voVdaneV_#_SOC
maguvinoVdaneV magu(N7)+vinoVdaneV_#_SOC
makkalYoVdaneV magu(N7)+makkalYu_magu_PL+lYoVdaneV_lYu_SOC
maguvoVMxigeV magu(N7)+voVMxigeV_#_SOC
maguvinoVMxigeV magu(N7)+vinoVMxigeV_#_SOC
makkalYoVMxigeV magu(N7)+makkalYu_magu_PL+lYoVMxigeV_lYu_SOC
maguvA magu(N7)+vu_#_NOM+vA_vu_INTR
maguvU magu(N7)+vu_#_NOM+vU_vu_INCL
maguvo magu(N7)+vu_#_NOM+vo_vu_DUB
maguvo magu(N7)+vu_#_NOM+vo_vu_INDF
maguvo magu(N7)+vu_#_NOM+vo_vu_PRES
maguve magu(N7)+vu_#_NOM+ve_vu_IMPH
maguve magu(N7)+vu_#_NOM+ve_vu_DECL
maguve magu(N7)+vu_#_NOM+ve_vu_RIS
maguvannA magu(N7)+vannu_#_ACC+nnA_nnu_INTR
maguvannU magu(N7)+vannu_#_ACC+nnU_nnu_INCL
maguvanno magu(N7)+vannu_#_ACC+nno_nnu_DUB
maguvanno magu(N7)+vannu_#_ACC+nno_nnu_INDF
maguvanno magu(N7)+vannu_#_ACC+nno_nnu_PRES
maguvanne magu(N7)+vannu_#_ACC+nne_nnu_IMPH
maguvanne magu(N7)+vannu_#_ACC+nne_nnu_DECL
maguvanne magu(N7)+vannu_#_ACC+nne_nnu_RIS
maguviMxalA magu(N7)+viMxa_#_INS+lA_#_INTR
maguviMxalU magu(N7)+viMxa_#_INS+lU_#_INCL
maguviMxalo magu(N7)+viMxa_#_INS+lo_#_DUB
maguviMxalo magu(N7)+viMxa_#_INS+lo_#_INDF
maguviMxalo magu(N7)+viMxa_#_INS+lo_#_PRES
maguviMxale magu(N7)+viMxa_#_INS+le_#_IMPH
maguviMxale magu(N7)+viMxa_#_INS+le_#_DECL
maguviMxale magu(N7)+viMxa_#_INS+le_#_RIS
