maravu mara(N1)+vu_#_NOM
maragalYu mara(N1)+galYu_#_PL
maravannu mara(N1)+vannu_#_ACC
maragalYannu mara(N1)+galYu_#_PL+lYannu_lYu_ACC 
maraxiMxa mara(N1)+xiMxa_#_INS
maragalYiMxa mara(N1)+galYu_#_PL+lYiMxa_lYu_INS
marakkeV mara(N1)+kkeV_#_DAT
maragalYigeV mara(N1)+galYu_#_PL+lYigeV_lYu_DAT
maraxiMxa mara(N1)+xiMxa_#_ABL
maragalYiMxa mara(N1)+galYu_#_PL+lYiMxa_lYu_ABL
maraxa mara(N1)+xa_#_GEN
maragalYa mara(N1)+galYu_#_PL+lYa_lYu_GEN
maraxalli mara(N1)+xalli_#_LOC
maragalYalli mara(N1)+galYu_#_PL+lYalli_lYu_LOC
marave mara(N1)+ve_#_VOC
maragalYe mara(N1)+galYu_#_PL+lYe_lYu_VOC
marakkoskara mara(N1)+kkoskara_#_BEN
maragalYigoskara mara(N1)+galYu_#_PL+lYigoskara_lYu_BEN
marakkoskara mara(N1)+kkoskara_#_PUR
maragalYigoskara mara(N1)+galYu_#_PL+lYigoskara_lYu_PUR
marakkAgi mara(N1)+kkAgi_#_BEN
maragalYigAgi mara(N1)+galYu_#_PL+lYigAgi_lYu_BEN
marakkAgi mara(N1)+kkAgi_#_PUR
maragalYigAgi mara(N1)+galYu_#_PL+lYigAgi_lYu_PUR
marakkosuga mara(N1)+kkosuga_#_BEN
maragalYigosuga mara(N1)+galYu_#_PL+lYigosuga_lYu_BEN
marakkosuga mara(N1)+kkosuga_#_PUR
maragalYigosuga mara(N1)+galYu_#_PL+lYigosuga_lYu_PUR
marakkiMwa mara(N1)+kkiMwa_#_COMP
maragalYigiMwa mara(N1)+galYu_#_PL+lYigiMwa_lYu_COMP
maraxaMweV mara(N1)+xaMweV_#_SIM
maragalYaMweV mara(N1)+galYu_#_PL+lYaMweV_lYu_SIM
maraxaMwa mara(N1)+xaMwa_#_SIM
maragalYaMwa mara(N1)+galYu_#_PL+lYaMwa_lYu_SIM
maraxaMwaha mara(N1)+xaMwaha_#_SIM
maragalYaMwaha mara(N1)+galYu_#_PL+lYaMwaha_lYu_SIM
maraxoVdaneV mara(N1)+xoVdaneV_#_SOC
maragalYoVdaneV mara(N1)+galYu_#_PL+lYoVdaneV_lYu_SOC
maraxoVMxigeV mara(N1)+xoVMxigeV_#_SOC
maragalYoVMxigeV mara(N1)+galYu_#_PL+lYoVMxigeV_lYu_SOC
maravA mara(N1)+vu_#_NOM+vA_vu_INTR
maravU mara(N1)+vu_#_NOM+vU_vu_INCL
maravo mara(N1)+vu_#_NOM+vo_vu_DUB
maravo mara(N1)+vu_#_NOM+vo_vu_INDF
maravo mara(N1)+vu_#_NOM+vo_vu_PRES
marave mara(N1)+vu_#_NOM+ve_vu_IMPH
marave mara(N1)+vu_#_NOM+ve_vu_DECL
marave mara(N1)+vu_#_NOM+ve_vu_RIS
maravannA mara(N1)+vannu_#_ACC+nnA_nnu_INTR
maravannU mara(N1)+vannu_#_ACC+nnU_nnu_INCL
maravanno mara(N1)+vannu_#_ACC+nno_nnu_DUB
maravanno mara(N1)+vannu_#_ACC+nno_nnu_INDF
maravanno mara(N1)+vannu_#_ACC+nno_nnu_PRES
maravanne mara(N1)+vannu_#_ACC+nne_nnu_IMPH
maravanne mara(N1)+vannu_#_ACC+nne_nnu_DECL
maravanne mara(N1)+vannu_#_ACC+nne_nnu_RIS
maraxiMxalA mara(N1)+xiMxa_#_INS+lA_#_INTR
maraxiMxalU mara(N1)+xiMxa_#_INS+lU_#_INCL
maraxiMxalo mara(N1)+xiMxa_#_INS+lo_#_DUB
maraxiMxalo mara(N1)+xiMxa_#_INS+lo_#_INDF
maraxiMxalo mara(N1)+xiMxa_#_INS+lo_#_PRES
maraxiMxale mara(N1)+xiMxa_#_INS+le_#_IMPH
maraxiMxale mara(N1)+xiMxa_#_INS+le_#_DECL
maraxiMxale mara(N1)+xiMxa_#_INS+le_#_RIS
marakkA mara(N1)+kkeV_#_DAT+kkA_kkeV_INTR
marakkU mara(N1)+kkeV_#_DAT+kkU_kkeV_INCL
marakko mara(N1)+kkeV_#_DAT+kko_kkeV_DUB
marakko mara(N1)+kkeV_#_DAT+kko_kkeV_INDF
marakko mara(N1)+kkeV_#_DAT+kko_kkeV_PRES
marakke mara(N1)+kkeV_#_DAT+kke_kkeV_IMPH
marakke mara(N1)+kkeV_#_DAT+kke_kkeV_DECL
marakke mara(N1)+kkeV_#_DAT+kke_kkeV_RIS
maraxiMxalA mara(N1)+xiMxa_#_ABL+lA_#_INTR
maraxiMxalU mara(N1)+xiMxa_#_ABL+lU_#_INCL
maraxiMxalo mara(N1)+xiMxa_#_ABL+lo_#_DUB
maraxiMxalo mara(N1)+xiMxa_#_ABL+lo_#_INDF
maraxiMxalo mara(N1)+xiMxa_#_ABL+lo_#_PRES
maraxiMxale mara(N1)+xiMxa_#_ABL+le_#_IMPH
maraxiMxale mara(N1)+xiMxa_#_ABL+le_#_DECL
maraxiMxale mara(N1)+xiMxa_#_ABL+le_#_RIS
maraxalliyA mara(N1)+xalli_#_LOC+yA_#_INTR
maraxalliyU mara(N1)+xalli_#_LOC+yU_#_INCL
maraxalliyo mara(N1)+xalli_#_LOC+yo_#_DUB
maraxalliyo mara(N1)+xalli_#_LOC+yo_#_INDF
maraxalliyo mara(N1)+xalli_#_LOC+yo_#_PRES
maraxalliye mara(N1)+xalli_#_LOC+ye_#_IMPH
maraxalliye mara(N1)+xalli_#_LOC+ye_#_DECL
maraxalliye mara(N1)+xalli_#_LOC+ye_#_RIS
maragalYA mara(N1)+galYu_#_NOM+lYA_lYu_INTR
maragalYU mara(N1)+galYu_#_NOM+lYU_lYu_INCL
maragalYo mara(N1)+galYu_#_NOM+lYo_lYu_DUB
maragalYo mara(N1)+galYu_#_NOM+lYo_lYu_INDF
maragalYo mara(N1)+galYu_#_NOM+lYo_lYu_PRES
maragalYe mara(N1)+galYu_#_NOM+lYe_lYu_IMPH
maragalYe mara(N1)+galYu_#_NOM+lYe_lYu_DECL
maragalYe mara(N1)+galYu_#_NOM+lYe_lYu_RIS
maragalYannA mara(N1)+galYu_#_ACC+lYannA_lYu_INTR
maragalYannU mara(N1)+galYu_#_ACC+lYannU_lYu_INCL
maragalYanno mara(N1)+galYu_#_ACC+lYanno_lYu_DUB
maragalYanno mara(N1)+galYu_#_ACC+lYanno_lYu_INDF
maragalYanno mara(N1)+galYu_#_ACC+lYanno_lYu_PRES
maragalYanne mara(N1)+galYu_#_ACC+lYanne_lYu_IMPH
maragalYanne mara(N1)+galYu_#_ACC+lYanne_lYu_DECL
maragalYanne mara(N1)+galYu_#_ACC+lYanne_lYu_RIS
maragalYiMxalA mara(N1)+galYu_#_INS+lYiMxalA_lYu_INTR
