naneVyu naneV(N4)+yu_#_NOM
naneVgalYu naneV(N4)+galYu_#_PL
naneVyannu naneV(N4)+yannu_#_ACC
naneVgalYannu naneV(N4)+galYu_#_PL+lYannu_lYu_ACC 
naneVyiMxa naneV(N4)+yiMxa_#_INS
naneVgalYiMxa naneV(N4)+galYu_#_PL+lYiMxa_lYu_INS
naneVgeV naneV(N4)+geV_#_DAT
naneVgalYigeV naneV(N4)+galYu_#_PL+lYigeV_lYu_DAT
naneVyiMxa naneV(N4)+yiMxa_#_ABL
naneVgalYiMxa naneV(N4)+galYu_#_PL+lYiMxa_lYu_ABL
naneVya naneV(N4)+ya_#_GEN
naneVgalYa naneV(N4)+galYu_#_PL+lYa_lYu_GEN
naneVyalli naneV(N4)+yalli_#_LOC
naneVgalYalli naneV(N4)+galYu_#_PL+lYalli_lYu_LOC
naneVye naneV(N4)+ye_#_VOC
naneVgalYe naneV(N4)+galYu_#_PL+lYe_lYu_VOC
naneVgoskara naneV(N4)+goskara_#_BEN
naneVgalYigoskara naneV(N4)+galYu_#_PL+lYigoskara_lYu_BEN
naneVgoskara naneV(N4)+goskara_#_PUR
naneVgalYigoskara naneV(N4)+galYu_#_PL+lYigoskara_lYu_PUR
naneVgAgi naneV(N4)+gAgi_#_BEN
naneVgalYigAgi naneV(N4)+galYu_#_PL+lYigAgi_lYu_BEN
naneVgAgi naneV(N4)+gAgi_#_PUR
naneVgalYigAgi naneV(N4)+galYu_#_PL+lYigAgi_lYu_PUR
naneVgosuga naneV(N4)+gosuga_#_BEN
naneVgalYigosuga naneV(N4)+galYu_#_PL+lYigosuga_lYu_BEN
naneVgosuga naneV(N4)+gosuga_#_PUR
naneVgalYigosuga naneV(N4)+galYu_#_PL+lYigosuga_lYu_PUR
naneVgiMwa naneV(N4)+giMwa_#_COMP
naneVgalYigiMwa naneV(N4)+galYu_#_PL+lYigiMwa_lYu_COMP
naneVyaMweV naneV(N4)+yaMweV_#_SIM
naneVgalYaMweV naneV(N4)+galYu_#_PL+lYaMweV_lYu_SIM
naneVyaMwa naneV(N4)+yaMwa_#_SIM
naneVgalYaMwa naneV(N4)+galYu_#_PL+lYaMwa_lYu_SIM
naneVyaMwaha naneV(N4)+yaMwaha_#_SIM
naneVgalYaMwaha naneV(N4)+galYu_#_PL+lYaMwaha_lYu_SIM
naneVyoVdaneV naneV(N4)+yoVdaneV_#_SOC
naneVgalYoVdaneV naneV(N4)+galYu_#_PL+lYoVdaneV_lYu_SOC
naneVyoVMxigeV naneV(N4)+yoVMxigeV_#_SOC
naneVgalYoVMxigeV naneV(N4)+galYu_#_PL+lYoVMxigeV_lYu_SOC
naneVyA naneV(N4)+yu_#_NOM+yA_yu_INTR
naneVyU naneV(N4)+yu_#_NOM+yU_yu_INCL
naneVyo naneV(N4)+yu_#_NOM+yo_yu_DUB
naneVyo naneV(N4)+yu_#_NOM+yo_yu_INDF
naneVyo naneV(N4)+yu_#_NOM+yo_yu_PRES
naneVye naneV(N4)+yu_#_NOM+ye_yu_IMPH
naneVye naneV(N4)+yu_#_NOM+ye_yu_DECL
naneVye naneV(N4)+yu_#_NOM+ye_yu_RIS
naneVyannA naneV(N4)+yannu_#_ACC+nnA_nnu_INTR
naneVyannU naneV(N4)+yannu_#_ACC+nnU_nnu_INCL
naneVyanno naneV(N4)+yannu_#_ACC+nno_nnu_DUB
naneVyanno naneV(N4)+yannu_#_ACC+nno_nnu_INDF
naneVyanno naneV(N4)+yannu_#_ACC+nno_nnu_PRES
naneVyanne naneV(N4)+yannu_#_ACC+nne_nnu_IMPH
naneVyanne naneV(N4)+yannu_#_ACC+nne_nnu_DECL
naneVyanne naneV(N4)+yannu_#_ACC+nne_nnu_RIS
naneVyiMxalA naneV(N4)+yiMxa_#_INS+lA_#_INTR
naneVyiMxalU naneV(N4)+yiMxa_#_INS+lU_#_INCL
naneVyiMxalo naneV(N4)+yiMxa_#_INS+lo_#_DUB
naneVyiMxalo naneV(N4)+yiMxa_#_INS+lo_#_INDF
naneVyiMxalo naneV(N4)+yiMxa_#_INS+lo_#_PRES
naneVyiMxale naneV(N4)+yiMxa_#_INS+le_#_IMPH
naneVyiMxale naneV(N4)+yiMxa_#_INS+le_#_DECL
naneVyiMxale naneV(N4)+yiMxa_#_INS+le_#_RIS
naneVgA naneV(N4)+geV_#_DAT+gA_geV_INTR
naneVgU naneV(N4)+geV_#_DAT+gU_geV_INCL
naneVgo naneV(N4)+geV_#_DAT+go_geV_DUB
naneVgo naneV(N4)+geV_#_DAT+go_geV_INDF
naneVgo naneV(N4)+geV_#_DAT+go_geV_PRES
naneVge naneV(N4)+geV_#_DAT+ge_geV_IMPH
naneVge naneV(N4)+geV_#_DAT+ge_geV_DECL
naneVge naneV(N4)+geV_#_DAT+ge_geV_RIS
naneVyiMxalA naneV(N4)+yiMxa_#_ABL+lA_#_INTR
naneVyiMxalU naneV(N4)+yiMxa_#_ABL+lU_#_INCL
naneVyiMxalo naneV(N4)+yiMxa_#_ABL+lo_#_DUB
naneVyiMxalo naneV(N4)+yiMxa_#_ABL+lo_#_INDF
naneVyiMxalo naneV(N4)+yiMxa_#_ABL+lo_#_PRES
