naxiyu naxi(N2)+yu_#_NOM
naxigalYu naxi(N2)+galYu_#_PL
naxiyannu naxi(N2)+yannu_#_ACC
naxigalYannu naxi(N2)+galYu_#_PL+lYannu_lYu_ACC 
naxiyiMxa naxi(N2)+yiMxa_#_INS
naxigalYiMxa naxi(N2)+galYu_#_PL+lYiMxa_lYu_INS
naxigeV naxi(N2)+geV_#_DAT
naxigalYigeV naxi(N2)+galYu_#_PL+lYigeV_lYu_DAT
naxiyiMxa naxi(N2)+yiMxa_#_ABL
naxigalYiMxa naxi(N2)+galYu_#_PL+lYiMxa_lYu_ABL
naxiya naxi(N2)+ya_#_GEN
naxigalYa naxi(N2)+galYu_#_PL+lYa_lYu_GEN
naxiyalli naxi(N2)+yalli_#_LOC
naxigalYalli naxi(N2)+galYu_#_PL+lYalli_lYu_LOC
naxiye naxi(N2)+ye_#_VOC
naxigalYe naxi(N2)+galYu_#_PL+lYe_lYu_VOC
naxigoskara naxi(N2)+goskara_#_BEN
naxigalYigoskara naxi(N2)+galYu_#_PL+lYigoskara_lYu_BEN
naxigoskara naxi(N2)+goskara_#_PUR
naxigalYigoskara naxi(N2)+galYu_#_PL+lYigoskara_lYu_PUR
naxigAgi naxi(N2)+gAgi_#_BEN
naxigalYigAgi naxi(N2)+galYu_#_PL+lYigAgi_lYu_BEN
naxigAgi naxi(N2)+gAgi_#_PUR
naxigalYigAgi naxi(N2)+galYu_#_PL+lYigAgi_lYu_PUR
naxigosuga naxi(N2)+gosuga_#_BEN
naxigalYigosuga naxi(N2)+galYu_#_PL+lYigosuga_lYu_BEN
naxigosuga naxi(N2)+gosuga_#_PUR
naxigalYigosuga naxi(N2)+galYu_#_PL+lYigosuga_lYu_PUR
naxigiMwa naxi(N2)+giMwa_#_COMP
naxigalYigiMwa naxi(N2)+galYu_#_PL+lYigiMwa_lYu_COMP
naxiyaMweV naxi(N2)+yaMweV_#_SIM
naxigalYaMweV naxi(N2)+galYu_#_PL+lYaMweV_lYu_SIM
naxiyaMwa naxi(N2)+yaMwa_#_SIM
naxigalYaMwa naxi(N2)+galYu_#_PL+lYaMwa_lYu_SIM
naxiyaMwaha naxi(N2)+yaMwaha_#_SIM
naxigalYaMwaha naxi(N2)+galYu_#_PL+lYaMwaha_lYu_SIM
naxiyoVdaneV naxi(N2)+yoVdaneV_#_SOC
naxigalYoVdaneV naxi(N2)+galYu_#_PL+lYoVdaneV_lYu_SOC
naxiyoVMxigeV naxi(N2)+yoVMxigeV_#_SOC
naxigalYoVMxigeV naxi(N2)+galYu_#_PL+lYoVMxigeV_lYu_SOC
naxiyA naxi(N2)+yu_#_NOM+yA_yu_INTR
naxiyU naxi(N2)+yu_#_NOM+yU_yu_INCL
naxiyo naxi(N2)+yu_#_NOM+yo_yu_DUB
naxiyo naxi(N2)+yu_#_NOM+yo_yu_INDF
naxiyo naxi(N2)+yu_#_NOM+yo_yu_PRES
naxiye naxi(N2)+yu_#_NOM+ye_yu_IMPH
naxiye naxi(N2)+yu_#_NOM+ye_yu_DECL
naxiye naxi(N2)+yu_#_NOM+ye_yu_RIS
naxiyannA naxi(N2)+yannu_#_ACC+nnA_nnu_INTR
naxiyannU naxi(N2)+yannu_#_ACC+nnU_nnu_INCL
naxiyanno naxi(N2)+yannu_#_ACC+nno_nnu_DUB
naxiyanno naxi(N2)+yannu_#_ACC+nno_nnu_INDF
naxiyanno naxi(N2)+yannu_#_ACC+nno_nnu_PRES
naxiyanne naxi(N2)+yannu_#_ACC+nne_nnu_IMPH
naxiyanne naxi(N2)+yannu_#_ACC+nne_nnu_DECL
naxiyanne naxi(N2)+yannu_#_ACC+nne_nnu_RIS
naxiyiMxalA naxi(N2)+yiMxa_#_INS+lA_#_INTR
naxiyiMxalU naxi(N2)+yiMxa_#_INS+lU_#_INCL
naxiyiMxalo naxi(N2)+yiMxa_#_INS+lo_#_DUB
naxiyiMxalo naxi(N2)+yiMxa_#_INS+lo_#_INDF
naxiyiMxalo naxi(N2)+yiMxa_#_INS+lo_#_PRES
naxiyiMxale naxi(N2)+yiMxa_#_INS+le_#_IMPH
naxiyiMxale naxi(N2)+yiMxa_#_INS+le_#_DECL
naxiyiMxale naxi(N2)+yiMxa_#_INS+le_#_RIS
naxigA naxi(N2)+geV_#_DAT+gA_geV_INTR
naxigU naxi(N2)+geV_#_DAT+gU_geV_INCL
naxigo naxi(N2)+geV_#_DAT+go_geV_DUB
naxigo naxi(N2)+geV_#_DAT+go_geV_INDF
naxigo naxi(N2)+geV_#_DAT+go_geV_PRES
naxige naxi(N2)+geV_#_DAT+ge_geV_IMPH
naxige naxi(N2)+geV_#_DAT+ge_geV_DECL
naxige naxi(N2)+geV_#_DAT+ge_geV_RIS
naxiyiMxalA naxi(N2)+yiMxa_#_ABL+lA_#_INTR
naxiyiMxalU naxi(N2)+yiMxa_#_ABL+lU_#_INCL
naxiyiMxalo naxi(N2)+yiMxa_#_ABL+lo_#_DUB
naxiyiMxalo naxi(N2)+yiMxa_#_ABL+lo_#_INDF
naxiyiMxalo naxi(N2)+yiMxa_#_ABL+lo_#_PRES
naxiyiMxale naxi(N2)+yiMxa_#_ABL+le_#_IMPH
naxiyiMxale naxi(N2)+yiMxa_#_ABL+le_#_DECL
naxiyiMxale naxi(N2)+yiMxa_#_ABL+le_#_RIS
naxiyalliyA naxi(N2)+yalli_#_LOC+yA_#_INTR
naxiyalliyU naxi(N2)+yalli_#_LOC+yU_#_INCL
naxiyalliyo naxi(N2)+yalli_#_LOC+yo_#_DUB
naxiyalliyo naxi(N2)+yalli_#_LOC+yo_#_INDF
naxiyalliyo naxi(N2)+yalli_#_LOC+yo_#_PRES
naxiyalliye naxi(N2)+yalli_#_LOC+ye_#_IMPH
naxiyalliye naxi(N2)+yalli_#_LOC+ye_#_DECL
naxiyalliye naxi(N2)+yalli_#_LOC+ye_#_RIS
naxigalYA naxi(N2)+galYu_#_NOM+lYA_lYu_INTR
naxigalYU naxi(N2)+galYu_#_NOM+lYU_lYu_INCL
naxigalYo naxi(N2)+galYu_#_NOM+lYo_lYu_DUB
naxigalYo naxi(N2)+galYu_#_NOM+lYo_lYu_INDF
naxigalYo naxi(N2)+galYu_#_NOM+lYo_lYu_PRES
naxigalYe naxi(N2)+galYu_#_NOM+lYe_lYu_IMPH
naxigalYe naxi(N2)+galYu_#_NOM+lYe_lYu_DECL
naxigalYe naxi(N2)+galYu_#_NOM+lYe_lYu_RIS
naxigalYannA naxi(N2)+galYu_#_ACC+lYannA_lYu_INTR
naxigalYannU naxi(N2)+galYu_#_ACC+lYannU_lYu_INCL
naxigalYanno naxi(N2)+galYu_#_ACC+lYanno_lYu_DUB
naxigalYanno naxi(N2)+galYu_#_ACC+lYanno_lYu_INDF
naxigalYanno naxi(N2)+galYu_#_ACC+lYanno_lYu_PRES
naxigalYanne naxi(N2)+galYu_#_ACC+lYanne_lYu_IMPH
naxigalYanne naxi(N2)+galYu_#_ACC+lYanne_lYu_DECL
naxigalYanne naxi(N2)+galYu_#_ACC+lYanne_lYu_RIS
naxigalYiMxalA naxi(N2)+galYu_#_INS+lYiMxalA_lYu_INTR
naxigalYiMxalU naxi(N2)+galYu_#_INS+lYiMxalU_lYu_INCL
naxigalYiMxalo naxi(N2)+galYu_#_INS+lYiMxalo_lYu_DUB
naxigalYiMxalo naxi(N2)+galYu_#_INS+lYiMxalo_lYu_INDF
naxigalYiMxalo naxi(N2)+galYu_#_INS+lYiMxalo_lYu_PRES
naxigalYiMxale naxi(N2)+galYu_#_INS+lYiMxale_lYu_IMPH
naxigalYiMxale naxi(N2)+galYu_#_INS+lYiMxale_lYu_DECL
