oVMxannu oVMxu(N17)+xannu_xu_ACC
oVMxariMxa oVMxu(N17)+xariMxa_xu_INS
oVMxakkeV oVMxu(N17)+xakkeV_xu_DAT
oVMxariMxa oVMxu(N17)+xariMxa_xu_ABL
oVMxara  oVMxu(N17)+xara_xu_GEN
oVMxaralli oVMxu(N17)+xaralli_xu_LOC
oVMxakkoskara oVMxu(N17)+xakkoskara_xu_BEN
oVMxakkoskara oVMxu(N17)+xakkoskara_xu_PUR
oVMxakkAgi oVMxu(N17)+xakkAgi_xu_BEN
oVMxakkAgi oVMxu(N17)+xakkAgi_xu_PUR
oVMxakkosuga oVMxu(N17)+xakkosuga_xu_BEN
oVMxakkosuga oVMxu(N17)+xakkosuga_xu_PUR
oVMxakkiMwa oVMxu(N17)+xakkiMwa_xu_COMP
oVMxaraMweV oVMxu(N17)+xaraMweV_xu_SIM
oVMxaraMwa oVMxu(N17)+xaraMwa_xu_SIM
oVMxaraMwaha oVMxu(N17)+xaraMwaha_xu_SIM
oVMxaroVdaneV oVMxu(N17)+xaroVdaneV_xu_SOC
oVMxaroVMxigeV oVMxu(N17)+xaroVMxigeV_xu_SOC
oVMxA oVMxu(N17)+xA_xu_INTR
oVMxU oVMxu(N17)+xU_xu_INCL
oVMxo oVMxu(N17)+xo_xu_DUB
oVMxo oVMxu(N17)+xo_xu_INDF
oVMxo oVMxu(N17)+xo_xu_PRES
oVMxe oVMxu(N17)+xe_xu_IMPH
oVMxe oVMxu(N17)+xe_xu_DECL
oVMxe oVMxu(N17)+xe_xu_RIS
oVMxannA oVMxu(N17)+xannu_xu_ACC+nnA_nnu_INTR
oVMxannU oVMxu(N17)+xannu_xu_ACC+nnU_nnu_INCL
oVMxanno oVMxu(N17)+xannu_xu_ACC+nno_nnu_DUB
oVMxanno oVMxu(N17)+xannu_xu_ACC+nno_nnu_INDF
oVMxanno oVMxu(N17)+xannu_xu_ACC+nno_nnu_PRES
oVMxanne oVMxu(N17)+xannu_xu_ACC+nne_nnu_IMPH
