swrIyu swrI(N12)+yu_#_NOM
swrIyaru swrI(N12)+yaru_#_PL
swrIyannu swrI(N12)+yannu_#_ACC
swrIyarannu swrI(N12)+yaru_#_PL+rannu_ru_ACC 
swrIyiMxa swrI(N12)+yiMxa_#_INS
swrIyariMxa swrI(N12)+yaru_#_PL+riMxa_ru_INS
swrIgeV swrI(N12)+geV_#_DAT
swrIyarigeV swrI(N12)+yaru_#_PL+rigeV_ru_DAT
swrIyiMxa swrI(N12)+yiMxa_#_ABL
swrIyariMxa swrI(N12)+yaru_#_PL+riMxa_ru_ABL
swrIya swrI(N12)+ya_#_GEN
swrIyara swrI(N12)+yaru_#_PL+ra_ru_GEN
swrIyalli swrI(N12)+yalli_#_LOC
swrIyaralli swrI(N12)+yaru_#_PL+ralli_ru_LOC
swrIye swrI(N12)+ye_#_VOC
swrIyare swrI(N12)+yaru_#_PL+re_ru_VOC
swrIgoskara swrI(N12)+goskara_#_BEN
swrIyarigoskara swrI(N12)+yaru_#_PL+rigoskara_ru_BEN
swrIgoskara swrI(N12)+goskara_#_PUR
swrIyarigoskara swrI(N12)+yaru_#_PL+rigoskara_ru_PUR
swrIgAgi swrI(N12)+gAgi_#_BEN
swrIyarigAgi swrI(N12)+yaru_#_PL+rigAgi_ru_BEN
swrIgAgi swrI(N12)+gAgi_#_PUR
swrIyarigAgi swrI(N12)+yaru_#_PL+rigAgi_ru_PUR
swrIgosuga swrI(N12)+gosuga_#_BEN
swrIyarigosuga swrI(N12)+yaru_#_PL+rigosuga_ru_BEN
swrIgosuga swrI(N12)+gosuga_#_PUR
swrIyarigosuga swrI(N12)+yaru_#_PL+rigosuga_ru_PUR
swrIgiMwa swrI(N12)+giMwa_#_COMP
swrIyarigiMwa swrI(N12)+yaru_#_PL+rigiMwa_ru_COMP
swrIyaMweV swrI(N12)+yaMweV_#_SIM
swrIyaraMweV swrI(N12)+yaru_#_PL+raMweV_ru_SIM
swrIyaMwa swrI(N12)+yaMwa_#_SIMswrIyaraMwa swrI(N12)+yaru_#_PL+raMwa_ru_SIM
swrIyaMwaha swrI(N12)+yaMwaha_#_SIM
swrIyaraMwaha swrI(N12)+yaru_#_PL+raMwaha_ru_SIM
swrIyoVdaneV swrI(N12)+yoVdaneV_#_SOC
swrIyaroVdaneV swrI(N12)+yaru_#_PL+roVdaneV_ru_SOC
swrIyoVMxigeV swrI(N12)+yoVMxigeV_#_SOC
swrIyaroVMxigeV swrI(N12)+yaru_#_PL+roVMxigeV_ru_SOC
swrIyA swrI(N12)+yu_#_NOM+yA_yu_INTR
swrIyU swrI(N12)+yu_#_NOM+yU_yu_INCL
swrIyo swrI(N12)+yu_#_NOM+yo_yu_DUB
swrIyo swrI(N12)+yu_#_NOM+yo_yu_INDF
swrIyo swrI(N12)+yu_#_NOM+yo_yu_PRES
swrIye swrI(N12)+yu_#_NOM+ye_yu_IMPH
swrIye swrI(N12)+yu_#_NOM+ye_yu_DECL
swrIye swrI(N12)+yu_#_NOM+ye_yu_RIS
swrIyannA swrI(N12)+yannu_#_ACC+nnA_nnu_INTR
swrIyannU swrI(N12)+yannu_#_ACC+nnU_nnu_INCL
swrIyanno swrI(N12)+yannu_#_ACC+nno_nnu_DUB
swrIyanno swrI(N12)+yannu_#_ACC+nno_nnu_INDF
swrIyanno swrI(N12)+yannu_#_ACC+nno_nnu_PRES
swrIyanne swrI(N12)+yannu_#_ACC+nne_nnu_IMPH
swrIyanne swrI(N12)+yannu_#_ACC+nne_nnu_DECL
swrIyanne swrI(N12)+yannu_#_ACC+nne_nnu_RIS
swrIyiMxalA swrI(N12)+yiMxa_#_INS+lA_#_INTR
swrIyiMxalU swrI(N12)+yiMxa_#_INS+lU_#_INCL
swrIyiMxalo swrI(N12)+yiMxa_#_INS+lo_#_DUB
swrIyiMxalo swrI(N12)+yiMxa_#_INS+lo_#_INDF
swrIyiMxalo swrI(N12)+yiMxa_#_INS+lo_#_PRES
swrIyiMxale swrI(N12)+yiMxa_#_INS+le_#_IMPH
swrIyiMxale swrI(N12)+yiMxa_#_INS+le_#_DECL
swrIyiMxale swrI(N12)+yiMxa_#_INS+le_#_RIS
swrIgA swrI(N12)+geV_#_DAT+gA_geV_INTR
swrIgU swrI(N12)+geV_#_DAT+gU_geV_INCL
swrIgo swrI(N12)+geV_#_DAT+go_geV_DUB
swrIgo swrI(N12)+geV_#_DAT+go_geV_INDF
swrIgo swrI(N12)+geV_#_DAT+go_geV_PRES
swrIge swrI(N12)+geV_#_DAT+ge_geV_IMPH
swrIge swrI(N12)+geV_#_DAT+ge_geV_DECL
swrIge swrI(N12)+geV_#_DAT+ge_geV_RIS
swrIyiMxalA swrI(N12)+yiMxa_#_ABL+lA_#_INTR
swrIyiMxalU swrI(N12)+yiMxa_#_ABL+lU_#_INCL
swrIyiMxalo swrI(N12)+yiMxa_#_ABL+lo_#_DUB
swrIyiMxalo swrI(N12)+yiMxa_#_ABL+lo_#_INDF
swrIyiMxalo swrI(N12)+yiMxa_#_ABL+lo_#_PRES
swrIyiMxale swrI(N12)+yiMxa_#_ABL+le_#_IMPH
swrIyiMxale swrI(N12)+yiMxa_#_ABL+le_#_DECL
swrIyiMxale swrI(N12)+yiMxa_#_ABL+le_#_RIS
swrIyalliyA swrI(N12)+yalli_#_LOC+yA_#_INTR
swrIyalliyU swrI(N12)+yalli_#_LOC+yU_#_INCL
swrIyalliyo swrI(N12)+yalli_#_LOC+yo_#_DUB
swrIyalliyo swrI(N12)+yalli_#_LOC+yo_#_INDF
