wuruvu wuru(N3)+vu_#_NOM
wurugalYu wuru(N3)+galYu_#_PL
wuruvannu wuru(N3)+vannu_#_ACC
wurugalYannu wuru(N3)+galYu_#_PL+lYannu_lYu_ACC 
wuruviniMxa wuru(N3)+viniMxa_#_INS
wurugalYiMxa wuru(N3)+galYu_#_PL+lYiMxa_lYu_INS
wuruvigeV wuru(N3)+vigeV_#_DAT
wurugalYigeV wuru(N3)+galYu_#_PL+lYigeV_lYu_DAT
wuruviniMxa wuru(N3)+viniMxa_#_ABL
wurugalYiMxa wuru(N3)+galYu_#_PL+lYiMxa_lYu_ABL
wuruvina wuru(N3)+vina_#_GEN
wurugalYa wuru(N3)+galYu_#_PL+lYa_lYu_GEN
wuruvinalli wuru(N3)+vinalli_#_LOC
wurugalYalli wuru(N3)+galYu_#_PL+lYalli_lYu_LOC
wuruve wuru(N3)+ve_#_VOC
wurugalYe wuru(N3)+galYu_#_PL+lYe_lYu_VOC
wuruvigoskara wuru(N3)+vigoskara_#_BEN
wurugalYigoskara wuru(N3)+galYu_#_PL+lYigoskara_lYu_BEN
wuruvigoskara wuru(N3)+vigoskara_#_PUR
wurugalYigoskara wuru(N3)+galYu_#_PL+lYigoskara_lYu_PUR
wuruvigAgi wuru(N3)+vigAgi_#_BEN
wurugalYigAgi wuru(N3)+galYu_#_PL+lYigAgi_lYu_BEN
wuruvigAgi wuru(N3)+vigAgi_#_PUR
wurugalYigAgi wuru(N3)+galYu_#_PL+lYigAgi_lYu_PUR
wuruvigosuga wuru(N3)+vigosuga_#_BEN
wurugalYigosuga wuru(N3)+galYu_#_PL+lYigosuga_lYu_BEN
wuruvigosuga wuru(N3)+vigosuga_#_PUR
wurugalYigosuga wuru(N3)+galYu_#_PL+lYigosuga_lYu_PUR
wuruvigiMwa wuru(N3)+vigiMwa_#_COMP
wurugalYigiMwa wuru(N3)+galYu_#_PL+lYigiMwa_lYu_COMP
wuruvinaMweV wuru(N3)+vinaMweV_#_SIM
wurugalYaMweV wuru(N3)+galYu_#_PL+lYaMweV_lYu_SIM
wuruvinaMwa wuru(N3)+vinaMwa_#_SIM
wurugalYaMwa wuru(N3)+galYu_#_PL+lYaMwa_lYu_SIM
wuruvinaMwaha wuru(N3)+vinaMwaha_#_SIM
wurugalYaMwaha wuru(N3)+galYu_#_PL+lYaMwaha_lYu_SIM
wuruvinoVdaneV wuru(N3)+vinoVdaneV_#_SOC
wurugalYoVdaneV wuru(N3)+galYu_#_PL+lYoVdaneV_lYu_SOC
wuruvinoVMxigeV wuru(N3)+vinoVMxigeV_#_SOC
wurugalYoVMxigeV wuru(N3)+galYu_#_PL+lYoVMxigeV_lYu_SOC
wuruvA wuru(N3)+vu_#_NOM+vA_vu_INTR
wuruvU wuru(N3)+vu_#_NOM+vU_vu_INCL
wuruvo wuru(N3)+vu_#_NOM+vo_vu_DUB
wuruvo wuru(N3)+vu_#_NOM+vo_vu_INDF
wuruvo wuru(N3)+vu_#_NOM+vo_vu_PRES
wuruve wuru(N3)+vu_#_NOM+ve_vu_IMPH
wuruve wuru(N3)+vu_#_NOM+ve_vu_DECL
wuruve wuru(N3)+vu_#_NOM+ve_vu_RIS
wuruvannA wuru(N3)+vannu_#_ACC+nnA_nnu_INTR
wuruvannU wuru(N3)+vannu_#_ACC+nnU_nnu_INCL
wuruvanno wuru(N3)+vannu_#_ACC+nno_nnu_DUB
wuruvanno wuru(N3)+vannu_#_ACC+nno_nnu_INDF
wuruvanno wuru(N3)+vannu_#_ACC+nno_nnu_PRES
wuruvanne wuru(N3)+vannu_#_ACC+nne_nnu_IMPH
wuruvanne wuru(N3)+vannu_#_ACC+nne_nnu_DECL
wuruvanne wuru(N3)+vannu_#_ACC+nne_nnu_RIS
wuruviniMxalA wuru(N3)+viniMxa_#_INS+lA_#_INTR
wuruviniMxalU wuru(N3)+viniMxa_#_INS+lU_#_INCL
wuruviniMxalo wuru(N3)+viniMxa_#_INS+lo_#_DUB
wuruviniMxalo wuru(N3)+viniMxa_#_INS+lo_#_INDF
