avalYannu avalYu(PN2)+lYannu_lYu_ACC 

avalYiMxa avalYu(PN2)+lYiMxa_lYu_INS

avalYigeV avalYu(PN2)+lYigeV_lYu_DAT

avalYiMxa avalYu(PN2)+lYiMxa_lYu_ABL

avalYa avalYu(PN2)+lYa_lYu_GEN

avalYalli avalYu(PN2)+lYalli_lYu_LOC

avalYA avalYu(PN2)+lYA_lYu_VOC

avalYigoskara avalYu(PN2)+lYigoskara_lYu_BEN

avalYigoskara avalYu(PN2)+lYigoskara_lYu_PUR

avalYigAgi avalYu(PN2)+lYigAgi_lYu_BEN

avalYigAgi avalYu(PN2)+lYigAgi_lYu_PUR

avalYigosuga avalYu(PN2)+lYigosuga_lYu_BEN

avalYigosuga avalYu(PN2)+lYigosuga_lYu_PUR

avalYigiMwa avalYu(PN2)+lYigiMwa_lYu_COMP

avalYaMweV avalYu(PN2)+lYaMweV_lYu_SIM

avalYaMwa avalYu(PN2)+lYaMwa_lYu_SIM

avalYaMwaha avalYu(PN2)+lYaMwaha_lYu_SIM

avalYoVndaneV avalYu(PN2)+lYoVndaneV_lYu_SOC

avalYoVnMxigeV avalYu(PN2)+lYoVnMxigeV_lYu_SOC
avalYA avalYu(PN2)+lYu_lYu_NOM+lYA_lYu_INTR
avalYU avalYu(PN2)+lYu_lYu_NOM+lYU_lYu_INCL
avalYo avalYu(PN2)+lYu_lYu_NOM+lYo_lYu_DUB
avalYo avalYu(PN2)+lYu_lYu_NOM+lYo_lYu_INDF
avalYo avalYu(PN2)+lYu_lYu_NOM+lYo_lYu_PRES
avalYe avalYu(PN2)+lYu_lYu_NOM+lYe_lYu_IMPH
avalYe avalYu(PN2)+lYu_lYu_NOM+lYe_lYu_DECL
avalYe avalYu(PN2)+lYu_lYu_NOM+lYe_lYu_RIS
avalYannA avalYu(PN2)+lYannu_lYu_ACC+nnA_nnu_INTR
avalYannU avalYu(PN2)+lYannu_lYu_ACC+nnU_nnu_INCL
avalYanno avalYu(PN2)+lYannu_lYu_ACC+nno_nnu_DUB
avalYanno avalYu(PN2)+lYannu_lYu_ACC+nno_nnu_INDF
avalYanno avalYu(PN2)+lYannu_lYu_ACC+nno_nnu_PRES
avalYanne avalYu(PN2)+lYannu_lYu_ACC+nne_nnu_IMPH
avalYanne avalYu(PN2)+lYannu_lYu_ACC+nne_nnu_DECL
avalYanne avalYu(PN2)+lYannu_lYu_ACC+nne_nnu_RIS
avalYiMxalA avalYu(PN2)+lYiMxa_lYu_INS+lA_#_INTR
avalYiMxalU avalYu(PN2)+lYiMxa_lYu_INS+lU_#_INCL
avalYiMxalo avalYu(PN2)+lYiMxa_lYu_INS+lo_#_DUB
avalYiMxalo avalYu(PN2)+lYiMxa_lYu_INS+lo_#_INDF
avalYiMxalo avalYu(PN2)+lYiMxa_lYu_INS+lo_#_PRES
avalYiMxale avalYu(PN2)+lYiMxa_lYu_INS+le_#_IMP
avalYiMxale avalYu(PN2)+lYiMxa_lYu_INS+le_#_DECL
avalYiMxale avalYu(PN2)+lYiMxa_lYu_INS+le_#_RIS
