avannu avu(PN5)+annu_u_ACC 
avugalYannu avu(PN5)+galYannu_#_ACC 

avugalYiMxa avu(PN5)+galYiMxa_#_INS

avakkeV avu(PN5)+akkeV_u_DAT

avugalYigeV avu(PN5)+galYigeV_#_DAT

avugalYiMxa avu(PN5)+galYiMxa_#_ABL

avugalYa avu(PN5)+galYa_#_GEN

avugalYalli avu(PN5)+galYalli_#_LOC

avakkoskara avu(PN5)+akkoskara_u_BEN

avugalYigoskara avu(PN5)+galYigoskara_#_BEN

avakkoskara avu(PN5)+akkoskara_u_PUR

avugalYigoskara avu(PN5)+galYigoskara_#_PUR

avakkAgi avu(PN5)+akkAgi_u_BEN

avugalYigAgi avu(PN5)+galYigAgi_#_BEN

avakkAgi avu(PN5)+akkAgi_u_PUR
avugalYigAgi avu(PN5)+galYigAgi_#_PUR
avakkosuga avu(PN5)+akkosuga_u_BEN

avugalYigosuga avu(PN5)+galYigosuga_#_BEN
avakkosuga avu(PN5)+akkosuga_u_PUR
avugalYigosuga avu(PN5)+galYigosuga_#_PUR

avakkiMwa avu(PN5)+akkiMwa_u_COMP

avugalYigiMwa avu(PN5)+galYigiMwa_#_COMP

avugalYaMweV avu(PN5)+galYaMweV_#_SIM

avugalYaMwa avu(PN5)+galYaMwa_#_SIM

avugalYaMwaha avu(PN5)+galYaMwaha_#_SIM

avugalYoVdaneV avu(PN5)+galYoVdaneV_#_SOC

avugalYoVMxigeV avu(PN5)+galYoVMxigeV_#_SOC
avA avu(PN5)+vu_vu_NOM+A_u_INTR
avU avu(PN5)+vu_vu_NOM+U_u_INCL
avo avu(PN5)+vu_vu_NOM+o_u_DUB
avo avu(PN5)+vu_vu_NOM+o_u_INDF
avo avu(PN5)+vu_vu_NOM+o_u_PRES
ave avu(PN5)+vu_vu_NOM+e_u_IMPH
ave avu(PN5)+vu_vu_NOM+e_u_DECL
ave avu(PN5)+vu_vu_NOM+e_u_RIS
avannA avu(PN5)+annu_u_ACC+nnA_nnu_INTR
avannU avu(PN5)+annu_u_ACC+nnU_nnu_INCL
avanno avu(PN5)+annu_u_ACC+nno_nnu_DUB
avanno avu(PN5)+annu_u_ACC+nno_nnu_INDF
avanno avu(PN5)+annu_u_ACC+nno_nnu_PRES
avanne avu(PN5)+annu_u_ACC+nne_nnu_IMPH
avanne avu(PN5)+annu_u_ACC+nne_nnu_DECL
avanne avu(PN5)+annu_u_ACC+nne_nnu_RIS
avugalYannA avu(PN5)+galYannu_#_ACC+nnA_nnu_INTR
avugalYannU avu(PN5)+galYannu_#_ACC+nnU_nnu_INCL
avugalYanno avu(PN5)+galYannu_#_ACC+nno_nnu_DUB
avugalYanno avu(PN5)+galYannu_#_ACC+nno_nnu_INDF
avugalYanno avu(PN5)+galYannu_#_ACC+nno_nnu_PRES
avugalYanne avu(PN5)+galYannu_#_ACC+nne_nnu_IMPH
avugalYanne avu(PN5)+galYannu_#_ACC+nne_nnu_DECL
avugalYanne avu(PN5)+galYannu_#_ACC+nne_nnu_RIS
avugalYiMxalA avu(PN5)+galYiMxa_#_INS+lA_#_INTR
avugalYiMxalU avu(PN5)+galYiMxa_#_INS+lU_#_INCL
avugalYiMxalo avu(PN5)+galYiMxa_#_INS+lo_#_DUB
avugalYiMxalo avu(PN5)+galYiMxa_#_INS+lo_#_INDF
avugalYiMxalo avu(PN5)+galYiMxa_#_INS+lo_#_PRES
avugalYiMxale avu(PN5)+galYiMxa_#_INS+le_#_IMP
avugalYiMxale avu(PN5)+galYiMxa_#_INS+le_#_DECL
avugalYiMxale avu(PN5)+galYiMxa_#_INS+le_#_RIS
avakkeVyA avu(PN5)+akkeV_u_DAT+yA_#_INTR
avakkeVyU avu(PN5)+akkeV_u_DAT+yU_#_INCL
avakkeVyo avu(PN5)+akkeV_u_DAT+yo_#_DUB
avakkeVyo avu(PN5)+akkeV_u_DAT+yo_#_INDF
avakkeVyo avu(PN5)+akkeV_u_DAT+yo_#_PRES
avakkeVye avu(PN5)+akkeV_u_DAT+ye_#_IMPH
avakkeVye avu(PN5)+akkeV_u_DAT+ye_#_DECL
avakkeVye avu(PN5)+akkeV_u_DAT+ye_#_RIS
avugalYigeVyA avu(PN5)+galYigeV_#_DAT+yA_#_INTR
avugalYigeVyU avu(PN5)+galYigeV_#_DAT+yU_#_INCL
avugalYigeVyo avu(PN5)+galYigeV_#_DAT+yo_#_DUB
avugalYigeVyo avu(PN5)+galYigeV_#_DAT+yo_#_INDF
avugalYigeVyo avu(PN5)+galYigeV_#_DAT+yo_#_PRES
avugalYigeVye avu(PN5)+galYigeV_#_DAT+ye_#_IMPH
avugalYigeVye avu(PN5)+galYigeV_#_DAT+ye_#_DECL
avugalYigeVye avu(PN5)+galYigeV_#_DAT+ye_#_RIS
avugalYiMxalA avu(PN5)+galYiMxa_#_ABL+lA_#_INTR
avugalYiMxalU avu(PN5)+galYiMxa_#_ABL+lU_#_INCL
avugalYiMxalo avu(PN5)+galYiMxa_#_ABL+lo_#_DUB
avugalYiMxalo avu(PN5)+galYiMxa_#_ABL+lo_#_INDF
avugalYiMxalo avu(PN5)+galYiMxa_#_ABL+lo_#_PRES
avugalYiMxale avu(PN5)+galYiMxa_#_ABL+le_#_IMPH
avugalYiMxale avu(PN5)+galYiMxa_#_ABL+le_#_DECL
avugalYiMxale avu(PN5)+galYiMxa_#_ABL+le_#_RIS
avugalYalliyA avu(PN5)+galYalli_#_LOC+yA_#_INTR
avugalYalliyU avu(PN5)+galYalli_#_LOC+yU_#_INCL
avugalYalliyo avu(PN5)+galYalli_#_LOC+yo_#_DUB
avugalYalliyo avu(PN5)+galYalli_#_LOC+yo_#_INDF
avugalYalliyo avu(PN5)+galYalli_#_LOC+yo_#_PRES
avugalYalliye avu(PN5)+galYalli_#_LOC+ye_#_IMPH
avugalYalliye avu(PN5)+galYalli_#_LOC+ye_#_DECL
avugalYalliye avu(PN5)+galYalli_#_LOC+ye_#_RIS
avakkoskaravA avu(PN5)+akkoskara_u_BEN+vA_#_INTR
avakkoskaravU avu(PN5)+akkoskara_u_BEN+vU_#_INCL
avakkoskaravo avu(PN5)+akkoskara_u_BEN+vo_#_DUB
avakkoskaravo avu(PN5)+akkoskara_u_BEN+vo_#_PRES
avakkoskarave avu(PN5)+akkoskara_u_BEN+ve_#_IMPH
avakkoskarave avu(PN5)+akkoskara_u_BEN+ve_#_DECL
avakkoskarave avu(PN5)+akkoskara_u_BEN+ve_#_RIS
avakkoskaravA avu(PN5)+akkoskara_u_PUR+vA_#_INTR
avakkoskaravU avu(PN5)+akkoskara_u_PUR+vU_#_INCL
avakkoskaravo avu(PN5)+akkoskara_u_PUR+vo_#_DUB
avakkoskaravo avu(PN5)+akkoskara_u_PUR+vo_#_PRES
avakkoskarave avu(PN5)+akkoskara_u_PUR+ve_#_IMPH
avakkoskarave avu(PN5)+akkoskara_u_PUR+ve_#_DECL
avakkoskarave avu(PN5)+akkoskara_u_PUR+ve_#_RIS
avugalYigoskaravA avu(PN5)+galYigoskara_#_BEN+vA_#_INTR
avugalYigoskaravU avu(PN5)+galYigoskara_#_BEN+vU_#_INCL
