axannu axu(PN4)+annu_u_ACC 

axariMxa axu(PN4)+ariMxa_u_INS

axakkeV axu(PN4)+akkeV_u_DAT

axariMxa axu(PN4)+ariMxa_u_ABL

axara axu(PN4)+ara_u_GEN

axaralli axu(PN4)+aralli_u_LOC

axakkoskara axu(PN4)+akkoskara_u_BEN

axakkoskara axu(PN4)+akkoskara_u_PUR

axakkAgi axu(PN4)+akkAgi_u_BEN

axakkAgi axu(PN4)+akkAgi_u_PUR

axakkosuga axu(PN4)+akkosuga_u_BEN

axakkosuga axu(PN4)+akkosuga_u_PUR

axakkiMwa axu(PN4)+akkiMwa_u_COMP

axaraMweV axu(PN4)+araMweV_u_SIM

axaraMwa axu(PN4)+araMwa_u_SIM

axaraMwaha axu(PN4)+araMwaha_u_SIM

axaroVdaneV axu(PN4)+aroVdaneV_u_SOC

axaroVMxigeV axu(PN4)+aroVMxigeV_u_SOC
axA axu(PN4)+xu_xu_NOM+A_u_INTR
axU axu(PN4)+xu_xu_NOM+U_u_INCL
axo axu(PN4)+xu_xu_NOM+o_u_DUB
axo axu(PN4)+xu_xu_NOM+o_u_INDF
axo axu(PN4)+xu_xu_NOM+o_u_PRES
axe axu(PN4)+xu_xu_NOM+e_u_IMPH
axe axu(PN4)+xu_xu_NOM+e_u_DECL
axe axu(PN4)+xu_xu_NOM+e_u_RIS
axannA axu(PN4)+annu_u_ACC+nnA_nnu_INTR
axannU axu(PN4)+annu_u_ACC+nnU_nnu_INCL
axanno axu(PN4)+annu_u_ACC+nno_nnu_DUB
axanno axu(PN4)+annu_u_ACC+nno_nnu_INDF
axanno axu(PN4)+annu_u_ACC+nno_nnu_PRES
axanne axu(PN4)+annu_u_ACC+nne_nnu_IMPH
axanne axu(PN4)+annu_u_ACC+nne_nnu_DECL
axanne axu(PN4)+annu_u_ACC+nne_nnu_RIS
axariMxalA axu(PN4)+ariMxa_u_INS+lA_#_INTR
axariMxalU axu(PN4)+ariMxa_u_INS+lU_#_INCL
axariMxalo axu(PN4)+ariMxa_u_INS+lo_#_DUB
axariMxalo axu(PN4)+ariMxa_u_INS+lo_#_INDF
axariMxalo axu(PN4)+ariMxa_u_INS+lo_#_PRES
axariMxale axu(PN4)+ariMxa_u_INS+le_#_IMP
axariMxale axu(PN4)+ariMxa_u_INS+le_#_DECL
axariMxale axu(PN4)+ariMxa_u_INS+le_#_RIS
axakkeVyA axu(PN4)+akkeV_u_DAT+yA_#_INTR
axakkeVyU axu(PN4)+akkeV_u_DAT+yU_#_INCL
axakkeVyo axu(PN4)+akkeV_u_DAT+yo_#_DUB
axakkeVyo axu(PN4)+akkeV_u_DAT+yo_#_INDF
axakkeVyo axu(PN4)+akkeV_u_DAT+yo_#_PRES
axakkeVye axu(PN4)+akkeV_u_DAT+ye_#_IMPH
axakkeVye axu(PN4)+akkeV_u_DAT+ye_#_DECL
axakkeVye axu(PN4)+akkeV_u_DAT+ye_#_RIS
axariMxalA axu(PN4)+ariMxa_u_ABL+lA_#_INTR
axariMxalU axu(PN4)+ariMxa_u_ABL+lU_#_INCL
axariMxalo axu(PN4)+ariMxa_u_ABL+lo_#_DUB
axariMxalo axu(PN4)+ariMxa_u_ABL+lo_#_INDF
axariMxalo axu(PN4)+ariMxa_u_ABL+lo_#_PRES
axariMxale axu(PN4)+ariMxa_u_ABL+le_#_IMPH
axariMxale axu(PN4)+ariMxa_u_ABL+le_#_DECL
axariMxale axu(PN4)+ariMxa_u_ABL+le_#_RIS
axaralliyA axu(PN4)+aralli_u_LOC+yA_#_INTR
axaralliyU axu(PN4)+aralli_u_LOC+yU_#_INCL
axaralliyo axu(PN4)+aralli_u_LOC+yo_#_DUB
axaralliyo axu(PN4)+aralli_u_LOC+yo_#_INDF
axaralliyo axu(PN4)+aralli_u_LOC+yo_#_PRES
axaralliye axu(PN4)+aralli_u_LOC+ye_#_IMPH
axaralliye axu(PN4)+aralli_u_LOC+ye_#_DECL
axaralliye axu(PN4)+aralli_u_LOC+ye_#_RIS
axakkoskaravA axu(PN4)+akkoskara_u_BEN+vA_#_INTR
axakkoskaravU axu(PN4)+akkoskara_u_BEN+vU_#_INCL
axakkoskaravo axu(PN4)+akkoskara_u_BEN+vo_#_DUB
axakkoskaravo axu(PN4)+akkoskara_u_BEN+vo_#_PRES
axakkoskarave axu(PN4)+akkoskara_u_BEN+ve_#_IMPH
axakkoskarave axu(PN4)+akkoskara_u_BEN+ve_#_DECL
axakkoskarave axu(PN4)+akkoskara_u_BEN+ve_#_RIS
axakkoskaravA axu(PN4)+akkoskara_u_PUR+vA_#_INTR
axakkoskaravU axu(PN4)+akkoskara_u_PUR+vU_#_INCL
axakkoskaravo axu(PN4)+akkoskara_u_PUR+vo_#_DUB
axakkoskaravo axu(PN4)+akkoskara_u_PUR+vo_#_PRES
axakkoskarave axu(PN4)+akkoskara_u_PUR+ve_#_IMPH
axakkoskarave axu(PN4)+akkoskara_u_PUR+ve_#_DECL
axakkoskarave axu(PN4)+akkoskara_u_PUR+ve_#_RIS
axakkAgiyA axu(PN4)+akkeV_u_BEN+AgiyA_eV_INTR
axakkAgiyU axu(PN4)+akkeV_u_BEN+AgiyU_eV_INCL
axakkAgiyo axu(PN4)+akkeV_u_BEN+Agiyo_eV_DUB
