nannannu nAnu(PN7)+nannannu_nAnu_ACC 
nanniMxa nAnu(PN7)+nanniMxa_nAnu_INS
nanageV nAnu(PN7)+nanageV_nAnu_DAT
nanniMxa nAnu(PN7)+nanniMxa_nAnu_ABL
nanna nAnu(PN7)+nanna_nAnu_GEN
nannalli nAnu(PN7)+nannalli_nAnu_LOC
nanagoskara nAnu(PN7)+nanagoskara_nAnu_BEN
nanagoskara nAnu(PN7)+nanagoskara_nAnu_PUR
nanagAgi nAnu(PN7)+nanagAgi_nAnu_BEN
nanagAgi nAnu(PN7)+nanagAgi_nAnu_PUR
nanagosuga nAnu(PN7)+nanagosuga_nAnu_BEN
nanagosuga nAnu(PN7)+nanagosuga_nAnu_PUR
nanagiMwa nAnu(PN7)+nanagiMwa_nAnu_COMP
nannaMweV nAnu(PN7)+nannaMweV_nAnu_SIM
nannaMwa nAnu(PN7)+nannaMwa_nAnu_SIM
nannaMwaha nAnu(PN7)+nannaMwaha_nAnu_SIM
nannoVdaneV nAnu(PN7)+nannoVdaneV_nAnu_SOC
nannoVMxigeV nAnu(PN7)+nannoVMxigeV_nAnu_SOC
nAnA nAnu(PN7)+nu_nu_NOM+nA_nu_INTR
nAnU nAnu(PN7)+nu_nu_NOM+nU_nu_INC
nAno nAnu(PN7)+nu_nu_NOM+no_nu_DUB
nAno nAnu(PN7)+nu_nu_NOM+no_nu_INDF
nAno nAnu(PN7)+nu_nu_NOM+no_nu_PRES
nAne nAnu(PN7)+nu_nu_NOM+ne_nu_IMPH
nAne nAnu(PN7)+nu_nu_NOM+ne_nu_DEC
nAne nAnu(PN7)+nu_nu_NOM+ne_nu_RIS
nannannA nAnu(PN7)+nanna_nAnu_ACC+nnA_#_INTR
nannannU nAnu(PN7)+nanna_nAnu_ACC+nnU_#_INC
nannanno nAnu(PN7)+nanna_nAnu_ACC+nno_#_DUB
nannanno nAnu(PN7)+nanna_nAnu_ACC+nno_#_INDF
nannanno nAnu(PN7)+nanna_nAnu_ACC+nno_#_PRES
nannanne nAnu(PN7)+nanna_nAnu_ACC+nne_#_IMPH
nannanne nAnu(PN7)+nanna_nAnu_ACC+nne_#_DEC
nannanne nAnu(PN7)+nanna_nAnu_ACC+nne_#_RIS
nanniMxalA nAnu(PN7)+nanniMxa_nAnu_INS+lA_#_INTR
nanniMxalU nAnu(PN7)+nanniMxa_nAnu_INS+lU_#_INC
nanniMxalo nAnu(PN7)+nanniMxa_nAnu_INS+lo_#_DUB
nanniMxalo nAnu(PN7)+nanniMxa_nAnu_INS+lo_#_INDF
nanniMxalo nAnu(PN7)+nanniMxa_nAnu_INS+lo_#_PRES
nanniMxale nAnu(PN7)+nanniMxa_nAnu_INS+le_#_IMP
