nammannu nAvu(PN9)+nammannu_nAvu_ACC 
nammiMxa nAvu(PN9)+nammiMxa_nAvu_INS
namageV nAvu(PN9)+namageV_nAvu_DAT
nammiMxa nAvu(PN9)+nammiMxa_nAvu_ABL
namma nAvu(PN9)+namma_nAvu_GEN
nammalli nAvu(PN9)+nammalli_nAvu_LOC
namagoskara nAvu(PN9)+namagoskara_nAvu_BEN
namagoskara nAvu(PN9)+namagoskara_nAvu_PUR
namagAgi nAvu(PN9)+namagAgi_nAvu_BEN
namagAgi nAvu(PN9)+namagAgi_nAvu_PUR
namagosuga nAvu(PN9)+namagosuga_nAvu_BEN
namagosuga nAvu(PN9)+namagosuga_nAvu_PUR
namagiMwa nAvu(PN9)+namagiMwa_nAvu_COMP
nammaMweV nAvu(PN9)+nammaMweV_nAvu_SIM
nammaMwa nAvu(PN9)+nammaMwa_nAvu_SIM
nammaMwaha nAvu(PN9)+nammaMwaha_nAvu_SIM
nammoVdaneV nAvu(PN9)+nammoVdaneV_nAvu_SOC
nammoVMxigeV nAvu(PN9)+nammoVMxigeV_nAvu_SOC
nAvA nAvu(PN9)+vu_vu_NOM+vA_vu_INTR
nAvU nAvu(PN9)+vu_vu_NOM+vU_vu_INC
nAvo nAvu(PN9)+vu_vu_NOM+vo_vu_DUB
nAvo nAvu(PN9)+vu_vu_NOM+vo_vu_INDF
nAvo nAvu(PN9)+vu_vu_NOM+vo_vu_PRES
nAve nAvu(PN9)+vu_vu_NOM+ve_vu_IMPH
nAve nAvu(PN9)+vu_vu_NOM+ve_vu_DEC
nAve nAvu(PN9)+vu_vu_NOM+ve_vu_RIS
nammannA nAvu(PN9)+namma_nAvu_ACC+nnA_#_INTR
nammannU nAvu(PN9)+namma_nAvu_ACC+nnU_#_INC
nammanno nAvu(PN9)+namma_nAvu_ACC+nno_#_DUB
nammanno nAvu(PN9)+namma_nAvu_ACC+nno_#_INDF
nammanno nAvu(PN9)+namma_nAvu_ACC+nno_#_PRES
nammanne nAvu(PN9)+namma_nAvu_ACC+nne_#_IMPH
nammanne nAvu(PN9)+namma_nAvu_ACC+nne_#_DEC
nammanne nAvu(PN9)+namma_nAvu_ACC+nne_#_RIS
nammiMxalA nAvu(PN9)+nammiMxa_nAvu_INS+lA_#_INTR
nammiMxalU nAvu(PN9)+nammiMxa_nAvu_INS+lU_#_INC
nammiMxalo nAvu(PN9)+nammiMxa_nAvu_INS+lo_#_DUB
nammiMxalo nAvu(PN9)+nammiMxa_nAvu_INS+lo_#_INDF
nammiMxalo nAvu(PN9)+nammiMxa_nAvu_INS+lo_#_PRES
nammiMxale nAvu(PN9)+nammiMxa_nAvu_INS+le_#_IMP
nammiMxale nAvu(PN9)+nammiMxa_nAvu_INS+le_#_DEC
nammiMxale nAvu(PN9)+nammiMxa_nAvu_INS+le_#_RIS
namagA nAvu(PN9)+nama_nAvu_DAT+gA_#_INTR
namagU nAvu(PN9)+nama_nAvu_DAT+gU_#_INC
namago nAvu(PN9)+nama_nAvu_DAT+go_#_DUB
namago nAvu(PN9)+nama_nAvu_DAT+go_#_INDF
namago nAvu(PN9)+nama_nAvu_DAT+go_#_PRES
namage nAvu(PN9)+nama_nAvu_DAT+ge_#_IMPH
namage nAvu(PN9)+nama_nAvu_DAT+ge_#_DEC
namage nAvu(PN9)+nama_nAvu_DAT+ge_#_RIS
nammiMxalA nAvu(PN9)+nammiMxa_nAvu_ABL+lA_#_INTR
nammiMxalU nAvu(PN9)+nammiMxa_nAvu_ABL+lU_#_INC
nammiMxalo nAvu(PN9)+nammiMxa_nAvu_ABL+lo_#_DUB
