ninnannu nInu(PN11)+ninnannu_nInu_ACC 

ninniMxa nInu(PN11)+ninniMxa_nInu_INS

ninageV nInu(PN11)+ninageV_nInu_DAT

ninniMxa nInu(PN11)+ninniMxa_nInu_ABL

ninna nInu(PN11)+ninna_nInu_GEN

ninnalli nInu(PN11)+ninnalli_nInu_LOC

ninagoskara nInu(PN11)+ninagoskara_nInu_BEN

ninagoskara nInu(PN11)+ninagoskara_nInu_PUR

ninagAgi nInu(PN11)+ninagAgi_nInu_BEN

ninagAgi nInu(PN11)+ninagAgi_nInu_PUR

ninagosuga nInu(PN11)+ninagosuga_nInu_BEN

ninagosuga nInu(PN11)+ninagosuga_nInu_PUR

ninagiMwa nInu(PN11)+ninagiMwa_nInu_COMP

ninnaMweV nInu(PN11)+ninnaMweV_nInu_SIM

ninnaMwa nInu(PN11)+ninnaMwa_nInu_SIM

ninnaMwaha nInu(PN11)+ninnaMwaha_nInu_SIM

ninnoVdaneV nInu(PN11)+ninnoVdaneV_nInu_SOC

ninnoVMxigeV nInu(PN11)+ninnoVMxigeV_nInu_SOC

nInA nInu(PN11)+nu_nu_NOM+nA_nu_INTR

nInU nInu(PN11)+nu_nu_NOM+nU_nu_INC

nIno nInu(PN11)+nu_nu_NOM+no_nu_DUB

nIno nInu(PN11)+nu_nu_NOM+no_nu_INDF

nIno nInu(PN11)+nu_nu_NOM+no_nu_PRES

nIne nInu(PN11)+nu_nu_NOM+ne_nu_IMPH

nIne nInu(PN11)+nu_nu_NOM+ne_nu_DEC

nIne nInu(PN11)+nu_nu_NOM+ne_nu_RIS

ninnannA nInu(PN11)+ninna_nInu_ACC+nnA_#_INTR

ninnannU nInu(PN11)+ninna_nInu_ACC+nnU_#_INC

ninnanno nInu(PN11)+ninna_nInu_ACC+nno_#_DUB

ninnanno nInu(PN11)+ninna_nInu_ACC+nno_#_INDF

ninnanno nInu(PN11)+ninna_nInu_ACC+nno_#_PRES

ninnanne nInu(PN11)+ninna_nInu_ACC+nne_#_IMPH

ninnanne nInu(PN11)+ninna_nInu_ACC+nne_#_DEC

ninnanne nInu(PN11)+ninna_nInu_ACC+nne_#_RIS

ninniMxalA nInu(PN11)+ninniMxa_nInu_INS+lA_#_INTR

ninniMxalU nInu(PN11)+ninniMxa_nInu_INS+lU_#_INC

