wannannu wAnu(PN8)+wannannu_wAnu_ACC 

wanniMxa wAnu(PN8)+wanniMxa_wAnu_INS

wanageV wAnu(PN8)+wanageV_wAnu_DAT

wanniMxa wAnu(PN8)+wanniMxa_wAnu_ABL

wanna wAnu(PN8)+wanna_wAnu_GEN

wannalli wAnu(PN8)+wannalli_wAnu_LOC

wanagoskara wAnu(PN8)+wanagoskara_wAnu_BEN

wanagoskara wAnu(PN8)+wanagoskara_wAnu_PUR

wanagAgi wAnu(PN8)+wanagAgi_wAnu_BEN

wanagAgi wAnu(PN8)+wanagAgi_wAnu_PUR

wanagosuga wAnu(PN8)+wanagosuga_wAnu_BEN

wanagosuga wAnu(PN8)+wanagosuga_wAnu_PUR

wanagiMwa wAnu(PN8)+wanagiMwa_wAnu_COMP

wannaMweV wAnu(PN8)+wannaMweV_wAnu_SIM

wannaMwa wAnu(PN8)+wannaMwa_wAnu_SIM

wannaMwaha wAnu(PN8)+wannaMwaha_wAnu_SIM

wannoVdaneV wAnu(PN8)+wannoVdaneV_wAnu_SOC

wannoVMxigeV wAnu(PN8)+wannoVMxigeV_wAnu_SOC

wAnA wAnu(PN8)+nu_nu_NOM+nA_nu_INTR

wAnU wAnu(PN8)+nu_nu_NOM+nU_nu_INC

wAno wAnu(PN8)+nu_nu_NOM+no_nu_DUB

wAno wAnu(PN8)+nu_nu_NOM+no_nu_INDF

wAno wAnu(PN8)+nu_nu_NOM+no_nu_PRES

wAne wAnu(PN8)+nu_nu_NOM+ne_nu_IMPH

wAne wAnu(PN8)+nu_nu_NOM+ne_nu_DEC

wAne wAnu(PN8)+nu_nu_NOM+ne_nu_RIS

wannannA wAnu(PN8)+wanna_wAnu_ACC+nnA_#_INTR

wannannU wAnu(PN8)+wanna_wAnu_ACC+nnU_#_INC

wannanno wAnu(PN8)+wanna_wAnu_ACC+nno_#_DUB

wannanno wAnu(PN8)+wanna_wAnu_ACC+nno_#_INDF

wannanno wAnu(PN8)+wanna_wAnu_ACC+nno_#_PRES

wannanne wAnu(PN8)+wanna_wAnu_ACC+nne_#_IMPH

