wammannu wAvu(PN10)+wammannu_wAvu_ACC 

wammiMxa wAvu(PN10)+wammiMxa_wAvu_INS

wamageV wAvu(PN10)+wamageV_wAvu_DAT

wammiMxa wAvu(PN10)+wammiMxa_wAvu_ABL

wamma wAvu(PN10)+wamma_wAvu_GEN

wammalli wAvu(PN10)+wammalli_wAvu_LOC

wamagoskara wAvu(PN10)+wamagoskara_wAvu_BEN

wamagoskara wAvu(PN10)+wamagoskara_wAvu_PUR

wamagAgi wAvu(PN10)+wamagAgi_wAvu_BEN

wamagAgi wAvu(PN10)+wamagAgi_wAvu_PUR

wamagosuga wAvu(PN10)+wamagosuga_wAvu_BEN

wamagosuga wAvu(PN10)+wamagosuga_wAvu_PUR

wamagiMwa wAvu(PN10)+wamagiMwa_wAvu_COMP

wammaMweV wAvu(PN10)+wammaMweV_wAvu_SIM

wammaMwa wAvu(PN10)+wammaMwa_wAvu_SIM

wammaMwaha wAvu(PN10)+wammaMwaha_wAvu_SIM

wammoVdaneV wAvu(PN10)+wammoVdaneV_wAvu_SOC

wammoVMxigeV wAvu(PN10)+wammoVMxigeV_wAvu_SOC
wAvA wAvu(PN10)+vu_vu_NOM+vA_vu_INTR

wAvU wAvu(PN10)+vu_vu_NOM+vU_vu_INC

wAvo wAvu(PN10)+vu_vu_NOM+vo_vu_DUB

wAvo wAvu(PN10)+vu_vu_NOM+vo_vu_INDF

wAvo wAvu(PN10)+vu_vu_NOM+vo_vu_PRES

wAve wAvu(PN10)+vu_vu_NOM+ve_vu_IMPH

wAve wAvu(PN10)+vu_vu_NOM+ve_vu_DEC

wAve wAvu(PN10)+vu_vu_NOM+ve_vu_RIS

wammannA wAvu(PN10)+wamma_wAvu_ACC+nnA_#_INTR

wammannU wAvu(PN10)+wamma_wAvu_ACC+nnU_#_INC

wammanno wAvu(PN10)+wamma_wAvu_ACC+nno_#_DUB

wammanno wAvu(PN10)+wamma_wAvu_ACC+nno_#_INDF

wammanno wAvu(PN10)+wamma_wAvu_ACC+nno_#_PRES

wammanne wAvu(PN10)+wamma_wAvu_ACC+nne_#_IMPH

wammanne wAvu(PN10)+wamma_wAvu_ACC+nne_#_DEC

wammanne wAvu(PN10)+wamma_wAvu_ACC+nne_#_RIS

wammiMxalA wAvu(PN10)+wammiMxa_wAvu_INS+lA_#_INTR

wammiMxalU wAvu(PN10)+wammiMxa_wAvu_INS+lU_#_INC

wammiMxalo wAvu(PN10)+wammiMxa_wAvu_INS+lo_#_DUB

wammiMxalo wAvu(PN10)+wammiMxa_wAvu_INS+lo_#_INDF

wammiMxalo wAvu(PN10)+wammiMxa_wAvu_INS+lo_#_PRES

wammiMxale wAvu(PN10)+wammiMxa_wAvu_INS+le_#_IMP

wammiMxale wAvu(PN10)+wammiMxa_wAvu_INS+le_#_DEC

wammiMxale wAvu(PN10)+wammiMxa_wAvu_INS+le_#_RIS

wamagA wAvu(PN10)+wama_wAvu_DAT+gA_#_INTR

wamagU wAvu(PN10)+wama_wAvu_DAT+gU_#_INC

wamago wAvu(PN10)+wama_wAvu_DAT+go_#_DUB

wamago wAvu(PN10)+wama_wAvu_DAT+go_#_INDF

wamago wAvu(PN10)+wama_wAvu_DAT+go_#_PRES

wamage wAvu(PN10)+wama_wAvu_DAT+ge_#_IMPH

wamage wAvu(PN10)+wama_wAvu_DAT+ge_#_DEC

wamage wAvu(PN10)+wama_wAvu_DAT+ge_#_RIS

wammiMxalA wAvu(PN10)+wammiMxa_wAvu_ABL+lA_#_INTR

wammiMxalU wAvu(PN10)+wammiMxa_wAvu_ABL+lU_#_INC

wammiMxalo wAvu(PN10)+wammiMxa_wAvu_ABL+lo_#_DUB

wammiMxalo wAvu(PN10)+wammiMxa_wAvu_ABL+lo_#_INDF

wammiMxalo wAvu(PN10)+wammiMxa_wAvu_ABL+lo_#_PRES

wammiMxale wAvu(PN10)+wammiMxa_wAvu_ABL+le_#_IMP

wammiMxale wAvu(PN10)+wammiMxa_wAvu_ABL+le_#_DEC

wammiMxale wAvu(PN10)+wammiMxa_wAvu_ABL+le_#_RIS

wammalliyA wAvu(PN10)+wammalli_wAvu_LOC+yA_#_INTR

wammalliyU wAvu(PN10)+wammalli_wAvu_LOC+yU_#_INC

wammalliyo wAvu(PN10)+wammalli_wAvu_LOC+yo_#_DUB

wammalliyo wAvu(PN10)+wammalli_wAvu_LOC+yo_#_INDF

wammalliyo wAvu(PN10)+wammalli_wAvu_LOC+yo_#_PRES

wammalliye wAvu(PN10)+wammalli_wAvu_LOC+ye_#_IMPH

wammalliye wAvu(PN10)+wammalli_wAvu_LOC+ye_#_DEC

wammalliye wAvu(PN10)+wammalli_wAvu_LOC+ye_#_RIS

wamagoskaravA wAvu(PN10)+wamagoskara_wAvu_BEN+vA_#_INTR

wamagoskaravU wAvu(PN10)+wamagoskara_wAvu_BEN+vU_#_INC

wamagoskaravo wAvu(PN10)+wamagoskara_wAvu_BEN+vo_#_DUB

wamagoskaravo wAvu(PN10)+wamagoskara_wAvu_BEN+vo_#_PRES

wamagoskarave wAvu(PN10)+wamagoskara_wAvu_BEN+ve_#_IMPH

wamagoskarave wAvu(PN10)+wamagoskara_wAvu_BEN+ve_#_DEC

wamagoskarave wAvu(PN10)+wamagoskara_wAvu_BEN+ve_#_RIS

wamagoskaravA wAvu(PN10)+wamagoskara_wAvu_PUR+vA_#_INTR

wamagoskaravU wAvu(PN10)+wamagoskara_wAvu_PUR+vU_#_INC

wamagoskaravo wAvu(PN10)+wamagoskara_wAvu_PUR+vo_#_DUB

wamagoskaravo wAvu(PN10)+wamagoskara_wAvu_PUR+vo_#_PRES

wamagoskarave wAvu(PN10)+wamagoskara_wAvu_PUR+ve_#_IMPH

wamagoskarave wAvu(PN10)+wamagoskara_wAvu_PUR+ve_#_DEC

wamagoskarave wAvu(PN10)+wamagoskara_wAvu_PUR+ve_#_RIS

wamagAgiyA wAvu(PN10)+wamagAgi_wAvu_BEN+yA_#_INTR

wamagAgiyU wAvu(PN10)+wamagAgi_wAvu_BEN+yU_#_INC
wamagAgiyo wAvu(PN10)+wamagAgi_wAvu_BEN+yo_#_DUB

wamagAgiyo wAvu(PN10)+wamagAgi_wAvu_BEN+yo_#_PRES

wamagAgiye wAvu(PN10)+wamagAgi_wAvu_BEN+ye_#_IMPH

wamagAgiye wAvu(PN10)+wamagAgi_wAvu_BEN+ye_#_DEC

wamagAgiye wAvu(PN10)+wamagAgi_wAvu_BEN+ye_#_RIS

wamagAgiyA wAvu(PN10)+wamagAgi_wAvu_PUR+yA_#_INTR

wamagAgiyU wAvu(PN10)+wamagAgi_wAvu_PUR+yU_#_INC

wamagAgiyo wAvu(PN10)+wamagAgi_wAvu_PUR+yo_#_DUB

wamagAgiyo wAvu(PN10)+wamagAgi_wAvu_PUR+yo_#_PRES

wamagAgiye wAvu(PN10)+wamagAgi_wAvu_PUR+ye_#_IMPH

wamagAgiye wAvu(PN10)+wamagAgi_wAvu_PUR+ye_#_DEC

wamagAgiye wAvu(PN10)+wamagAgi_wAvu_PUR+ye_#_RIS

wamagosugavA wAvu(PN10)+wamagosuga_wAvu_BEN+vA_#_INTR

wamagosugavU wAvu(PN10)+wamagosuga_wAvu_BEN+vU_#_INC

wamagosugavo wAvu(PN10)+wamagosuga_wAvu_BEN+vo_#_DUB

wamagosugavo wAvu(PN10)+wamagosuga_wAvu_BEN+vo_#_INDF

wamagosugavo wAvu(PN10)+wamagosuga_wAvu_BEN+vo_#_PRES

wamagosugave wAvu(PN10)+wamagosuga_wAvu_BEN+ve_#_IMPH

wamagosugave wAvu(PN10)+wamagosuga_wAvu_BEN+ve_#_DEC

wamagosugave wAvu(PN10)+wamagosuga_wAvu_BEN+ve_#_RIS

wamagosugavA wAvu(PN10)+wamagosuga_wAvu_PUR+vA_#_INTR

wamagosugavU wAvu(PN10)+wamagosuga_wAvu_PUR+vU_#_INC

wamagosugavo wAvu(PN10)+wamagosuga_wAvu_PUR+vo_#_DUB

wamagosugavo wAvu(PN10)+wamagosuga_wAvu_PUR+vo_#_INDF

wamagosugavo wAvu(PN10)+wamagosuga_wAvu_PUR+vo_#_PRES

wamagosugave wAvu(PN10)+wamagosuga_wAvu_PUR+ve_#_IMPH

wamagosugave wAvu(PN10)+wamagosuga_wAvu_PUR+ve_#_DEC

wamagosugave wAvu(PN10)+wamagosuga_wAvu_PUR+ve_#_RIS

wamagiMwalA wAvu(PN10)+wamagiMwa_wAvu_COMP+lA_#_INTR

wamagiMwalU wAvu(PN10)+wamagiMwa_wAvu_COMP+lU_#_INC

wamagiMwalo wAvu(PN10)+wamagiMwa_wAvu_COMP+lo_#_DUB

wamagiMwalo wAvu(PN10)+wamagiMwa_wAvu_COMP+lo_#_INDF

wamagiMwalo wAvu(PN10)+wamagiMwa_wAvu_COMP+lo_#_PRES

wamagiMwale wAvu(PN10)+wamagiMwa_wAvu_COMP+le_#_IMPH

wamagiMwale wAvu(PN10)+wamagiMwa_wAvu_COMP+le_#_DEC

wamagiMwale wAvu(PN10)+wamagiMwa_wAvu_COMP+le_#_RIS

