Axanu Agu(V7)+xa_gu_PAST+anu_a_3SM   
AxalYu Agu(V7)+xa_gu_PAST+alYu_a_3SF
Ayiwu Agu(V7)+xa_gu_PAST+yiwu_xa_3SN 
Axaru Agu(V7)+xa_gu_PAST+aru_a_3P
Axaru Agu(V7)+xa_gu_PAST+aru_a_3SH
Axavu Agu(V7)+xa_gu_PAST+avu_a_3PN
AguwwAneV Agu(V7)+uwwa_u_FUT+AneV_a_3SM
AguwwAlYeV Agu(V7)+uwwa_u_FUT+AlYeV_a_3SF
AguwwaxeV Agu(V7)+uwwa_u_FUT+axeV_a_3SN
AguwwAreV Agu(V7)+uwwa_u_FUT+AreV_a_3P
AguwwAreV Agu(V7)+uwwa_u_FUT+AreV_a_3SH
AguwwaveV Agu(V7)+uwwa_u_FUT+aveV_a_3PN
Aguvanu Agu(V7)+va_#_FUT+anu_a_3SM
AguvalYu Agu(V7)+va_#_FUT+alYu_a_3FM
Aguvuxu Agu(V7)+va_#_FUT+uxu_a_3SN
Aguvaru Agu(V7)+va_#_FUT+aru_a_3P
Aguvaru Agu(V7)+va_#_FUT+aru_a_3SH
Aguvuvu Agu(V7)+va_#_FUT+vuvu_va_3PN
AxeVnu Agu(V7)+xa_gu_PAST+eVnu_a_1S
AxeVvu Agu(V7)+xa_gu_PAST+eVvu_a_1P
AguwweneV Agu(V7)+uwwa_u_FUT+eneV_a_1S
AguwweveV Agu(V7)+uwwa_u_FUT+eveV_a_1P
AguveVnu Agu(V7)+va_#_FUT+eVnu_a_1S
AguveVvu Agu(V7)+va_#_FUT+eVvu_a_1P
AgoNa Agu(V7)+oNa_u_1P
AguvanA Agu(V7)+vanA_#_1P
Axi Agu(V7)+xa_gu_PAST+i_a_2S
Axiri Agu(V7)+xa_gu_PAST+iri_a_2S
Axiri Agu(V7)+xa_gu_PAST+iri_a_2SH
Aguwwi  Agu(V7)+uwwa_u_FUT+wwi_wwa_2S
AguwwIri Agu(V7)+uwwa_u_FUT+wwIri_wwa_2P
AguwwIri Agu(V7)+uwwa_u_FUT+wwIri_wwa_2SH
Aguviri Agu(V7)+va_#_FUT+viri_va_2P
Aguviri Agu(V7)+va_#_FUT+viri_va_2SH
Aguva Agu(V7)+va_#_FUT_#_RP
Axa Agu(V7)+xa_gu_PAST_#_RP
Agalu Agu(V7)+alu_u_INFN_#_INCH
AgalikkeV Agu(V7)+alikkeV_u_INFN_#_INCH
AgokeV Agu(V7)+okeV_u_INFN_#_INCH
Agabeku Agu(V7)+a_u_AVY+beku_#_FUT_#_IMPR
AgakUdaxu Agu(V7)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
AgabAraxu Agu(V7)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
Aganu Agu(V7)+anu_u_FUTNEG_#_3SM
AgalYu Agu(V7)+alYu_u_FUTNEG_#_3SF
Agaxu Agu(V7)+axu_u_FUTNEG_#_3SN
Agaru Agu(V7)+aru_u_FUTNEG_#_3P
Agaru Agu(V7)+aru_u_FUTNEG_#_3SH
Agavu Agu(V7)+avu_u_FUTNEG_#_3PN
AgalAreV Agu(V7)+alu_u_FUTNEG+AreV_u_1S
AgalAreVvu Agu(V7)+alu_u_FUTNEG+AreVvu_u_1P
AgalAreVnu Agu(V7)+alu_u_FUTNEG+AreVnu_u_2S
AgalAriri Agu(V7)+alu_u_FUTNEG+Ariri_u_2P
AgalAriri Agu(V7)+alu_u_FUTNEG+Ariri_u_2SH
AgalAranu Agu(V7)+alu_u_FUTNEG+Aranu_u_3SM
AgalAralYu Agu(V7)+alu_u_FUTNEG+AralYu_u_3SF
AgalAraxu Agu(V7)+alu_u_FUTNEG+Araxu_u_3SN
AgalAraru Agu(V7)+alu_u_FUTNEG+Araru_u_3P
AgalAraru Agu(V7)+alu_u_FUTNEG+Araru_u_3SH
AgalAravu Agu(V7)+alu_u_FUTNEG+Aravu_u_3PN
AgalAraxa Agu(V7)+alu_u_NEG+Araxa_u_3
Agaxa Agu(V7)+axa_u_NFV_#_NEG
AgaxeV Agu(V7)+axeV_u_NFV_#_NEG
