Ayxanu Ayu(V12)+xa_u_PAST+anu_a_3SM   
AyxalYu Ayu(V12)+xa_u_PAST+alYu_a_3SF
Ayxiwu Ayu(V12)+xa_u_PAST+xiwu_xa_3SN 
Ayxaru Ayu(V12)+xa_u_PAST+aru_a_3P
Ayxaru Ayu(V12)+xa_u_PAST+aru_a_3SH
Ayxavu Ayu(V12)+xa_u_PAST+avu_a_3PN
AyuwwAneV Ayu(V12)+uwwa_u_FUT+AneV_a_3SM
AyuwwAlYeV Ayu(V12)+uwwa_u_FUT+AlYeV_a_3SF
AyuwwaxeV Ayu(V12)+uwwa_u_FUT+axeV_a_3SN
AyuwwAreV Ayu(V12)+uwwa_u_FUT+AreV_a_3P
AyuwwAreV Ayu(V12)+uwwa_u_FUT+AreV_a_3SH
AyuwwaveV Ayu(V12)+uwwa_u_FUT+aveV_a_3PN
Ayuvanu Ayu(V12)+va_#_FUT+anu_a_3SM
AyuvalYu Ayu(V12)+va_#_FUT+alYu_a_3FM
Ayuvuxu Ayu(V12)+va_#_FUT+uxu_a_3SN
Ayuvaru Ayu(V12)+va_#_FUT+aru_a_3P
Ayuvaru Ayu(V12)+va_#_FUT+aru_a_3SH
Ayuvuvu Ayu(V12)+va_#_FUT+vuvu_va_3PN
AyxeVnu Ayu(V12)+xa_u_PAST+eVnu_a_1S
AyxeVvu Ayu(V12)+xa_u_PAST+eVvu_a_1P
AyuwweneV Ayu(V12)+uwwa_u_FUT+eneV_a_1S
AyuwweveV Ayu(V12)+uwwa_u_FUT+eveV_a_1P
AyuveVnu Ayu(V12)+va_#_FUT+eVnu_a_1S
AyuveVvu Ayu(V12)+va_#_FUT+eVvu_a_1P
AyoNa Ayu(V12)+oNa_u_1P
AyuvanA Ayu(V12)+vanA_#_1P
Ayxi Ayu(V12)+xa_u_PAST+i_a_2S
Ayxiri Ayu(V12)+xa_u_PAST+iri_a_2S
Ayxiri Ayu(V12)+xa_u_PAST+iri_a_2SH
Ayuwwi  Ayu(V12)+uwwa_u_FUT+wwi_wwa_2S
AyuwwIri Ayu(V12)+uwwa_u_FUT+wwIri_wwa_2P
AyuwwIri Ayu(V12)+uwwa_u_FUT+wwIri_wwa_2SH
Ayuviri Ayu(V12)+va_#_FUT+viri_va_2P
Ayuviri Ayu(V12)+va_#_FUT+viri_va_2SH
Ayuva Ayu(V12)+va_#_FUT_#_RP
Ayxa Ayu(V12)+xa_u_PAST_#_RP
Ayalu Ayu(V12)+alu_u_INFN_#_INCH
AyalikkeV Ayu(V12)+alikkeV_u_INFN_#_INCH
AyokeV Ayu(V12)+okeV_u_INFN_#_INCH
Ayabeku Ayu(V12)+a_u_AVY+beku_#_FUT_#_IMPR
AyakUdaxu Ayu(V12)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
