agalixanu agalu(V26)+ixa_u_PAST+anu_a_3SM    
agalixalYu agalu(V26)+ixa_u_PAST+alYu_a_3SF
agalixiwu agalu(V26)+ixa_u_PAST+iwu_a_3SN 
agalixaru agalu(V26)+ixa_u_PAST+aru_a_3P
agalixaru agalu(V26)+ixa_u_PAST+aru_a_3SH
agalixavu agalu(V26)+ixa_u_PAST+avu_a_3PN
agaluwwAneV agalu(V26)+uwwa_u_FUT+AneV_a_3SM
agaluwwAlYeV agalu(V26)+uwwa_u_FUT+AlYeV_a_3SF
agaluwwaxeV agalu(V26)+uwwa_u_FUT+axeV_a_3SN
agaluwwAreV agalu(V26)+uwwa_u_FUT+AreV_a_3P
agaluwwAreV agalu(V26)+uwwa_u_FUT+AreV_a_3SH
agaluwwaveV agalu(V26)+uwwa_u_FUT+aveV_a_3PN
agaluvanu agalu(V26)+va_#_FUT+anu_a_3SM
agaluvalYu agalu(V26)+va_#_FUT+alYu_a_3FM
agaluvuxu agalu(V26)+va_#_FUT+uxu_a_3SN
agaluvaru agalu(V26)+va_#_FUT+aru_a_3P
agaluvaru agalu(V26)+va_#_FUT+aru_a_3SH
agaluvuvu agalu(V26)+va_#_FUT+vuvu_va_3PN
agalixeVnu agalu(V26)+ixa_u_PAST+eVnu_a_1S
agalixeVvu agalu(V26)+ixa_u_PAST+eVvu_a_1P
agaluwweneV agalu(V26)+uwwa_u_FUT+eneV_a_1S
agaluwweveV agalu(V26)+uwwa_u_FUT+eveV_a_1P
agaluveVnu agalu(V26)+va_#_FUT+eVnu_a_1S
agaluveVvu agalu(V26)+va_#_FUT+eVvu_a_1P
agaloNa agalu(V26)+oNa_u_1P
agaluvanA agalu(V26)+vanA_#_1P
agalixi agalu(V26)+ixa_u_PAST+i_a_2S
agalixiri agalu(V26)+ixa_u_PAST+iri_a_2P
agalixiri agalu(V26)+ixa_u_PAST+iri_a_2SH
agaluwwi  agalu(V26)+uwwa_u_FUT+wwi_wwa_2S
agaluwwIri agalu(V26)+uwwa_u_FUT+wwIri_wwa_2P
agaluwwIri agalu(V26)+uwwa_u_FUT+wwIri_wwa_2SH
agaluviri agalu(V26)+va_#_FUT+viri_va_2P
agaluviri agalu(V26)+va_#_FUT+viri_va_2SH
agaluva agalu(V26)+va_#_FUT_#_RP
agalixa agalu(V26)+ixa_u_PAST_#_RP
agalalu agalu(V26)+alu_u_INFN_#_INCH
agalalikkeV agalu(V26)+alikkeV_u_INFN_#_INCH
agalokeV agalu(V26)+okeV_u_INFN_#_INCH
