appixanu appu(V24)+ixa_u_PAST+anu_a_3SM   
appixalYu appu(V24)+ixa_u_PAST+alYu_a_3SF
appixiwu appu(V24)+ixa_u_PAST+iwu_a_3SN 
appixaru appu(V24)+ixa_u_PAST+aru_a_3P
appixaru appu(V24)+ixa_u_PAST+aru_a_3SH
appixavu appu(V24)+ixa_u_PAST+avu_a_3PN
appuwwAneV appu(V24)+uwwa_u_FUT+AneV_a_3SM
appuwwAlYeV appu(V24)+uwwa_u_FUT+AlYeV_a_3SF
appuwwaxeV appu(V24)+uwwa_u_FUT+axeV_a_3SN
appuwwAreV appu(V24)+uwwa_u_FUT+AreV_a_3P
appuwwAreV appu(V24)+uwwa_u_FUT+AreV_a_3SH
appuwwaveV appu(V24)+uwwa_u_FUT+aveV_a_3PN
appuvanu appu(V24)+va_#_FUT+anu_a_3SM
appuvalYu appu(V24)+va_#_FUT+alYu_a_3FM
appuvuxu appu(V24)+va_#_FUT+uxu_a_3SN
appuvaru appu(V24)+va_#_FUT+aru_a_3P
appuvaru appu(V24)+va_#_FUT+aru_a_3SH
appuvuvu appu(V24)+va_#_FUT+vuvu_va_3PN
appixeVnu appu(V24)+ixa_u_PAST+eVnu_a_1S
appixeVvu appu(V24)+ixa_u_PAST+eVvu_a_1P
appuwweneV appu(V24)+uwwa_u_FUT+eneV_a_1S
appuwweveV appu(V24)+uwwa_u_FUT+eveV_a_1P
appuveVnu appu(V24)+va_#_FUT+eVnu_a_1S
appuveVvu appu(V24)+va_#_FUT+eVvu_a_1P
appoNa appu(V24)+oNa_u_1P
appuvanA appu(V24)+vanA_#_1P
appixi appu(V24)+ixa_u_PAST+i_a_2S
appixiri appu(V24)+ixa_u_PAST+iri_a_2P
appixiri appu(V24)+ixa_u_PAST+iri_a_2SH
appuwwi  appu(V24)+uwwa_u_FUT+wwi_wwa_2S
appuwwIri appu(V24)+uwwa_u_FUT+wwIri_wwa_2P
appuwwIri appu(V24)+uwwa_u_FUT+wwIri_wwa_2SH
appuviri appu(V24)+va_#_FUT+viri_va_2P
appuviri appu(V24)+va_#_FUT+viri_va_2SH
appuva appu(V24)+va_#_FUT_#_RP
appixa appu(V24)+ixa_u_PAST_#_RP
appalu appu(V24)+alu_u_INFN_#_INCH
appalikkeV appu(V24)+alikkeV_u_INFN_#_INCH
appokeV appu(V24)+okeV_u_INFN_#_INCH
appabeku appu(V24)+a_u_AVY+beku_#_FUT_#_IMPR
appakUdaxu appu(V24)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
appabaraxu appu(V24)+a_u_AVY+baraxu_#_FUT_#_NEGIMPR
appanu appu(V24)+anu_u_FUTNEG_#_3SM
appalYu appu(V24)+alYu_u_FUTNEG_#_3SF
appaxu appu(V24)+axu_u_FUTNEG_#_3SN
apparu appu(V24)+aru_u_FUTNEG_#_3P
apparu appu(V24)+aru_u_FUTNEG_#_3SH
appavu appu(V24)+avu_u_FUTNEG_#_3PN
appalAreV appu(V24)+alu_u_FUTNEG+AreV_u_1S
appalAreVvu appu(V24)+alu_u_FUTNEG+AreVvu_u_1P
appalAreVnu appu(V24)+alu_u_FUTNEG+AreVnu_u_2S
appalAriri appu(V24)+alu_u_FUTNEG+Ariri_u_2P
appalAriri appu(V24)+alu_u_FUTNEG+Ariri_u_2SH
appalAranu appu(V24)+alu_u_FUTNEG+Aranu_u_3SM
appalAralYu appu(V24)+alu_u_FUTNEG+AralYu_u_3SF
appalAraxu appu(V24)+alu_u_FUTNEG+Araxu_u_3SN
appalAraru appu(V24)+alu_u_FUTNEG+Araru_u_3P
appalAraru appu(V24)+alu_u_FUTNEG+Araru_u_3SH
appalAravu appu(V24)+alu_u_FUTNEG+Aravu_u_3PN
appalArxa appu(V24)+alu_u_NEG+Arxa_u_3
appaxa appu(V24)+axa_u_NFV_#_NEG
appaxeV appu(V24)+axeV_u_NFV_#_NEG
appixarU appu(V24)+ixarU_u_NFV_#_CONS
appuwwA appu(V24)+uwwa_u_NFV+A_a_PRESCONT
appi appu(V24)+i_u_NFV_#_PASTPERF
appali appu(V24)+ali_u_FUTOPT_#_3SM
appali appu(V24)+ali_u_FUTOPT_#_3SF
appali appu(V24)+ali_u_FUTOPT_#_3P
appali appu(V24)+ali_u_FUTOPT_#_3SH
appali appu(V24)+ali_u_FUTOPT_#_3SN
appali appu(V24)+ali_u_FUTOPT_#_3SM
appaballa appu(V24)+appa_appu_AVY+balla_#_FUTINF_#_CAP
appaballanu appu(V24)+appa_appu_AVY+balla_#_FUTCAP+anu_a_3SM
appaballalYu appu(V24)+appa_appu_AVY+balla_#_FUTCAP+alYu_a_3SF
appaballaxu appu(V24)+appa_appu_AVY+balla_#_FUTCAP+axu_a_3SN
appaballaru appu(V24)+appa_appu_AVY+balla_#_FUTCAP+aru_a_3P
appaballaru appu(V24)+appa_appu_AVY+balla_#_FUTCAP+aru_a_3SH
appaballavu appu(V24)+appa_appu_AVY+balla_#_FUTCAP+avu_a_3PN
appiyAnu appu(V24)+iya_u_FUTDUB+Anu_a_3SM
appiyAlYu appu(V24)+iya_u_FUTDUB+AlYu_a_3SF
appiyAru appu(V24)+iya_u_FUTDUB+Aru_a_3P
appiyAru appu(V24)+iya_u_FUTDUB+Aru_a_3SH
appIwu appu(V24)+iya_u_FUTDUB+Iwu_iya_3SN
appiyAvu appu(V24)+iya_u_FUTDUB+Avu_a_3PN
appiyenu appu(V24)+iya_u_FUTDUB+enu_a_1S
appiyevu appu(V24)+iya_u_FUTDUB+evu_a_1P
appuvIyeV appu(V24)+iya_#_FUTDUB+vIyeV_iya_2S
appIri appu(V24)+iya_u_FUTDUB+Iri_iya_2P
appIri appu(V24)+iya_u_FUTDUB+Iri_iya_2SH
appixareV appu(V24)+ixa_u_NFV+areV_a_COND
appixalli appu(V24)+ixa_u_NFV+alli_a_COND
appuvuxilla appu(V24)+vuxu_#_AVY+illa_u_NEG
appabahuxu appu(V24)+a_u_AVY+bahuxu_#_FUTPOTEN
appalebeku appu(V24)+alu_u_COMP+e_u_AVY+beku_#_FUT
appuvavanu appu(V24)+va_#_PRP+avanu_a_3SM
appuvavalYu appu(V24)+va_#_PRP+avalYu_a_3FM
appuvavaru appu(V24)+va_#_PRP+avaru_a_3P
appaxavanu appu(V24)+axa_u_PRP+avanu_a_3SM
appaxavalYu appu(V24)+axa_u_PRP+avalYu_a_3FM
appaxavaru appu(V24)+axa_u_PRP+avaru_a_3P
appixavanu appu(V24)+ixa_u_PRP+avanu_a_3SM 
appixavalYu appu(V24)+ixa_u_PRP+avalYu_a_3FM 
appixavaru appu(V24)+ixa_u_PRP+avaru_a_3P 
appalAraxavanu appu(V24)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
appalAraxavalYu appu(V24)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
appalAraxavaru appu(V24)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
appuwwiruvavanu appu(V24)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
appuwwiruvavalYu appu(V24)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3SF
