bixxanu bIlYu(V10)+ixxa_IlYu_PAST+anu_a_3SM   
bixxalYu bIlYu(V10)+ixxa_IlYu_PAST+alYu_a_3SF
bixxiwu bIlYu(V10)+ixxa_IlYu_PAST+iwu_a_3SN 
bixxaru bIlYu(V10)+ixxa_IlYu_PAST+aru_a_3P
bixxaru bIlYu(V10)+ixxa_IlYu_PAST+aru_a_3SH
bixxavu bIlYu(V10)+ixxa_IlYu_PAST+avu_a_3PN



bIlYuwwAneV bIlYu(V10)+uwwa_u_FUT+AneV_a_3SM
bIlYuwwAlYeV bIlYu(V10)+uwwa_u_FUT+AlYeV_a_3SF
bIlYuwwaxeV bIlYu(V10)+uwwa_u_FUT+axeV_a_3SN
bIlYuwwAreV bIlYu(V10)+uwwa_u_FUT+AreV_a_3P
bIlYuwwAreV bIlYu(V10)+uwwa_u_FUT+AreV_a_3SH
bIlYuwwaveV bIlYu(V10)+uwwa_u_FUT+aveV_a_3PN

bIlYuvanu bIlYu(V10)+va_#_FUT+anu_a_3SM
bIlYuvaru bIlYu(V10)+va_#_FUT+aru_a_3FM
bIlYuvuxu bIlYu(V10)+va_#_FUT+uxu_a_3SN
bIlYuvaru bIlYu(V10)+va_#_FUT+aru_a_3P
bIlYuvaru bIlYu(V10)+va_#_FUT+aru_a_3SH
bIlYuvuvu bIlYu(V10)+va_#_FUT+vuvu_va_3PN

bixxeVnu bIlYu(V10)+ixxa_IlYu_PAST+eVnu_a_1S
bixxeVvu bIlYu(V10)+ixxa_IlYu_PAST+eVvu_a_1P
bIlYuwweneV bIlYu(V10)+uwwa_u_FUT+eneV_a_1S
bIlYuwweveV bIlYu(V10)+uwwa_u_FUT+eveV_a_1P
bIlYuveVnu bIlYu(V10)+va_#_FUT+eVnu_a_1P
bIlYuveVvu bIlYu(V10)+va_#_FUT+eVvu_a_1P
bIlYoNa bIlYu(V10)+oNa_u_1P
bIlYuvanA bIlYu(V10)+vanA_#_1P
bixxi bIlYu(V10)+ixxa_IlYu_PAST+i_a_2S
bixxiri bIlYu(V10)+ixxa_IlYu_PAST+iri_a_2S
bixxiri bIlYu(V10)+ixxa_IlYu_PAST+iri_a_2SH
bIlYuwwi  bIlYu(V10)+uwwa_u_FUT+wwi_wwa_2S
bIlYuwwIri bIlYu(V10)+uwwa_u_FUT+wwIri_wwa_2P
bIlYuwwIri bIlYu(V10)+uwwa_u_FUT+wwIri_wwa_2SH
bIlYuviri bIlYu(V10)+va_#_FUT+viri_va_2P
bIlYuviri bIlYu(V10)+va_#_FUT+viri_va_2SH
bIlYuva bIlYu(V10)+va_#_FUT_#_RP
bixxa bIlYu(V10)+ixxa_IlYu_PAST_#_RP
bIlYalu bIlYu(V10)+alu_u_INFN_#_INCH
bIlYalikkeV bIlYu(V10)+alikkeV_u_INFN_#_INCH
bIlYokeV bIlYu(V10)+okeV_u_INFN_#_INCH
bIlYabeku bIlYu(V10)+a_u_AVY+beku_#_FUT_#_IMPR
bIlYakUdaxu bIlYu(V10)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
bIlYabAraxu bIlYu(V10)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
bIlYanu bIlYu(V10)+anu_u_FUTNEG_#_3SM
bIlYalYu bIlYu(V10)+alYu_u_FUTNEG_#_3SF
bIlYaxu bIlYu(V10)+axu_u_FUTNEG_#_3SN
bIlYaru bIlYu(V10)+aru_u_FUTNEG_#_3P
bIlYaru bIlYu(V10)+aru_u_FUTNEG_#_3SH
bIlYavu bIlYu(V10)+avu_u_FUTNEG_#_3PN
bIlYalAreV bIlYu(V10)+alu_u_FUTNEG+AreV_u_1S
bIlYalAreVvu bIlYu(V10)+alu_u_FUTNEG+AreVvu_u_1P
bIlYalAreVnu bIlYu(V10)+alu_u_FUTNEG+AreVnu_u_2S
bIlYalAriri bIlYu(V10)+alu_u_FUTNEG+Ariri_u_2P
bIlYalAriri bIlYu(V10)+alu_u_FUTNEG+Ariri_u_2SH
bIlYalAranu bIlYu(V10)+alu_u_FUTNEG+Aranu_u_3SM
bIlYalAralYu bIlYu(V10)+alu_u_FUTNEG+AralYu_u_3SF
bIlYalAraxu bIlYu(V10)+alu_u_FUTNEG+Araxu_u_3SN
bIlYalAraru bIlYu(V10)+alu_u_FUTNEG+Araru_u_3P
bIlYalAraru bIlYu(V10)+alu_u_FUTNEG+Araru_u_3SH
bIlYalAravu bIlYu(V10)+alu_u_FUTNEG+Aravu_u_3PN
bIlYalAraxa bIlYu(V10)+alu_u_NEG+Araxa_u_3
bIlYaxa bIlYu(V10)+axa_u_NFV_#_NEG
bIlYaxeV bIlYu(V10)+axeV_u_NFV_#_NEG
bixxarU bIlYu(V10)+ixxarU_IlYu_NFV_#_CONS
bIlYuwwA bIlYu(V10)+uwwa_u_NFV+A_a_PRESCONT
bixxu bIlYu(V10)+ixxu_IlYu_NFV_#_PASTPERF
bIlYali bIlYu(V10)+ali_u_FUTOPT_#_3SM
bIlYali bIlYu(V10)+ali_u_FUTOPT_#_3SF
bIlYali bIlYu(V10)+ali_u_FUTOPT_#_3P
bIlYali bIlYu(V10)+ali_u_FUTOPT_#_3SH
bIlYali bIlYu(V10)+ali_u_FUTOPT_#_3SN
bIlYali bIlYu(V10)+ali_u_FUTOPT_#_3SM
bIlYi bIlYu(V10)+i_u_FUTPERM_2P
bIlYi bIlYu(V10)+i_u_FUTPERM_2SH
bIlYaballa bIlYu(V10)+bIlYa_bIlYu_AVY+balla_#_FUTINF_#_CAP
bIlYaballanu bIlYu(V10)+bIlYa_bIlYu_AVY+balla_#_FUTCAP+anu_a_3SM
bIlYaballalYu bIlYu(V10)+bIlYa_bIlYu_AVY+balla_#_FUTCAP+alYu_a_3SF
bIlYaballaxu bIlYu(V10)+bIlYa_bIlYu_AVY+balla_#_FUTCAP+axu_a_3SN
bIlYaballaru bIlYu(V10)+bIlYa_bIlYu_AVY+balla_#_FUTCAP+aru_a_3P
bIlYaballaru bIlYu(V10)+bIlYa_bIlYu_AVY+balla_#_FUTCAP+aru_a_3SH
bIlYaballavu bIlYu(V10)+bIlYa_bIlYu_AVY+balla_#_FUTCAP+avu_a_3PN
bixxAnu bIlYu(V10)+ixxa_IlYu_FUTDUB+Anu_a_3SM
bixxAlYu bIlYu(V10)+ixxa_IlYu_FUTDUB+AlYu_a_3SF
bixxAru bIlYu(V10)+ixxa_IlYu_FUTDUB+Aru_a_3P
bixxAru bIlYu(V10)+ixxa_IlYu_FUTDUB+Aru_a_3SH
bixxIwu bIlYu(V10)+ixxa_IlYu_FUTDUB+Iwu_a_3SN
bixxAvu bIlYu(V10)+ixxa_IlYu_FUTDUB+Avu_a_3PN
