gudisixanu gudisu(V28)+ixa_u_PAST+anu_a_3SM   
gudisixalYu gudisu(V28)+ixa_u_PAST+alYu_a_3SF
gudisixiwu gudisu(V28)+ixa_u_PAST+iwu_a_3SN 
gudisixaru gudisu(V28)+ixa_u_PAST+aru_a_3P
gudisixaru gudisu(V28)+ixa_u_PAST+aru_a_3SH
gudisixavu gudisu(V28)+ixa_u_PAST+avu_a_3PN
gudisuwwAneV gudisu(V28)+uwwa_u_FUT+AneV_a_3SM
gudisuwwAlYeV gudisu(V28)+uwwa_u_FUT+AlYeV_a_3SF
gudisuwwaxeV gudisu(V28)+uwwa_u_FUT+axeV_a_3SN
gudisuwwAreV gudisu(V28)+uwwa_u_FUT+AreV_a_3P
gudisuwwAreV gudisu(V28)+uwwa_u_FUT+AreV_a_3SH
gudisuwwaveV gudisu(V28)+uwwa_u_FUT+aveV_a_3PN
gudisuvanu gudisu(V28)+va_#_FUT+anu_a_3SM
gudisuvalYu gudisu(V28)+va_#_FUT+alYu_a_3FM
gudisuvuxu gudisu(V28)+va_#_FUT+uxu_a_3SN
gudisuvaru gudisu(V28)+va_#_FUT+aru_a_3P
gudisuvaru gudisu(V28)+va_#_FUT+aru_a_3SH
gudisuvuvu gudisu(V28)+va_#_FUT+vuvu_va_3PN
gudisixeVnu gudisu(V28)+ixa_u_PAST+eVnu_a_1S
gudisixeVvu gudisu(V28)+ixa_u_PAST+eVvu_a_1P
gudisuwweneV gudisu(V28)+uwwa_u_FUT+eneV_a_1S
gudisuwweveV gudisu(V28)+uwwa_u_FUT+eveV_a_1P
gudisuveVnu gudisu(V28)+va_#_FUT+eVnu_a_1S
gudisuveVvu gudisu(V28)+va_#_FUT+eVvu_a_1P
gudisoNa gudisu(V28)+oNa_u_1P
gudisuvanA gudisu(V28)+vanA_#_1P
gudisixeV gudisu(V28)+ixa_u_PAST+eV_a_2S
gudisixi gudisu(V28)+ixa_u_PAST+i_a_2S
gudisixiri gudisu(V28)+ixa_u_PAST+iri_a_2P
gudisixiri gudisu(V28)+ixa_u_PAST+iri_a_2SH
gudisuwwi  gudisu(V28)+uwwa_u_FUT+wwi_wwa_2S
gudisuwwIri gudisu(V28)+uwwa_u_FUT+wwIri_wwa_2P
gudisuwwIri gudisu(V28)+uwwa_u_FUT+wwIri_wwa_2SH
gudisuviri gudisu(V28)+va_#_FUT+viri_va_2P
gudisuviri gudisu(V28)+va_#_FUT+viri_va_2SH
gudisuva gudisu(V28)+va_#_FUT_#_RP
gudisixa gudisu(V28)+ixa_u_PAST_#_RP
gudisalu gudisu(V28)+alu_u_INFN_#_INCH
gudisalikkeV gudisu(V28)+alikkeV_u_INFN_#_INCH
gudisokeV gudisu(V28)+okeV_u_INFN_#_INCH
gudisabeku gudisu(V28)+a_u_AVY+beku_#_FUT_#_IMPR
gudisakUdaxu gudisu(V28)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
gudisabaraxu gudisu(V28)+a_u_AVY+baraxu_#_FUT_#_NEGIMPR
gudisanu gudisu(V28)+anu_u_FUTNEG_#_3SM
gudisalYu gudisu(V28)+alYu_u_FUTNEG_#_3SF
gudisaxu gudisu(V28)+axu_u_FUTNEG_#_3SN
gudisaru gudisu(V28)+aru_u_FUTNEG_#_3P
gudisaru gudisu(V28)+aru_u_FUTNEG_#_3SH
gudisavu gudisu(V28)+avu_u_FUTNEG_#_3PN
gudisalAreV gudisu(V28)+alu_u_FUTNEG+AreV_u_1S
gudisalAreVvu gudisu(V28)+alu_u_FUTNEG+AreVvu_u_1P
gudisalAreVnu gudisu(V28)+alu_u_FUTNEG+AreVnu_u_2S
gudisalAriri gudisu(V28)+alu_u_FUTNEG+Ariri_u_2P
gudisalAriri gudisu(V28)+alu_u_FUTNEG+Ariri_u_2SH
gudisalAranu gudisu(V28)+alu_u_FUTNEG+Aranu_u_3SM
gudisalAralYu gudisu(V28)+alu_u_FUTNEG+AralYu_u_3SF
