haMcixanu haMcu(V23)+ixa_u_PAST+anu_a_3SM   
haMcixalYu haMcu(V23)+ixa_u_PAST+alYu_a_3SF
haMcixiwu haMcu(V23)+ixa_u_PAST+iwu_a_3SN 
haMcixaru haMcu(V23)+ixa_u_PAST+aru_a_3P
haMcixaru haMcu(V23)+ixa_u_PAST+aru_a_3SH
haMcixavu haMcu(V23)+ixa_u_PAST+avu_a_3PN
haMcuwwAneV haMcu(V23)+uwwa_u_FUT+AneV_a_3SM
haMcuwwAlYeV haMcu(V23)+uwwa_u_FUT+AlYeV_a_3SF
haMcuwwaxeV haMcu(V23)+uwwa_u_FUT+axeV_a_3SN
haMcuwwAreV haMcu(V23)+uwwa_u_FUT+AreV_a_3P
haMcuwwAreV haMcu(V23)+uwwa_u_FUT+AreV_a_3SH
haMcuwwaveV haMcu(V23)+uwwa_u_FUT+aveV_a_3PN
haMcuvanu haMcu(V23)+va_#_FUT+anu_a_3SM
haMcuvalYu haMcu(V23)+va_#_FUT+alYu_a_3FM
haMcuvuxu haMcu(V23)+va_#_FUT+uxu_a_3SN
haMcuvaru haMcu(V23)+va_#_FUT+aru_a_3P
haMcuvaru haMcu(V23)+va_#_FUT+aru_a_3SH
haMcuvuvu haMcu(V23)+va_#_FUT+vuvu_va_3PN
haMcixeVnu haMcu(V23)+ixa_u_PAST+eVnu_a_1S
haMcixeVvu haMcu(V23)+ixa_u_PAST+eVvu_a_1P
haMcuwweneV haMcu(V23)+uwwa_u_FUT+eneV_a_1S
haMcuwweveV haMcu(V23)+uwwa_u_FUT+eveV_a_1P
haMcuveVnu haMcu(V23)+va_#_FUT+eVnu_a_1S
haMcuveVvu haMcu(V23)+va_#_FUT+eVvu_a_1P
haMcoNa haMcu(V23)+oNa_u_1P
haMcuvanA haMcu(V23)+vanA_#_1P
haMcixi haMcu(V23)+ixa_u_PAST+i_a_2S
haMcixiri haMcu(V23)+ixa_u_PAST+iri_a_2P
haMcixiri haMcu(V23)+ixa_u_PAST+iri_a_2SH
haMcuwwi  haMcu(V23)+uwwa_u_FUT+wwi_wwa_2S
haMcuwwIri haMcu(V23)+uwwa_u_FUT+wwIri_wwa_2P
haMcuwwIri haMcu(V23)+uwwa_u_FUT+wwIri_wwa_2SH
haMcuviri haMcu(V23)+va_#_FUT+viri_va_2P
haMcuviri haMcu(V23)+va_#_FUT+viri_va_2SH
