hoVwwanu hoVru(V3)+wwa_ru_PAST+anu_a_3SM   weVwwanu
hoVwwalYu hoVru(V3)+wwa_ru_PAST+alYu_a_3SF
hoVwwiwu hoVru(V3)+wwa_ru_PAST+iwu_a_3SN 
hoVwwaru hoVru(V3)+wwa_ru_PAST+aru_a_3P
hoVwwaru hoVru(V3)+wwa_ru_PAST+aru_a_3SH
hoVwwavu hoVru(V3)+wwa_ru_PAST+avu_a_3PN
hoVruwwAneV hoVru(V3)+uwwa_u_FUT+AneV_a_3SM
hoVruwwAlYeV hoVru(V3)+uwwa_u_FUT+AlYeV_a_3SF
hoVruwwaxeV hoVru(V3)+uwwa_u_FUT+axeV_a_3SN
hoVruwwAreV hoVru(V3)+uwwa_u_FUT+AreV_a_3P
hoVruwwAreV hoVru(V3)+uwwa_u_FUT+AreV_a_3SH
hoVruwwaveV hoVru(V3)+uwwa_u_FUT+aveV_a_3PN
hoVruvanu hoVru(V3)+va_#_FUT+anu_a_3SM
hoVruvaru hoVru(V3)+va_#_FUT+aru_a_3FM
hoVruvuxu hoVru(V3)+va_#_FUT+uxu_a_3SN
hoVruvaru hoVru(V3)+va_#_FUT+aru_a_3P
hoVruvaru hoVru(V3)+va_#_FUT+aru_a_3SH
hoVruvuvu hoVru(V3)+va_#_FUT+vuvu_va_3PN
hoVwweVnu hoVru(V3)+wwa_ru_PAST+eVnu_a_1S
hoVwweVvu hoVru(V3)+wwa_ru_PAST+eVvu_a_1P
hoVruwweneV hoVru(V3)+wwa_#_FUT+eneV_a_1S
hoVruwweveV hoVru(V3)+wwa_#_FUT+eveV_a_1P

hoVruveVnu hoVru(V3)+va_#_FUT+eVnu_a_1P
hoVruveVvu hoVru(V3)+va_#_FUT+eVvu_a_1P

hoVroNa hoVru(V3)+oNa_u_1P
hoVruvanA hoVru(V3)+vanA_#_1P

hoVwwi hoVru(V3)+wwa_ru_PAST+i_a_2S
hoVwwiri hoVru(V3)+wwa_ru_PAST+iri_a_2S
hoVwwiri hoVru(V3)+wwa_ru_PAST+iri_a_2SH
hoVruwwi  hoVru(V3)+wwa_#_FUT+wwi_wwa_2S
hoVruwwIri hoVru(V3)+wwa_#_FUT+wwIri_wwa_2P
hoVruwwIri hoVru(V3)+wwa_#_FUT+wwIri_wwa_2SH
hoVruviri hoVru(V3)+va_#_FUT+viri_va_2P
hoVruviri hoVru(V3)+va_#_FUT+viri_va_2SH
hoVruva hoVru(V3)+va_#_FUT_#_RP
hoVwwa hoVru(V3)+wwa_ru_PAST_#_RP
hoVralu hoVru(V3)+alu_u_INFN_#_INCH
hoVralikkeV hoVru(V3)+alikkeV_u_INFN_#_INCH
hoVrokeV hoVru(V3)+okeV_u_INFN_#_INCH
hoVrabeku hoVru(V3)+a_u_AVY+beku_#_FUT_#_IMPR
hoVrakUdaxu hoVru(V3)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
hoVrabAraxu hoVru(V3)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
hoVranu hoVru(V3)+anu_u_FUTNEG_#_3SM
hoVraru hoVru(V3)+aru_u_FUTNEG_#_3SF
hoVraxu hoVru(V3)+axu_u_FUTNEG_#_3SN
hoVraru hoVru(V3)+aru_u_FUTNEG_#_3P
hoVraru hoVru(V3)+aru_u_FUTNEG_#_3SH
hoVravu hoVru(V3)+avu_u_FUTNEG_#_3PN
hoVralAreV hoVru(V3)+alu_u_FUTNEG+AreV_u_1S
hoVralAreVvu hoVru(V3)+alu_u_FUTNEG+AreVvu_u_1P
hoVralAreV hoVru(V3)+alu_u_FUTNEG+AreV_u_2S
hoVralAriri hoVru(V3)+alu_u_FUTNEG+Ariri_u_2P
hoVralAriri hoVru(V3)+alu_u_FUTNEG+Ariri_u_2SH
hoVralAranu hoVru(V3)+alu_u_FUTNEG+Aranu_u_3SM
hoVralAraru hoVru(V3)+alu_u_FUTNEG+Araru_u_3SF
hoVralAraxu hoVru(V3)+alu_u_FUTNEG+Araxu_u_3SN
hoVralAraru hoVru(V3)+alu_u_FUTNEG+Araru_u_3P
hoVralAraru hoVru(V3)+alu_u_FUTNEG+Araru_u_3SH
hoVralAravu hoVru(V3)+alu_u_FUTNEG+Aravu_u_3PN
hoVralAraxa hoVru(V3)+alu_u_NEG+Araxa_u_3
hoVraxa hoVru(V3)+axa_u_NFV_#_NEG
hoVraxeV hoVru(V3)+axeV_u_NFV_#_NEG
hoVwwarU hoVru(V3)+wwarU_ru_NFV_#_CONS
hoVruwwA hoVru(V3)+uwwa_u_NFV+A_a_PRESCONT
hoVwwu hoVru(V3)+wwu_ru_NFV_#_PERF
hoVrali hoVru(V3)+ali_u_FUTOPT_#_3SM
hoVrali hoVru(V3)+ali_u_FUTOPT_#_3SF
hoVrali hoVru(V3)+ali_u_FUTOPT_#_3P
hoVrali hoVru(V3)+ali_u_FUTOPT_#_3SH
hoVrali hoVru(V3)+ali_u_FUTOPT_#_3SN
hoVrali hoVru(V3)+ali_u_FUTOPT_#_3SM
hoVri hoVru(V3)+i_u_FUTPERM_2P
hoVri hoVru(V3)+i_u_FUTPERM_2SH
hoVraballa hoVru(V3)+hoVra_hoVru_AVY+balla_#_FUTINF_#_CAP
hoVraballanu hoVru(V3)+hoVra_hoVru_AVY+balla_#_FUTCAP+anu_a_3SM
hoVraballaru hoVru(V3)+hoVra_hoVru_AVY+balla_#_FUTCAP+aru_a_3SF
hoVraballaxu hoVru(V3)+hoVra_hoVru_AVY+balla_#_FUTCAP+axu_a_3SN
hoVraballaru hoVru(V3)+hoVra_hoVru_AVY+balla_#_FUTCAP+aru_a_3P
