idisixanu idisu(V29)+ixa_u_PAST+anu_a_3SM   
idisixalYu idisu(V29)+ixa_u_PAST+alYu_a_3SF
idisixiwu idisu(V29)+ixa_u_PAST+iwu_a_3SN 
idisixaru idisu(V29)+ixa_u_PAST+aru_a_3P
idisixaru idisu(V29)+ixa_u_PAST+aru_a_3SH
idisixavu idisu(V29)+ixa_u_PAST+avu_a_3PN
idisuwwAneV idisu(V29)+uwwa_u_FUT+AneV_a_3SM
idisuwwAlYeV idisu(V29)+uwwa_u_FUT+AlYeV_a_3SF
idisuwwaxeV idisu(V29)+uwwa_u_FUT+axeV_a_3SN
idisuwwAreV idisu(V29)+uwwa_u_FUT+AreV_a_3P
idisuwwAreV idisu(V29)+uwwa_u_FUT+AreV_a_3SH
idisuwwaveV idisu(V29)+uwwa_u_FUT+aveV_a_3PN
idisuvanu idisu(V29)+va_#_FUT+anu_a_3SM
idisuvalYu idisu(V29)+va_#_FUT+alYu_a_3FM
idisuvuxu idisu(V29)+va_#_FUT+uxu_a_3SN
idisuvaru idisu(V29)+va_#_FUT+aru_a_3P
idisuvaru idisu(V29)+va_#_FUT+aru_a_3SH
idisuvuvu idisu(V29)+va_#_FUT+vuvu_va_3PN
idisixeVnu idisu(V29)+ixa_u_PAST+eVnu_a_1S
idisixeVvu idisu(V29)+ixa_u_PAST+eVvu_a_1P
idisuwweneV idisu(V29)+uwwa_u_FUT+eneV_a_1S
idisuwweveV idisu(V29)+uwwa_u_FUT+eveV_a_1P
idisuveVnu idisu(V29)+va_#_FUT+eVnu_a_1S
idisuveVvu idisu(V29)+va_#_FUT+eVvu_a_1P
idisoNa idisu(V29)+oNa_u_1P
idisuvanA idisu(V29)+vanA_#_1P
idisixi idisu(V29)+ixa_u_PAST+i_a_2S
idisixiri idisu(V29)+ixa_u_PAST+iri_a_2P
idisixiri idisu(V29)+ixa_u_PAST+iri_a_2SH
idisuwwi  idisu(V29)+uwwa_u_FUT+wwi_wwa_2S
idisuwwIri idisu(V29)+uwwa_u_FUT+wwIri_wwa_2P
idisuwwIri idisu(V29)+uwwa_u_FUT+wwIri_wwa_2SH
idisuviri idisu(V29)+va_#_FUT+viri_va_2P
idisuviri idisu(V29)+va_#_FUT+viri_va_2SH
idisuva idisu(V29)+va_#_FUT_#_RP
idisixa idisu(V29)+ixa_u_PAST_#_RP
idisalu idisu(V29)+alu_u_INFN_#_INCH
idisalikkeV idisu(V29)+alikkeV_u_INFN_#_INCH
idisokeV idisu(V29)+okeV_u_INFN_#_INCH
idisabeku idisu(V29)+a_u_AVY+beku_#_FUT_#_IMPR
idisakUdaxu idisu(V29)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
idisabaraxu idisu(V29)+a_u_AVY+baraxu_#_FUT_#_NEGIMPR
idisanu idisu(V29)+anu_u_FUTNEG_#_3SM
idisalYu idisu(V29)+alYu_u_FUTNEG_#_3SF
idisaxu idisu(V29)+axu_u_FUTNEG_#_3SN
idisaru idisu(V29)+aru_u_FUTNEG_#_3P
idisaru idisu(V29)+aru_u_FUTNEG_#_3SH
idisavu idisu(V29)+avu_u_FUTNEG_#_3PN
idisalAreV idisu(V29)+alu_u_FUTNEG+AreV_u_1S
idisalAreVvu idisu(V29)+alu_u_FUTNEG+AreVvu_u_1P
idisalAreVnu idisu(V29)+alu_u_FUTNEG+AreVnu_u_2S
idisalAriri idisu(V29)+alu_u_FUTNEG+Ariri_u_2P
idisalAriri idisu(V29)+alu_u_FUTNEG+Ariri_u_2SH
idisalAranu idisu(V29)+alu_u_FUTNEG+Aranu_u_3SM
idisalAralYu idisu(V29)+alu_u_FUTNEG+AralYu_u_3SF
idisalAraxu idisu(V29)+alu_u_FUTNEG+Araxu_u_3SN
idisalAraru idisu(V29)+alu_u_FUTNEG+Araru_u_3P
idisalAraru idisu(V29)+alu_u_FUTNEG+Araru_u_3SH
idisalAravu idisu(V29)+alu_u_FUTNEG+Aravu_u_3PN
idisalArxa idisu(V29)+alu_u_NEG+Arxa_u_3
idisaxa idisu(V29)+axa_u_NFV_#_NEG
idisaxeV idisu(V29)+axeV_u_NFV_#_NEG
idisixarU idisu(V29)+ixarU_u_NFV_#_CONS
idisuwwA idisu(V29)+uwwa_u_NFV+A_a_PRESCONT
idisi idisu(V29)+i_u_NFV_#_PASTPERF
idisali idisu(V29)+ali_u_FUTOPT_#_3SM
idisali idisu(V29)+ali_u_FUTOPT_#_3SF
idisali idisu(V29)+ali_u_FUTOPT_#_3P
idisali idisu(V29)+ali_u_FUTOPT_#_3SH
idisali idisu(V29)+ali_u_FUTOPT_#_3SN
idisali idisu(V29)+ali_u_FUTOPT_#_3SM
idisaballa idisu(V29)+idisa_idisu_AVY+balla_#_FUTINF_#_CAP
idisaballanu idisu(V29)+idisa_idisu_AVY+balla_#_FUTCAP+anu_a_3SM
idisaballalYu idisu(V29)+idisa_idisu_AVY+balla_#_FUTCAP+alYu_a_3SF
idisaballaxu idisu(V29)+idisa_idisu_AVY+balla_#_FUTCAP+axu_a_3SN
