ixxanu iru(V8)+xxa_ru_PAST+anu_a_3SM   
ixxalYu iru(V8)+xxa_ru_PAST+alYu_a_3SF
ixxiwu iru(V8)+xxa_ru_PAST+iwu_a_3SN 
ixxaru iru(V8)+xxa_ru_PAST+aru_a_3P
ixxaru iru(V8)+xxa_ru_PAST+aru_a_3SH
ixxavu iru(V8)+xxa_ru_PAST+avu_a_3PN


iruwwAneV iru(V8)+uwwa_u_FUT+AneV_a_3SM
iruwwAlYeV iru(V8)+uwwa_u_FUT+AlYeV_a_3SF
iruwwaxeV iru(V8)+uwwa_u_FUT+axeV_a_3SN
iruwwAreV iru(V8)+uwwa_u_FUT+AreV_a_3P
iruwwAreV iru(V8)+uwwa_u_FUT+AreV_a_3SH
iruwwaveV iru(V8)+uwwa_u_FUT+aveV_a_3PN

iruvanu iru(V8)+va_#_FUT+anu_a_3SM
iruvaru iru(V8)+va_#_FUT+aru_a_3FM
iruvuxu iru(V8)+va_#_FUT+uxu_a_3SN
iruvaru iru(V8)+va_#_FUT+aru_a_3P
iruvaru iru(V8)+va_#_FUT+aru_a_3SH
iruvuvu iru(V8)+va_#_FUT+vuvu_va_3PN

ixxeVnu iru(V8)+xxa_ru_PAST+eVnu_a_1S
ixxeVvu iru(V8)+xxa_ru_PAST+eVvu_a_1P
iruwweneV iru(V8)+uwwa_u_FUT+eneV_a_1S
iruwweveV iru(V8)+uwwa_u_FUT+eveV_a_1P
iruveVnu iru(V8)+va_#_FUT+eVnu_a_1P
iruveVvu iru(V8)+va_#_FUT+eVvu_a_1P
iroNa iru(V8)+oNa_u_1P
iruvanA iru(V8)+vanA_#_1P
ixxi iru(V8)+xxa_ru_PAST+i_a_2S
ixxiri iru(V8)+xxa_ru_PAST+iri_a_2S
ixxiri iru(V8)+xxa_ru_PAST+iri_a_2SH
iruwwi  iru(V8)+uwwa_u_FUT+wwi_wwa_2S
iruwwIri iru(V8)+uwwa_u_FUT+wwIri_wwa_2P
iruwwIri iru(V8)+uwwa_u_FUT+wwIri_wwa_2SH
iruviri iru(V8)+va_#_FUT+viri_va_2P
iruviri iru(V8)+va_#_FUT+viri_va_2SH
iruva iru(V8)+va_#_FUT_#_RP
ixxa iru(V8)+xxa_ru_PAST_#_RP
iralu iru(V8)+alu_u_INFN_#_INCH
iralikkeV iru(V8)+alikkeV_u_INFN_#_INCH
irokeV iru(V8)+okeV_u_INFN_#_INCH
irabeku iru(V8)+a_u_AVY+beku_#_FUT_#_IMPR
irakUdaxu iru(V8)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
irabAraxu iru(V8)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
iranu iru(V8)+anu_u_FUTNEG_#_3SM
iralYu iru(V8)+alYu_u_FUTNEG_#_3SF
iraxu iru(V8)+axu_u_FUTNEG_#_3SN
iraru iru(V8)+aru_u_FUTNEG_#_3P
iraru iru(V8)+aru_u_FUTNEG_#_3SH
iravu iru(V8)+avu_u_FUTNEG_#_3PN
iralAreV iru(V8)+alu_u_FUTNEG+AreV_u_1S
iralAreVvu iru(V8)+alu_u_FUTNEG+AreVvu_u_1P
iralAreVnu iru(V8)+alu_u_FUTNEG+AreVnu_u_2S
iralAriri iru(V8)+alu_u_FUTNEG+Ariri_u_2P
iralAriri iru(V8)+alu_u_FUTNEG+Ariri_u_2SH
iralAranu iru(V8)+alu_u_FUTNEG+Aranu_u_3SM
iralAralYu iru(V8)+alu_u_FUTNEG+AralYu_u_3SF
iralAraxu iru(V8)+alu_u_FUTNEG+Araxu_u_3SN
iralAraru iru(V8)+alu_u_FUTNEG+Araru_u_3P
iralAraru iru(V8)+alu_u_FUTNEG+Araru_u_3SH
iralAravu iru(V8)+alu_u_FUTNEG+Aravu_u_3PN
iralAraxa iru(V8)+alu_u_NEG+Araxa_u_3
iraxa iru(V8)+axa_u_NFV_#_NEG
iraxeV iru(V8)+axeV_u_NFV_#_NEG
ixxarU iru(V8)+xxarU_ru_NFV_#_CONS
iruwwA iru(V8)+uwwa_u_NFV+A_a_PRESCONT
ixxu iru(V8)+xxu_ru_NFV_#_PASTPERF
irali iru(V8)+ali_u_FUTOPT_#_3SM
irali iru(V8)+ali_u_FUTOPT_#_3SF
irali iru(V8)+ali_u_FUTOPT_#_3P
irali iru(V8)+ali_u_FUTOPT_#_3SH
irali iru(V8)+ali_u_FUTOPT_#_3SN
irali iru(V8)+ali_u_FUTOPT_#_3SM
iri iru(V8)+i_u_FUTPERM_2P
iri iru(V8)+i_u_FUTPERM_2SH
iraballa iru(V8)+ira_iru_AVY+balla_#_FUTINF_#_CAP
iraballanu iru(V8)+ira_iru_AVY+balla_#_FUTCAP+anu_a_3SM
iraballalYu iru(V8)+ira_iru_AVY+balla_#_FUTCAP+alYu_a_3SF
iraballaxu iru(V8)+ira_iru_AVY+balla_#_FUTCAP+axu_a_3SN
iraballaru iru(V8)+ira_iru_AVY+balla_#_FUTCAP+aru_a_3P
iraballaru iru(V8)+ira_iru_AVY+balla_#_FUTCAP+aru_a_3SH
iraballavu iru(V8)+ira_iru_AVY+balla_#_FUTCAP+avu_a_3PN
ixxAnu iru(V8)+xxa_ru_FUTDUB+Anu_a_3SM
ixxAlYu iru(V8)+xxa_ru_FUTDUB+AlYu_a_3SF
ixxAru iru(V8)+xxa_ru_FUTDUB+Aru_a_3P
ixxAru iru(V8)+xxa_ru_FUTDUB+Aru_a_3SH
ixxIwu iru(V8)+xxa_ru_FUTDUB+Iwu_a_3SN
ixxAvu iru(V8)+xxa_ru_FUTDUB+Avu_a_3PN
ixxenu iru(V8)+xxa_ru_FUTDUB+enu_a_1S
ixxevu iru(V8)+xxa_ru_FUTDUB+evu_a_1P
ixxIyeV iru(V8)+xxa_ru_FUTDUB+IyeV_a_2S
ixxIri iru(V8)+xxa_ru_FUTDUB+Iri_a_2P
ixxIri iru(V8)+xxa_ru_FUTDUB+Iri_a_2SH
ixxareV iru(V8)+xxa_ru_NFV+areV_a_COND
ixxalli iru(V8)+xxa_ru_NFV+alli_a_COND
iruvuxilla iru(V8)+ruvuxu_ru_AVY+illa_u_NEG
irabahuxu iru(V8)+a_u_AVY+bahuxu_#_FUTPOTEN
iralebeku iru(V8)+alu_u_COMP+e_u_AVY+beku_#_FUT
