kAxanu kAyu(V11)+xa_yu_PAST+anu_a_3SM   
kAxalYu kAyu(V11)+xa_yu_PAST+alYu_a_3SF
kAxiwu kAyu(V11)+xa_yu_PAST+xiwu_xa_3SN 
kAxaru kAyu(V11)+xa_yu_PAST+aru_a_3P
kAxaru kAyu(V11)+xa_yu_PAST+aru_a_3SH
kAxavu kAyu(V11)+xa_yu_PAST+avu_a_3PN
kAyuwwAneV kAyu(V11)+uwwa_u_FUT+AneV_a_3SM
kAyuwwAlYeV kAyu(V11)+uwwa_u_FUT+AlYeV_a_3SF
kAyuwwkAxeV kAyu(V11)+uwwa_u_FUT+kAxeV_a_3SN
kAyuwwAreV kAyu(V11)+uwwa_u_FUT+AreV_a_3P
kAyuwwAreV kAyu(V11)+uwwa_u_FUT+AreV_a_3SH
kAyuwwaveV kAyu(V11)+uwwa_u_FUT+aveV_a_3PN
kAyuvanu kAyu(V11)+va_#_FUT+anu_a_3SM
kAyuvalYu kAyu(V11)+va_#_FUT+alYu_a_3FM
kAyuvuxu kAyu(V11)+va_#_FUT+uxu_a_3SN
kAyuvaru kAyu(V11)+va_#_FUT+aru_a_3P
kAyuvaru kAyu(V11)+va_#_FUT+aru_a_3SH
kAyuvuvu kAyu(V11)+va_#_FUT+vuvu_va_3PN
kAxeVnu kAyu(V11)+xa_yu_PAST+eVnu_a_1S
kAxeVvu kAyu(V11)+xa_yu_PAST+eVvu_a_1P
kAyuwweneV kAyu(V11)+uwwa_u_FUT+eneV_a_1S
kAyuwweveV kAyu(V11)+uwwa_u_FUT+eveV_a_1P
kAyuveVnu kAyu(V11)+va_#_FUT+eVnu_a_1S
kAyuveVvu kAyu(V11)+va_#_FUT+eVvu_a_1P
kAyoNa kAyu(V11)+oNa_u_1P
kAyuvanA kAyu(V11)+vanA_#_1P
kAxi kAyu(V11)+xa_yu_PAST+i_a_2S
kAxiri kAyu(V11)+xa_yu_PAST+iri_a_2S
kAxiri kAyu(V11)+xa_yu_PAST+iri_a_2SH
kAyuwwi  kAyu(V11)+uwwa_u_FUT+wwi_wwa_2S
kAyuwwIri kAyu(V11)+uwwa_u_FUT+wwIri_wwa_2P
kAyuwwIri kAyu(V11)+uwwa_u_FUT+wwIri_wwa_2SH
kAyuviri kAyu(V11)+va_#_FUT+viri_va_2P
kAyuviri kAyu(V11)+va_#_FUT+viri_va_2SH
kAyuva kAyu(V11)+va_#_FUT_#_RP
kAxa kAyu(V11)+xa_yu_PAST_#_RP
kAyalu kAyu(V11)+alu_u_INFN_#_INCH
kAyalikkeV kAyu(V11)+alikkeV_u_INFN_#_INCH
kAyokeV kAyu(V11)+okeV_u_INFN_#_INCH
kAyabeku kAyu(V11)+a_u_AVY+beku_#_FUT_#_IMPR
kAyakUdkAxu kAyu(V11)+a_u_AVY+kUdkAxu_#_FUT_#_NEGIMPR
kAyabArkAxu kAyu(V11)+a_u_AVY+bArkAxu_#_FUT_#_NEGIMPR
kAyanu kAyu(V11)+anu_u_FUTNEG_#_3SM
kAyalYu kAyu(V11)+alYu_u_FUTNEG_#_3SF
kAykAxu kAyu(V11)+kAxu_u_FUTNEG_#_3SN
kAyaru kAyu(V11)+aru_u_FUTNEG_#_3P
kAyaru kAyu(V11)+aru_u_FUTNEG_#_3SH
kAyavu kAyu(V11)+avu_u_FUTNEG_#_3PN
kAyalAreV kAyu(V11)+alu_u_FUTNEG+AreV_u_1S
kAyalAreVvu kAyu(V11)+alu_u_FUTNEG+AreVvu_u_1P
kAyalAreVnu kAyu(V11)+alu_u_FUTNEG+AreVnu_u_2S
kAyalAriri kAyu(V11)+alu_u_FUTNEG+Ariri_u_2P
kAyalAriri kAyu(V11)+alu_u_FUTNEG+Ariri_u_2SH
kAyalAranu kAyu(V11)+alu_u_FUTNEG+Aranu_u_3SM
kAyalAralYu kAyu(V11)+alu_u_FUTNEG+AralYu_u_3SF
kAyalArkAxu kAyu(V11)+alu_u_FUTNEG+ArkAxu_u_3SN
kAyalAraru kAyu(V11)+alu_u_FUTNEG+Araru_u_3P
kAyalAraru kAyu(V11)+alu_u_FUTNEG+Araru_u_3SH
kAyalAravu kAyu(V11)+alu_u_FUTNEG+Aravu_u_3PN
kAyalArkAxa kAyu(V11)+alu_u_NEG+ArkAxa_u_3
kAykAxa kAyu(V11)+kAxa_u_NFV_#_NEG
kAykAxeV kAyu(V11)+kAxeV_u_NFV_#_NEG
kAxarU kAyu(V11)+xarU_yu_NFV_#_CONS
kAyuwwA kAyu(V11)+uwwa_u_NFV+A_a_PRESCONT
kAyi kAyu(V11)+yi_yu_NFV_#_PASTPERF
kAyali kAyu(V11)+ali_u_FUTOPT_#_3SM
kAyali kAyu(V11)+ali_u_FUTOPT_#_3SF
kAyali kAyu(V11)+ali_u_FUTOPT_#_3P
kAyali kAyu(V11)+ali_u_FUTOPT_#_3SH
kAyali kAyu(V11)+ali_u_FUTOPT_#_3SN
kAyali kAyu(V11)+ali_u_FUTOPT_#_3SM
kAyi kAyu(V11)+i_u_FUTPERM_2P
kAyi kAyu(V11)+i_u_FUTPERM_2SH
kAyaballa kAyu(V11)+kAya_kAyu_AVY+balla_#_FUTINF_#_CAP
