kEgoVMdanu kEgoVlYlYu(V32)+Mda_lYlYu_PAST+anu_a_3SM   
kEgoVMdalYu kEgoVlYlYu(V32)+Mda_lYlYu_PAST+alYu_a_3SF
kEgoVMdiwu kEgoVlYlYu(V32)+Mda_lYlYu_PAST+iwu_a_3SN 
kEgoVMdaru kEgoVlYlYu(V32)+Mda_lYlYu_PAST+aru_a_3P
kEgoVMdaru kEgoVlYlYu(V32)+Mda_lYlYu_PAST+aru_a_3SH
kEgoVMdavu kEgoVlYlYu(V32)+Mda_lYlYu_PAST+avu_a_3PN
kEgoVlYlYuwwAneV kEgoVlYlYu(V32)+uwwa_u_FUT+AneV_a_3SM
kEgoVlYlYuwwAlYeV kEgoVlYlYu(V32)+uwwa_u_FUT+AlYeV_a_3SF
kEgoVlYlYuwwaxeV kEgoVlYlYu(V32)+uwwa_u_FUT+axeV_a_3SN
kEgoVlYlYuwwAreV kEgoVlYlYu(V32)+uwwa_u_FUT+AreV_a_3P
kEgoVlYlYuwwAreV kEgoVlYlYu(V32)+uwwa_u_FUT+AreV_a_3SH
kEgoVlYlYuwwaveV kEgoVlYlYu(V32)+uwwa_u_FUT+aveV_a_3PN
kEgoVlYlYuvanu kEgoVlYlYu(V32)+va_#_FUT+anu_a_3SM
kEgoVlYlYuvalYu kEgoVlYlYu(V32)+va_#_FUT+alYu_a_3FM
kEgoVlYlYuvuxu kEgoVlYlYu(V32)+va_#_FUT+uxu_a_3SN
kEgoVlYlYuvaru kEgoVlYlYu(V32)+va_#_FUT+aru_a_3P
kEgoVlYlYuvaru kEgoVlYlYu(V32)+va_#_FUT+aru_a_3SH
kEgoVlYlYuvuvu kEgoVlYlYu(V32)+va_#_FUT+vuvu_va_3PN
kEgoVMdeVnu kEgoVlYlYu(V32)+Mda_lYlYu_PAST+eVnu_a_1S
kEgoVMdeVvu kEgoVlYlYu(V32)+Mda_lYlYu_PAST+eVvu_a_1P
kEgoVlYlYuwweneV kEgoVlYlYu(V32)+uwwa_u_FUT+eneV_a_1S
kEgoVlYlYuwweveV kEgoVlYlYu(V32)+uwwa_u_FUT+eveV_a_1P
kEgoVlYlYuveVnu kEgoVlYlYu(V32)+va_#_FUT+eVnu_a_1S
kEgoVlYlYuveVvu kEgoVlYlYu(V32)+va_#_FUT+eVvu_a_1P
kEgoVlYlYoNa kEgoVlYlYu(V32)+oNa_u_1P
kEgoVlYlYuvanA kEgoVlYlYu(V32)+vanA_#_1P
kEgoVMdi kEgoVlYlYu(V32)+Mda_lYlYu_PAST+i_a_2S
kEgoVMdiri kEgoVlYlYu(V32)+Mda_lYlYu_PAST+iri_a_2S
kEgoVMdiri kEgoVlYlYu(V32)+Mda_lYlYu_PAST+iri_a_2SH
kEgoVlYlYuwwi  kEgoVlYlYu(V32)+uwwa_u_FUT+wwi_wwa_2S
kEgoVlYlYuwwIri kEgoVlYlYu(V32)+uwwa_u_FUT+wwIri_wwa_2P
kEgoVlYlYuwwIri kEgoVlYlYu(V32)+uwwa_u_FUT+wwIri_wwa_2SH
kEgoVlYlYuviri kEgoVlYlYu(V32)+va_#_FUT+viri_va_2P
kEgoVlYlYuviri kEgoVlYlYu(V32)+va_#_FUT+viri_va_2SH
kEgoVlYlYuva kEgoVlYlYu(V32)+va_#_FUT_#_RP
kEgoVMda kEgoVlYlYu(V32)+Mda_lYlYu_PAST_#_RP
kEgoVlYlYalu kEgoVlYlYu(V32)+alu_u_INFN_#_INCH
kEgoVlYlYalikkeV kEgoVlYlYu(V32)+alikkeV_u_INFN_#_INCH
kEgoVlYlYokeV kEgoVlYlYu(V32)+okeV_u_INFN_#_INCH
kEgoVlYlYabeku kEgoVlYlYu(V32)+a_u_AVY+beku_#_FUT_#_IMPR
kEgoVlYlYakUdaxu kEgoVlYlYu(V32)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
kEgoVlYlYakEgoVlYlYaxu kEgoVlYlYu(V32)+a_u_AVY+kEgoVlYlYaxu_#_FUT_#_NEGIMPR
kEgoVlYlYanu kEgoVlYlYu(V32)+anu_u_FUTNEG_#_3SM
kEgoVlYlYalYu kEgoVlYlYu(V32)+alYu_u_FUTNEG_#_3SF
kEgoVlYlYaxu kEgoVlYlYu(V32)+axu_u_FUTNEG_#_3SN
kEgoVlYlYaru kEgoVlYlYu(V32)+aru_u_FUTNEG_#_3P
kEgoVlYlYaru kEgoVlYlYu(V32)+aru_u_FUTNEG_#_3SH
kEgoVlYlYavu kEgoVlYlYu(V32)+avu_u_FUTNEG_#_3PN
kEgoVlYlYalAreV kEgoVlYlYu(V32)+alu_u_FUTNEG+AreV_u_1S
kEgoVlYlYalAreVvu kEgoVlYlYu(V32)+alu_u_FUTNEG+AreVvu_u_1P
kEgoVlYlYalAreVnu kEgoVlYlYu(V32)+alu_u_FUTNEG+AreVnu_u_2S
kEgoVlYlYalAriri kEgoVlYlYu(V32)+alu_u_FUTNEG+Ariri_u_2P
kEgoVlYlYalAriri kEgoVlYlYu(V32)+alu_u_FUTNEG+Ariri_u_2SH
kEgoVlYlYalAranu kEgoVlYlYu(V32)+alu_u_FUTNEG+Aranu_u_3SM
kEgoVlYlYalAralYu kEgoVlYlYu(V32)+alu_u_FUTNEG+AralYu_u_3SF
kEgoVlYlYalAraxu kEgoVlYlYu(V32)+alu_u_FUTNEG+Araxu_u_3SN
kEgoVlYlYalAraru kEgoVlYlYu(V32)+alu_u_FUTNEG+Araru_u_3P
kEgoVlYlYalAraru kEgoVlYlYu(V32)+alu_u_FUTNEG+Araru_u_3SH
kEgoVlYlYalAravu kEgoVlYlYu(V32)+alu_u_FUTNEG+Aravu_u_3PN
kEgoVlYlYalArxa kEgoVlYlYu(V32)+alu_u_NEG+Arxa_u_3
kEgoVlYlYaxa kEgoVlYlYu(V32)+axa_u_NFV_#_NEG
kEgoVlYlYaxeV kEgoVlYlYu(V32)+axeV_u_NFV_#_NEG
kEgoVMdarU kEgoVlYlYu(V32)+MdarU_lYlYu_NFV_#_CONS
kEgoVlYlYuwwA kEgoVlYlYu(V32)+uwwa_u_NFV+A_a_PRESCONT
kEgoVMdu kEgoVlYlYu(V32)+Mdu_lYlYu_NFV_#_PASTPERF
kEgoVlYlYali kEgoVlYlYu(V32)+ali_u_FUTOPT_#_3SM
kEgoVlYlYali kEgoVlYlYu(V32)+ali_u_FUTOPT_#_3SF
kEgoVlYlYali kEgoVlYlYu(V32)+ali_u_FUTOPT_#_3P
kEgoVlYlYali kEgoVlYlYu(V32)+ali_u_FUTOPT_#_3SH
kEgoVlYlYali kEgoVlYlYu(V32)+ali_u_FUTOPT_#_3SN
kEgoVlYlYali kEgoVlYlYu(V32)+ali_u_FUTOPT_#_3SM

kEgoVlYlYaballa kEgoVlYlYu(V32)+kEgoVlYlYa_kEgoVlYlYu_AVY+balla_#_FUTINF_#_CAP
kEgoVlYlYaballanu kEgoVlYlYu(V32)+kEgoVlYlYa_kEgoVlYlYu_AVY+balla_#_FUTCAP+anu_a_3SM
kEgoVlYlYaballalYu kEgoVlYlYu(V32)+kEgoVlYlYa_kEgoVlYlYu_AVY+balla_#_FUTCAP+alYu_a_3SF
kEgoVlYlYaballaxu kEgoVlYlYu(V32)+kEgoVlYlYa_kEgoVlYlYu_AVY+balla_#_FUTCAP+axu_a_3SN
kEgoVlYlYaballaru kEgoVlYlYu(V32)+kEgoVlYlYa_kEgoVlYlYu_AVY+balla_#_FUTCAP+aru_a_3P
kEgoVlYlYaballaru kEgoVlYlYu(V32)+kEgoVlYlYa_kEgoVlYlYu_AVY+balla_#_FUTCAP+aru_a_3SH
kEgoVlYlYaballavu kEgoVlYlYu(V32)+kEgoVlYlYa_kEgoVlYlYu_AVY+balla_#_FUTCAP+avu_a_3PN
kEgoVMdAnu kEgoVlYlYu(V32)+Mda_lYlYu_FUTDUB+Anu_a_3SM
kEgoVMdAlYu kEgoVlYlYu(V32)+Mda_lYlYu_FUTDUB+AlYu_a_3SF
kEgoVMdAru kEgoVlYlYu(V32)+Mda_lYlYu_FUTDUB+Aru_a_3P
kEgoVMdAru kEgoVlYlYu(V32)+Mda_lYlYu_FUTDUB+Aru_a_3SH
kEgoVMdIwu kEgoVlYlYu(V32)+Mda_lYlYu_FUTDUB+Iwu_a_3SN
kEgoVMdAvu kEgoVlYlYu(V32)+Mda_lYlYu_FUTDUB+Avu_a_3PN
kEgoVMdenu kEgoVlYlYu(V32)+Mda_lYlYu_FUTDUB+enu_a_1S
kEgoVMdevu kEgoVlYlYu(V32)+Mda_lYlYu_FUTDUB+evu_a_1P
kEgoVMdIyeV kEgoVlYlYu(V32)+Mda_lYlYu_FUTDUB+IyeV_a_2S
kEgoVMdIri kEgoVlYlYu(V32)+Mda_lYlYu_FUTDUB+Iri_a_2P
kEgoVMdIri kEgoVlYlYu(V32)+Mda_lYlYu_FUTDUB+Iri_a_2SH
kEgoVMdareV kEgoVlYlYu(V32)+Mda_lYlYu_NFV+areV_a_COND
kEgoVMdalli kEgoVlYlYu(V32)+Mda_lYlYu_NFV+alli_a_COND
kEgoVlYlYuvuxilla kEgoVlYlYu(V32)+vuxu_#_AVY+illa_u_NEG
kEgoVlYlYabahuxu kEgoVlYlYu(V32)+a_u_AVY+bahuxu_#_FUTPOTEN
kEgoVlYlYalebeku kEgoVlYlYu(V32)+alu_u_COMP+e_u_AVY+beku_#_FUT
kEgoVlYlYuvavanu kEgoVlYlYu(V32)+va_#_PRP+avanu_a_3SM
kEgoVlYlYuvavalYu kEgoVlYlYu(V32)+va_#_PRP+avalYu_a_3FM
kEgoVlYlYuvavaru kEgoVlYlYu(V32)+va_#_PRP+avaru_a_3P
kEgoVlYlYaxavanu kEgoVlYlYu(V32)+axa_u_PRP+avanu_a_3SM
kEgoVlYlYaxavalYu kEgoVlYlYu(V32)+axa_u_PRP+avalYu_a_3FM
kEgoVlYlYaxavaru kEgoVlYlYu(V32)+axa_u_PRP+avaru_a_3P
kEgoVMdavanu kEgoVlYlYu(V32)+Mda_lYlYu_PRP+avanu_a_3SM 
kEgoVMdavalYu kEgoVlYlYu(V32)+Mda_lYlYu_PRP+avalYu_a_3FM 
kEgoVMdavaru kEgoVlYlYu(V32)+Mda_lYlYu_PRP+avaru_a_3P 
kEgoVlYlYalAraxavanu kEgoVlYlYu(V32)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
kEgoVlYlYalAraxavalYu kEgoVlYlYu(V32)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
kEgoVlYlYalAraxavaru kEgoVlYlYu(V32)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
kEgoVlYlYuwwiruvavanu kEgoVlYlYu(V32)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
kEgoVlYlYuwwiruvavalYu kEgoVlYlYu(V32)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3SF
kEgoVlYlYuwwiruvavaru kEgoVlYlYu(V32)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
kEgoVlYlYuwwiruvuxu kEgoVlYlYu(V32)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
kEgoVlYlYuwwiruvuvu kEgoVlYlYu(V32)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
