kiwwanu kIlYu(V33)+iwwa_IlYu_PAST+anu_a_3SM   
kiwwaIlYu kIlYu(V33)+iwwa_IlYu_PAST+aIlYu_a_3SF
kiwwiwu kIlYu(V33)+iwwa_IlYu_PAST+iwu_a_3SN 
kiwwaru kIlYu(V33)+iwwa_IlYu_PAST+aru_a_3P
kiwwaru kIlYu(V33)+iwwa_IlYu_PAST+aru_a_3SH
kiwwavu kIlYu(V33)+iwwa_IlYu_PAST+avu_a_3PN
kIlYuwwAneV kIlYu(V33)+uwwa_u_FUT+AneV_a_3SM
kIlYuwwAlYeV kIlYu(V33)+uwwa_u_FUT+AlYeV_a_3SF
kIlYuwwaxeV kIlYu(V33)+uwwa_u_FUT+axeV_a_3SN
kIlYuwwAreV kIlYu(V33)+uwwa_u_FUT+AreV_a_3P
kIlYuwwAreV kIlYu(V33)+uwwa_u_FUT+AreV_a_3SH
kIlYuwwaveV kIlYu(V33)+uwwa_u_FUT+aveV_a_3PN
kIlYuvanu kIlYu(V33)+va_#_FUT+anu_a_3SM
kIlYuvaIlYu kIlYu(V33)+va_#_FUT+aIlYu_a_3FM
kIlYuvuxu kIlYu(V33)+va_#_FUT+uxu_a_3SN
kIlYuvaru kIlYu(V33)+va_#_FUT+aru_a_3P
kIlYuvaru kIlYu(V33)+va_#_FUT+aru_a_3SH
kIlYuvuvu kIlYu(V33)+va_#_FUT+vuvu_va_3PN
kiwweVnu kIlYu(V33)+iwwa_IlYu_PAST+eVnu_a_33S
kiwweVvu kIlYu(V33)+iwwa_IlYu_PAST+eVvu_a_33P
kIlYuwweneV kIlYu(V33)+uwwa_u_FUT+eneV_a_33S
kIlYuwweveV kIlYu(V33)+uwwa_u_FUT+eveV_a_33P
kIlYuveVnu kIlYu(V33)+va_#_FUT+eVnu_a_33P
kIlYuveVvu kIlYu(V33)+va_#_FUT+eVvu_a_33P
kIlYoNa kIlYu(V33)+oNa_u_33P
kIlYuvanA kIlYu(V33)+vanA_#_33P
kiwwi kIlYu(V33)+iwwa_IlYu_PAST+i_a_2S
kiwwiri kIlYu(V33)+iwwa_IlYu_PAST+iri_a_2S
kiwwiri kIlYu(V33)+iwwa_IlYu_PAST+iri_a_2SH
kIlYuwwi kIlYu(V33)+wwa_#_FUT+wwi_wwa_2S
