kUgixanu kUgu(V25)+ixa_u_PAST+anu_a_3SM   
kUgixalYu kUgu(V25)+ixa_u_PAST+alYu_a_3SF
kUgixiwu kUgu(V25)+ixa_u_PAST+iwu_a_3SN 
kUgixaru kUgu(V25)+ixa_u_PAST+aru_a_3P
kUgixaru kUgu(V25)+ixa_u_PAST+aru_a_3SH
kUgixavu kUgu(V25)+ixa_u_PAST+avu_a_3PN
kUguwwAneV kUgu(V25)+uwwa_u_FUT+AneV_a_3SM
kUguwwAlYeV kUgu(V25)+uwwa_u_FUT+AlYeV_a_3SF
kUguwwaxeV kUgu(V25)+uwwa_u_FUT+axeV_a_3SN
kUguwwAreV kUgu(V25)+uwwa_u_FUT+AreV_a_3P
kUguwwAreV kUgu(V25)+uwwa_u_FUT+AreV_a_3SH
kUguwwaveV kUgu(V25)+uwwa_u_FUT+aveV_a_3PN
kUguvanu kUgu(V25)+va_#_FUT+anu_a_3SM
kUguvalYu kUgu(V25)+va_#_FUT+alYu_a_3FM
kUguvuxu kUgu(V25)+va_#_FUT+uxu_a_3SN
kUguvaru kUgu(V25)+va_#_FUT+aru_a_3P
kUguvaru kUgu(V25)+va_#_FUT+aru_a_3SH
kUguvuvu kUgu(V25)+va_#_FUT+vuvu_va_3PN
kUgixeVnu kUgu(V25)+ixa_u_PAST+eVnu_a_1S
kUgixeVvu kUgu(V25)+ixa_u_PAST+eVvu_a_1P
kUguwweneV kUgu(V25)+uwwa_u_FUT+eneV_a_1S
kUguwweveV kUgu(V25)+uwwa_u_FUT+eveV_a_1P
kUguveVnu kUgu(V25)+va_#_FUT+eVnu_a_1S
kUguveVvu kUgu(V25)+va_#_FUT+eVvu_a_1P
kUgoNa kUgu(V25)+oNa_u_1P
kUguvanA kUgu(V25)+vanA_#_1P
kUgixi kUgu(V25)+ixa_u_PAST+i_a_2S
kUgixiri kUgu(V25)+ixa_u_PAST+iri_a_2P
kUgixiri kUgu(V25)+ixa_u_PAST+iri_a_2SH
kUguwwi  kUgu(V25)+uwwa_u_FUT+wwi_wwa_2S
kUguwwIri kUgu(V25)+uwwa_u_FUT+wwIri_wwa_2P
kUguwwIri kUgu(V25)+uwwa_u_FUT+wwIri_wwa_2SH
kUguviri kUgu(V25)+va_#_FUT+viri_va_2P
kUguviri kUgu(V25)+va_#_FUT+viri_va_2SH
kUguva kUgu(V25)+va_#_FUT_#_RP
kUgixa kUgu(V25)+ixa_u_PAST_#_RP
kUgalu kUgu(V25)+alu_u_INFN_#_INCH
kUgalikkeV kUgu(V25)+alikkeV_u_INFN_#_INCH
kUgokeV kUgu(V25)+okeV_u_INFN_#_INCH
kUgabeku kUgu(V25)+a_u_AVY+beku_#_FUT_#_IMPR
kUgakUdaxu kUgu(V25)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
kUgabaraxu kUgu(V25)+a_u_AVY+baraxu_#_FUT_#_NEGIMPR
kUganu kUgu(V25)+anu_u_FUTNEG_#_3SM
kUgalYu kUgu(V25)+alYu_u_FUTNEG_#_3SF
kUgaxu kUgu(V25)+axu_u_FUTNEG_#_3SN
kUgaru kUgu(V25)+aru_u_FUTNEG_#_3P
kUgaru kUgu(V25)+aru_u_FUTNEG_#_3SH
kUgavu kUgu(V25)+avu_u_FUTNEG_#_3PN
kUgalAreV kUgu(V25)+alu_u_FUTNEG+AreV_u_1S
kUgalAreVvu kUgu(V25)+alu_u_FUTNEG+AreVvu_u_1P
kUgalAreVnu kUgu(V25)+alu_u_FUTNEG+AreVnu_u_2S
kUgalAriri kUgu(V25)+alu_u_FUTNEG+Ariri_u_2P
kUgalAriri kUgu(V25)+alu_u_FUTNEG+Ariri_u_2SH
kUgalAranu kUgu(V25)+alu_u_FUTNEG+Aranu_u_3SM
kUgalAralYu kUgu(V25)+alu_u_FUTNEG+AralYu_u_3SF
kUgalAraxu kUgu(V25)+alu_u_FUTNEG+Araxu_u_3SN
kUgalAraru kUgu(V25)+alu_u_FUTNEG+Araru_u_3P
kUgalAraru kUgu(V25)+alu_u_FUTNEG+Araru_u_3SH
kUgalAravu kUgu(V25)+alu_u_FUTNEG+Aravu_u_3PN
kUgalArxa kUgu(V25)+alu_u_NEG+Arxa_u_3
kUgaxa kUgu(V25)+axa_u_NFV_#_NEG
kUgaxeV kUgu(V25)+axeV_u_NFV_#_NEG
kUgixarU kUgu(V25)+ixarU_u_NFV_#_CONS
kUguwwA kUgu(V25)+uwwa_u_NFV+A_a_PRESCONT
kUgi kUgu(V25)+i_u_NFV_#_PASTPERF
kUgali kUgu(V25)+ali_u_FUTOPT_#_3SM
kUgali kUgu(V25)+ali_u_FUTOPT_#_3SF
kUgali kUgu(V25)+ali_u_FUTOPT_#_3P
kUgali kUgu(V25)+ali_u_FUTOPT_#_3SH
kUgali kUgu(V25)+ali_u_FUTOPT_#_3SN
kUgali kUgu(V25)+ali_u_FUTOPT_#_3SM
kUgaballa kUgu(V25)+kUga_kUgu_AVY+balla_#_FUTINF_#_CAP
kUgaballanu kUgu(V25)+kUga_kUgu_AVY+balla_#_FUTCAP+anu_a_3SM
kUgaballalYu kUgu(V25)+kUga_kUgu_AVY+balla_#_FUTCAP+alYu_a_3SF
kUgaballaxu kUgu(V25)+kUga_kUgu_AVY+balla_#_FUTCAP+axu_a_3SN
kUgaballaru kUgu(V25)+kUga_kUgu_AVY+balla_#_FUTCAP+aru_a_3P
kUgaballaru kUgu(V25)+kUga_kUgu_AVY+balla_#_FUTCAP+aru_a_3SH
kUgaballavu kUgu(V25)+kUga_kUgu_AVY+balla_#_FUTCAP+avu_a_3PN
kUgiyAnu kUgu(V25)+iya_u_FUTDUB+Anu_a_3SM
kUgiyAlYu kUgu(V25)+iya_u_FUTDUB+AlYu_a_3SF
kUgiyAru kUgu(V25)+iya_u_FUTDUB+Aru_a_3P
kUgiyAru kUgu(V25)+iya_u_FUTDUB+Aru_a_3SH
kUgIwu kUgu(V25)+iya_u_FUTDUB+Iwu_iya_3SN
kUgiyAvu kUgu(V25)+iya_u_FUTDUB+Avu_a_3PN
kUgiyenu kUgu(V25)+iya_u_FUTDUB+enu_a_1S
kUgiyevu kUgu(V25)+iya_u_FUTDUB+evu_a_1P
kUguvIyeV kUgu(V25)+iya_#_FUTDUB+vIyeV_iya_2S
