kadixanu kadi(V18)+xa_#_PAST+anu_a_3SM   
kadixalYu kadi(V18)+xa_#_PAST+alYu_a_3SF
kadixiwu kadi(V18)+xa_#_PAST+iwu_a_3SN 
kadixaru kadi(V18)+xa_#_PAST+aru_a_3P
kadixaru kadi(V18)+xa_#_PAST+aru_a_3SH
kadixavu kadi(V18)+xa_#_PAST+avu_a_3PN
kadiyuwwAneV kadi(V18)+yuwwa_u_FUT+AneV_a_3SM
kadiyuwwAlYeV kadi(V18)+yuwwa_u_FUT+AlYeV_a_3SF
kadiyuwwaxeV kadi(V18)+yuwwa_u_FUT+axeV_a_3SN
kadiyuwwAreV kadi(V18)+yuwwa_u_FUT+AreV_a_3P
kadiyuwwAreV kadi(V18)+yuwwa_u_FUT+AreV_a_3SH
kadiyuwwaveV kadi(V18)+yuwwa_u_FUT+aveV_a_3PN
kadiyuvanu kadi(V18)+yuva_#_FUT+anu_a_3SM
kadiyuvalYu kadi(V18)+yuva_#_FUT+alYu_a_3FM
kadiyuvuxu kadi(V18)+yuva_#_FUT+uxu_a_3SN
kadiyuvaru kadi(V18)+yuva_#_FUT+aru_a_3P
kadiyuvaru kadi(V18)+yuva_#_FUT+aru_a_3SH
kadiyuvuvu kadi(V18)+yuva_#_FUT+vuvu_va_3PN
kadixeVnu kadi(V18)+xa_#_PAST+eVnu_a_1S
kadixeVvu kadi(V18)+xa_#_PAST+eVvu_a_1P
kadiyuwweneV kadi(V18)+yuwwa_u_FUT+eneV_a_1S
kadiyuwweveV kadi(V18)+yuwwa_u_FUT+eveV_a_1P
kadiyuveVnu kadi(V18)+yuva_#_FUT+eVnu_a_1S
kadiyuveVvu kadi(V18)+yuva_#_FUT+eVvu_a_1P
kadiyoNa kadi(V18)+yoNa_u_1P
kadiyuvanA kadi(V18)+yuvanA_#_1P
kadixi kadi(V18)+xa_#_PAST+i_a_2S
kadixiri kadi(V18)+xa_#_PAST+iri_a_2S
kadixiri kadi(V18)+xa_#_PAST+iri_a_2SH
kadiyuwwi  kadi(V18)+yuwwa_u_FUT+wwi_wwa_2S
kadiyuwwIri kadi(V18)+yuwwa_u_FUT+wwIri_wwa_2P
kadiyuwwIri kadi(V18)+yuwwa_u_FUT+wwIri_wwa_2SH
kadiviri kadi(V18)+yuva_#_FUT+viri_yuva_2P
kadiviri kadi(V18)+yuva_#_FUT+viri_yuva_2SH
kadiyuva kadi(V18)+yuva_#_FUT_#_RP
kadixa kadi(V18)+xa_#_PAST_#_RP
kadiyalu kadi(V18)+yalu_u_INFN_#_INCH
kadiyalikkeV kadi(V18)+yalikkeV_u_INFN_#_INCH
kadiyokeV kadi(V18)+yokeV_u_INFN_#_INCH
kadiyabeku kadi(V18)+ya_u_AVY+beku_#_FUT_#_IMPR
kadiyakUdaxu kadi(V18)+ya_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
kadiyabAraxu kadi(V18)+ya_u_AVY+bAraxu_#_FUT_#_NEGIMPR
kadiyanu kadi(V18)+yanu_u_FUTNEG_#_3SM
kadiyalYu kadi(V18)+yalYu_u_FUTNEG_#_3SF
kadiyaxu kadi(V18)+yaxu_u_FUTNEG_#_3SN
kadiyaru kadi(V18)+yaru_u_FUTNEG_#_3P
kadiyaru kadi(V18)+yaru_u_FUTNEG_#_3SH
kadiyavu kadi(V18)+yavu_u_FUTNEG_#_3PN
kadiyalAreV kadi(V18)+yalu_u_FUTNEG+AreV_u_1S
kadiyalAreVvu kadi(V18)+yalu_u_FUTNEG+AreVvu_u_1P
kadiyalAreVnu kadi(V18)+yalu_u_FUTNEG+AreVnu_u_2S
kadiyalAriri kadi(V18)+yalu_u_FUTNEG+Ariri_u_2P
kadiyalAriri kadi(V18)+yalu_u_FUTNEG+Ariri_u_2SH
kadiyalAranu kadi(V18)+yalu_u_FUTNEG+Aranu_u_3SM
kadiyalAralYu kadi(V18)+yalu_u_FUTNEG+AralYu_u_3SF
kadiyalAraxu kadi(V18)+yalu_u_FUTNEG+Araxu_u_3SN
kadiyalAraru kadi(V18)+yalu_u_FUTNEG+Araru_u_3P
kadiyalAraru kadi(V18)+yalu_u_FUTNEG+Araru_u_3SH
kadiyalAravu kadi(V18)+yalu_u_FUTNEG+Aravu_u_3PN
kadiyalArxa kadi(V18)+yalu_u_NEG+Arxa_u_3
kadiyaxa kadi(V18)+yaxa_u_NFV_#_NEG
kadiyaxeV kadi(V18)+yaxeV_u_NFV_#_NEG
kadixarU kadi(V18)+xarU_nnu_NFV_#_CONS
kadiyuwwA kadi(V18)+yuwwa_#_NFV+A_a_PRESCONT
kadixu kadi(V18)+xu_#_NFV_#_PASTPERF
kadiyali kadi(V18)+yali_u_FUTOPT_#_3SM
kadiyali kadi(V18)+yali_u_FUTOPT_#_3SF
kadiyali kadi(V18)+yali_u_FUTOPT_#_3P
kadiyali kadi(V18)+yali_u_FUTOPT_#_3SH
kadiyali kadi(V18)+yali_u_FUTOPT_#_3SN
kadiyali kadi(V18)+yali_u_FUTOPT_#_3SM


kadiyaballa kadi(V18)+kadiya_kadi_AVY+balla_#_FUTINF_#_CAP
kadiyaballanu kadi(V18)+kadiya_kadi_AVY+balla_#_FUTCAP+anu_a_3SM
kadiyaballalYu kadi(V18)+kadiya_kadi_AVY+balla_#_FUTCAP+alYu_a_3SF
kadiyaballaxu kadi(V18)+kadiya_kadi_AVY+balla_#_FUTCAP+axu_a_3SN
kadiyaballaru kadi(V18)+kadiya_kadi_AVY+balla_#_FUTCAP+aru_a_3P
kadiyaballaru kadi(V18)+kadiya_kadi_AVY+balla_#_FUTCAP+aru_a_3SH
