koVMdanu koVlYlYu(V20)+Mda_lYlYu_PAST+anu_a_3SM   
koVMdalYu koVlYlYu(V20)+Mda_lYlYu_PAST+alYu_a_3SF
koVMdiwu koVlYlYu(V20)+Mda_lYlYu_PAST+iwu_a_3SN 
koVMdaru koVlYlYu(V20)+Mda_lYlYu_PAST+aru_a_3P
koVMdaru koVlYlYu(V20)+Mda_lYlYu_PAST+aru_a_3SH
koVMdavu koVlYlYu(V20)+Mda_lYlYu_PAST+avu_a_3PN
koVlYlYuwwAneV koVlYlYu(V20)+uwwa_u_FUT+AneV_a_3SM
koVlYlYuwwAlYeV koVlYlYu(V20)+uwwa_u_FUT+AlYeV_a_3SF
koVlYlYuwwaxeV koVlYlYu(V20)+uwwa_u_FUT+axeV_a_3SN
koVlYlYuwwAreV koVlYlYu(V20)+uwwa_u_FUT+AreV_a_3P
koVlYlYuwwAreV koVlYlYu(V20)+uwwa_u_FUT+AreV_a_3SH
koVlYlYuwwaveV koVlYlYu(V20)+uwwa_u_FUT+aveV_a_3PN
koVlYlYuvanu koVlYlYu(V20)+va_#_FUT+anu_a_3SM
koVlYlYuvalYu koVlYlYu(V20)+va_#_FUT+alYu_a_3FM
koVlYlYuvuxu koVlYlYu(V20)+va_#_FUT+uxu_a_3SN
koVlYlYuvaru koVlYlYu(V20)+va_#_FUT+aru_a_3P
koVlYlYuvaru koVlYlYu(V20)+va_#_FUT+aru_a_3SH
koVlYlYuvuvu koVlYlYu(V20)+va_#_FUT+vuvu_va_3PN
koVMdeVnu koVlYlYu(V20)+Mda_lYlYu_PAST+eVnu_a_1S
koVMdeVvu koVlYlYu(V20)+Mda_lYlYu_PAST+eVvu_a_1P
koVlYlYuwweneV koVlYlYu(V20)+uwwa_u_FUT+eneV_a_1S
koVlYlYuwweveV koVlYlYu(V20)+uwwa_u_FUT+eveV_a_1P
koVlYlYuveVnu koVlYlYu(V20)+va_#_FUT+eVnu_a_1S
koVlYlYuveVvu koVlYlYu(V20)+va_#_FUT+eVvu_a_1P
koVlYlYoNa koVlYlYu(V20)+oNa_u_1P
koVlYlYuvanA koVlYlYu(V20)+vanA_#_1P
koVMdi koVlYlYu(V20)+Mda_lYlYu_PAST+i_a_2S
koVMdiri koVlYlYu(V20)+Mda_lYlYu_PAST+iri_a_2S
koVMdiri koVlYlYu(V20)+Mda_lYlYu_PAST+iri_a_2SH
koVlYlYuwwi  koVlYlYu(V20)+uwwa_u_FUT+wwi_wwa_2S
koVlYlYuwwIri koVlYlYu(V20)+uwwa_u_FUT+wwIri_wwa_2P
koVlYlYuwwIri koVlYlYu(V20)+uwwa_u_FUT+wwIri_wwa_2SH
koVlYlYuviri koVlYlYu(V20)+va_#_FUT+viri_va_2P
koVlYlYuviri koVlYlYu(V20)+va_#_FUT+viri_va_2SH
koVlYlYuva koVlYlYu(V20)+va_#_FUT_#_RP
koVMda koVlYlYu(V20)+Mda_lYlYu_PAST_#_RP
koVlYlYalu koVlYlYu(V20)+alu_u_INFN_#_INCH
koVlYlYalikkeV koVlYlYu(V20)+alikkeV_u_INFN_#_INCH
koVlYlYokeV koVlYlYu(V20)+okeV_u_INFN_#_INCH
koVlYlYabeku koVlYlYu(V20)+a_u_AVY+beku_#_FUT_#_IMPR
koVlYlYakUdaxu koVlYlYu(V20)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
koVlYlYakoVlYlYaxu koVlYlYu(V20)+a_u_AVY+koVlYlYaxu_#_FUT_#_NEGIMPR
koVlYlYanu koVlYlYu(V20)+anu_u_FUTNEG_#_3SM
koVlYlYalYu koVlYlYu(V20)+alYu_u_FUTNEG_#_3SF
koVlYlYaxu koVlYlYu(V20)+axu_u_FUTNEG_#_3SN
koVlYlYaru koVlYlYu(V20)+aru_u_FUTNEG_#_3P
koVlYlYaru koVlYlYu(V20)+aru_u_FUTNEG_#_3SH
koVlYlYavu koVlYlYu(V20)+avu_u_FUTNEG_#_3PN
koVlYlYalAreV koVlYlYu(V20)+alu_u_FUTNEG+AreV_u_1S
koVlYlYalAreVvu koVlYlYu(V20)+alu_u_FUTNEG+AreVvu_u_1P
koVlYlYalAreVnu koVlYlYu(V20)+alu_u_FUTNEG+AreVnu_u_2S
koVlYlYalAriri koVlYlYu(V20)+alu_u_FUTNEG+Ariri_u_2P
koVlYlYalAriri koVlYlYu(V20)+alu_u_FUTNEG+Ariri_u_2SH
koVlYlYalAranu koVlYlYu(V20)+alu_u_FUTNEG+Aranu_u_3SM
koVlYlYalAralYu koVlYlYu(V20)+alu_u_FUTNEG+AralYu_u_3SF
koVlYlYalAraxu koVlYlYu(V20)+alu_u_FUTNEG+Araxu_u_3SN
koVlYlYalAraru koVlYlYu(V20)+alu_u_FUTNEG+Araru_u_3P
