nakkanu nagu(V21)+kka_gu_PAST+anu_a_3SM   
nakkalYu nagu(V21)+kka_gu_PAST+alYu_a_3SF
nakkiwu nagu(V21)+kka_gu_PAST+iwu_a_3SN 
nakkaru nagu(V21)+kka_gu_PAST+aru_a_3P
nakkaru nagu(V21)+kka_gu_PAST+aru_a_3SH
nakkavu nagu(V21)+kka_gu_PAST+avu_a_3PN
naguwwAneV nagu(V21)+uwwa_u_FUT+AneV_a_3SM
naguwwAlYeV nagu(V21)+uwwa_u_FUT+AlYeV_a_3SF
naguwwaxeV nagu(V21)+uwwa_u_FUT+axeV_a_3SN
naguwwAreV nagu(V21)+uwwa_u_FUT+AreV_a_3P
naguwwAreV nagu(V21)+uwwa_u_FUT+AreV_a_3SH
naguwwaveV nagu(V21)+uwwa_u_FUT+aveV_a_3PN
naguvanu nagu(V21)+va_#_FUT+anu_a_3SM
naguvalYu nagu(V21)+va_#_FUT+alYu_a_3FM
naguvuxu nagu(V21)+va_#_FUT+uxu_a_3SN
naguvaru nagu(V21)+va_#_FUT+aru_a_3P
naguvaru nagu(V21)+va_#_FUT+aru_a_3SH
naguvuvu nagu(V21)+va_#_FUT+vuvu_va_3PN
nakkeVnu nagu(V21)+kka_gu_PAST+eVnu_a_1S
nakkeVvu nagu(V21)+kka_gu_PAST+eVvu_a_1P
naguwweneV nagu(V21)+uwwa_u_FUT+eneV_a_1S
naguwweveV nagu(V21)+uwwa_u_FUT+eveV_a_1P
naguveVnu nagu(V21)+va_#_FUT+eVnu_a_1S
naguveVvu nagu(V21)+va_#_FUT+eVvu_a_1P
nagoNa nagu(V21)+oNa_u_1P
naguvanA nagu(V21)+vanA_#_1P
nakki nagu(V21)+kka_gu_PAST+i_a_2S
nakkiri nagu(V21)+kka_gu_PAST+iri_a_2P
nakkiri nagu(V21)+kka_gu_PAST+iri_a_2SH
naguwwi  nagu(V21)+uwwa_u_FUT+wwi_wwa_2S
naguwwIri nagu(V21)+uwwa_u_FUT+wwIri_wwa_2P
