niMwanu nillu(V4)+Mwa_llu_PAST+anu_a_3SM   
niMwalYu nillu(V4)+Mwa_llu_PAST+alYu_a_3SF
niMwiwu nillu(V4)+Mwa_llu_PAST+iwu_a_3SN 
niMwaru nillu(V4)+Mwa_llu_PAST+aru_a_3P
niMwaru nillu(V4)+Mwa_llu_PAST+aru_a_3SH
niMwavu nillu(V4)+Mwa_llu_PAST+avu_a_3PN
nilluwwAneV nillu(V4)+uwwa_u_FUT+AneV_a_3SM
nilluwwAlYeV nillu(V4)+uwwa_u_FUT+AlYeV_a_3SF
nilluwwaxeV nillu(V4)+uwwa_u_FUT+axeV_a_3SN
nilluwwAreV nillu(V4)+uwwa_u_FUT+AreV_a_3P
nilluwwAreV nillu(V4)+uwwa_u_FUT+AreV_a_3SH
nilluwwaveV nillu(V4)+uwwa_u_FUT+aveV_a_3PN
nilluvanu nillu(V4)+va_#_FUT+anu_a_3SM
nilluva nillu(V4)+va_#_FUT+a_a_3FM
nilluvuxu nillu(V4)+va_#_FUT+uxu_a_3SN
nilluva nillu(V4)+va_#_FUT+a_a_3P
nilluva nillu(V4)+va_#_FUT+a_a_3SH
nilluvuvu nillu(V4)+va_#_FUT+vuvu_va_3PN
niMweVnu nillu(V4)+Mwa_llu_PAST+eVnu_a_1S
niMweVvu nillu(V4)+Mwa_llu_PAST+eVvu_a_1P
nilluwweneV nillu(V4)+uwwa_u_FUT+eneV_a_1S
nilluwweveV nillu(V4)+uwwa_u_FUT+eveV_a_1P

nilluveVnu nillu(V4)+va_#_FUT+eVnu_a_1P
nilluveVvu nillu(V4)+va_#_FUT+eVvu_a_1P

nilloNa nillu(V4)+oNa_u_1P
nilluvanA nillu(V4)+vanA_#_1P

niMwi nillu(V4)+Mwa_llu_PAST+i_a_2S
niMwiri nillu(V4)+Mwa_llu_PAST+iri_a_2P
niMwiri nillu(V4)+Mwa_llu_PAST+iri_a_2SH
nilluwwi  nillu(V4)+wwa_#_FUT+wwi_wwa_2S
nilluwwIri nillu(V4)+wwa_#_FUT+wwIri_wwa_2P
nilluwwIri nillu(V4)+wwa_#_FUT+wwIri_wwa_2SH
nilluviri nillu(V4)+va_#_FUT+viri_va_2P
nilluviri nillu(V4)+va_#_FUT+viri_va_2SH
nilluva nillu(V4)+va_#_FUT_#_RP
niMwa nillu(V4)+Mwa_llu_PAST_#_RP
nillalu nillu(V4)+alu_u_INFN_#_INCH
nillalikkeV nillu(V4)+alikkeV_u_INFN_#_INCH
nillokeV nillu(V4)+okeV_u_INFN_#_INCH
nillabeku nillu(V4)+a_u_AVY+beku_#_FUT_#_IMPR
nillakUdaxu nillu(V4)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
nillabAraxu nillu(V4)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
nillanu nillu(V4)+anu_u_FUTNEG_#_3SM
nilla nillu(V4)+a_u_FUTNEG_#_3SF
nillaxu nillu(V4)+axu_u_FUTNEG_#_3SN
nilla nillu(V4)+a_u_FUTNEG_#_3P
nilla nillu(V4)+a_u_FUTNEG_#_3SH
nillavu nillu(V4)+avu_u_FUTNEG_#_3PN
nillalAreV nillu(V4)+alu_u_FUTNEG+AreV_u_1S
nillalAreVvu nillu(V4)+alu_u_FUTNEG+AreVvu_u_1P
nillalAreV nillu(V4)+alu_u_FUTNEG+AreV_u_2S
nillalAriri nillu(V4)+alu_u_FUTNEG+Ariri_u_2P
nillalAriri nillu(V4)+alu_u_FUTNEG+Ariri_u_2SH
nillalAranu nillu(V4)+alu_u_FUTNEG+Aranu_u_3SM
nillalAra nillu(V4)+alu_u_FUTNEG+Ara_u_3SF
nillalAraxu nillu(V4)+alu_u_FUTNEG+Araxu_u_3SN
nillalAra nillu(V4)+alu_u_FUTNEG+Ara_u_3P
nillalAra nillu(V4)+alu_u_FUTNEG+Ara_u_3SH
nillalAravu nillu(V4)+alu_u_FUTNEG+Aravu_u_3PN
nillalAraxa nillu(V4)+alu_u_NEG+Araxa_u_3
nillaxa nillu(V4)+axa_u_NFV_#_NEG
nillaxeV nillu(V4)+axeV_u_NFV_#_NEG
niMwarU nillu(V4)+MwarU_llu_NFV_#_CONS
nilluwwA nillu(V4)+uwwa_u_NFV+A_a_PRESCONT
niMwu nillu(V4)+Mwu_llu_NFV_#_PERF
nillali nillu(V4)+ali_u_FUTOPT_#_3SM
nillali nillu(V4)+ali_u_FUTOPT_#_3SF
nillali nillu(V4)+ali_u_FUTOPT_#_3P
nillali nillu(V4)+ali_u_FUTOPT_#_3SH
nillali nillu(V4)+ali_u_FUTOPT_#_3SN
nillali nillu(V4)+ali_u_FUTOPT_#_3SM
nilli nillu(V4)+i_u_FUTPERM_2P
nilli nillu(V4)+i_u_FUTPERM_2SH
nillaballa nillu(V4)+nilla_nillu_AVY+balla_#_FUTINF_#_CAP
nillaballanu nillu(V4)+nilla_nillu_AVY+balla_#_FUTCAP+anu_a_3SM
nillaballa nillu(V4)+nilla_nillu_AVY+balla_#_FUTCAP+a_a_3SF
nillaballaxu nillu(V4)+nilla_nillu_AVY+balla_#_FUTCAP+axu_a_3SN
nillaballa nillu(V4)+nilla_nillu_AVY+balla_#_FUTCAP+a_a_3P
nillaballa nillu(V4)+nilla_nillu_AVY+balla_#_FUTCAP+a_a_3SH
nillaballavu nillu(V4)+nilla_nillu_AVY+balla_#_FUTCAP+avu_a_3PN
niMwAnu nillu(V4)+Mwa_llu_FUTDUB+Anu_a_3SM  
niMwAlYu nillu(V4)+Mwa_llu_FUTDUB+AlYu_a_3SF
niMwAru nillu(V4)+Mwa_llu_FUTDUB+Aru_a_3P
niMwAru nillu(V4)+Mwa_llu_FUTDUB+Aru_a_3SH
niMwIwu nillu(V4)+Mwa_llu_FUTDUB+Iwu_a_3SN
niMwAvu nillu(V4)+Mwa_llu_FUTDUB+Avu_a_3PN
niMwenu nillu(V4)+Mwa_llu_FUTDUB+enu_a_1S
niMwevu nillu(V4)+Mwa_llu_FUTDUB+evu_a_1P
niMwIyeV nillu(V4)+Mwa_llu_FUTDUB+IyeV_a_2S
niMwIri nillu(V4)+Mwa_llu_FUTDUB+Iri_a_2P
niMwIri nillu(V4)+Mwa_llu_FUTDUB+Iri_a_2SH
niMwareV nillu(V4)+Mwa_llu_NFV+areV_a_COND
niMwalli nillu(V4)+Mwa_llu_NFV+alli_a_COND

nilluvuxilla nillu(V4)+vuxu_#_AVY+illa_u_NEG
nillabahuxu nillu(V4)+a_u_AVY+bahuxu_#_FUTPOTEN
nillalebeku nillu(V4)+alu_u_COMP+e_u_AVY+beku_#_FUT
nilluvavanu nillu(V4)+va_#_PRP+avanu_a_3SM
nilluvavalYu nillu(V4)+va_#_PRP+avalYu_a_3FM
nilluvava nillu(V4)+va_#_PRP+ava_a_3P
nillaxavanu nillu(V4)+axa_u_PRP+avanu_a_3SM
nillaxavalYu nillu(V4)+axa_u_PRP+avalYu_a_3FM
nillaxava nillu(V4)+axa_u_PRP+ava_a_3P
niMwavanu nillu(V4)+Mwa_llu_PRP+avanu_a_3SM 
niMwavalYu nillu(V4)+Mwa_llu_PRP+avalYu_a_3FM 
niMwavaru nillu(V4)+Mwa_llu_PRP+avaru_a_3P 
nillalAraxavanu nillu(V4)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
nillalAraxavalYu nillu(V4)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
nillalAraxava nillu(V4)+alu_u_AVY+Araxa_u_PRP+ava_a_3P 
