noVMxanu noyu(V17)+noVMxa_noyu_PAST+anu_a_3SM   
noVMxalYu noyu(V17)+noVMxa_noyu_PAST+alYu_a_3SF
noVMxiwu noyu(V17)+noVMxa_noyu_PAST+iwu_a_3SN 
noVMxaru noyu(V17)+noVMxa_noyu_PAST+aru_a_3P
noVMxaru noyu(V17)+noVMxa_noyu_PAST+aru_a_3SH
noVMxavu noyu(V17)+noVMxa_noyu_PAST+avu_a_3PN
noyuwwAneV noyu(V17)+uwwa_u_FUT+AneV_a_3SM
noyuwwAlYeV noyu(V17)+uwwa_u_FUT+AlYeV_a_3SF
noyuwwaxeV noyu(V17)+uwwa_u_FUT+axeV_a_3SN
noyuwwAreV noyu(V17)+uwwa_u_FUT+AreV_a_3P
noyuwwAreV noyu(V17)+uwwa_u_FUT+AreV_a_3SH
noyuwwaveV noyu(V17)+uwwa_u_FUT+aveV_a_3PN
noyuvanu noyu(V17)+va_#_FUT+anu_a_3SM
noyuvalYu noyu(V17)+va_#_FUT+alYu_a_3FM
noyuvuxu noyu(V17)+va_#_FUT+uxu_a_3SN
noyuvaru noyu(V17)+va_#_FUT+aru_a_3P
noyuvaru noyu(V17)+va_#_FUT+aru_a_3SH
noyuvuvu noyu(V17)+va_#_FUT+vuvu_va_3PN
noVMxeVnu noyu(V17)+noVMxa_noyu_PAST+eVnu_a_1S
noVMxeVvu noyu(V17)+noVMxa_noyu_PAST+eVvu_a_1P
noyuwweneV noyu(V17)+uwwa_u_FUT+eneV_a_1S
noyuwweveV noyu(V17)+uwwa_u_FUT+eveV_a_1P
noyuveVnu noyu(V17)+va_#_FUT+eVnu_a_1S
noyuveVvu noyu(V17)+va_#_FUT+eVvu_a_1P
noyoNa noyu(V17)+oNa_u_1P
noyuvanA noyu(V17)+vanA_#_1P
noVMxi noyu(V17)+noVMxa_noyu_PAST+i_a_2S
noVMxiri noyu(V17)+noVMxa_noyu_PAST+iri_a_2S
noVMxiri noyu(V17)+noVMxa_noyu_PAST+iri_a_2SH
noyuwwi  noyu(V17)+uwwa_u_FUT+wwi_wwa_2S
noyuwwiri noyu(V17)+uwwa_u_FUT+wwiri_wwa_2P
noyuwwiri noyu(V17)+uwwa_u_FUT+wwiri_wwa_2SH
noyuviri noyu(V17)+va_#_FUT+viri_va_2P
noyuviri noyu(V17)+va_#_FUT+viri_va_2SH
noyuva noyu(V17)+va_#_FUT_#_RP
noVMxa noyu(V17)+noVMxa_noyu_PAST_#_RP
noyalu noyu(V17)+alu_u_INFN_#_INCH
noyalikkeV noyu(V17)+alikkeV_u_INFN_#_INCH
