oVNagisixanu oVNagisu(V34)+ixa_u_PAST+anu_a_3SM   
oVNagisixalYu oVNagisu(V34)+ixa_u_PAST+alYu_a_3SF
oVNagisixiwu oVNagisu(V34)+ixa_u_PAST+iwu_a_3SN 
oVNagisixaru oVNagisu(V34)+ixa_u_PAST+aru_a_3P
oVNagisixaru oVNagisu(V34)+ixa_u_PAST+aru_a_3SH
oVNagisixavu oVNagisu(V34)+ixa_u_PAST+avu_a_3PN
oVNagisuwwAneV oVNagisu(V34)+uwwa_u_FUT+AneV_a_3SM
oVNagisuwwAlYeV oVNagisu(V34)+uwwa_u_FUT+AlYeV_a_3SF
oVNagisuwwaxeV oVNagisu(V34)+uwwa_u_FUT+axeV_a_3SN
oVNagisuwwAreV oVNagisu(V34)+uwwa_u_FUT+AreV_a_3P
oVNagisuwwAreV oVNagisu(V34)+uwwa_u_FUT+AreV_a_3SH
oVNagisuwwaveV oVNagisu(V34)+uwwa_u_FUT+aveV_a_3PN
oVNagisuvanu oVNagisu(V34)+va_#_FUT+anu_a_3SM
oVNagisuvalYu oVNagisu(V34)+va_#_FUT+alYu_a_3FM
oVNagisuvuxu oVNagisu(V34)+va_#_FUT+uxu_a_3SN
oVNagisuvaru oVNagisu(V34)+va_#_FUT+aru_a_3P
oVNagisuvaru oVNagisu(V34)+va_#_FUT+aru_a_3SH
oVNagisuvuvu oVNagisu(V34)+va_#_FUT+vuvu_va_3PN
oVNagisixeVnu oVNagisu(V34)+ixa_u_PAST+eVnu_a_1S
oVNagisixeVvu oVNagisu(V34)+ixa_u_PAST+eVvu_a_1P
oVNagisuwweneV oVNagisu(V34)+uwwa_u_FUT+eneV_a_1S
oVNagisuwweveV oVNagisu(V34)+uwwa_u_FUT+eveV_a_1P
oVNagisuveVnu oVNagisu(V34)+va_#_FUT+eVnu_a_1S
oVNagisuveVvu oVNagisu(V34)+va_#_FUT+eVvu_a_1P
oVNagisoNa oVNagisu(V34)+oNa_u_1P
oVNagisuvanA oVNagisu(V34)+vanA_#_1P
oVNagisixi oVNagisu(V34)+ixa_u_PAST+i_a_2S
