uMdanu uNNu(V30)+Mda_NNu_PAST+anu_a_3SM        
uMdalYu uNNu(V30)+Mda_NNu_PAST+alYu_a_3SF
uMdiwu uNNu(V30)+Mda_NNu_PAST+iwu_a_3SN 
uMdaru uNNu(V30)+Mda_NNu_PAST+aru_a_3P
uMdaru uNNu(V30)+Mda_NNu_PAST+aru_a_3SH
uMdavu uNNu(V30)+Mda_NNu_PAST+avu_a_3PN
uNNuwwAneV uNNu(V30)+uwwa_u_FUT+AneV_a_3SM
uNNuwwAlYeV uNNu(V30)+uwwa_u_FUT+AlYeV_a_3SF
uNNuwwaxeV uNNu(V30)+uwwa_u_FUT+axeV_a_3SN
uNNuwwAreV uNNu(V30)+uwwa_u_FUT+AreV_a_3P
uNNuwwAreV uNNu(V30)+uwwa_u_FUT+AreV_a_3SH
uNNuwwaveV uNNu(V30)+uwwa_u_FUT+aveV_a_3PN
uNNuvNNu uNNu(V30)+va_#_FUT+NNu_a_3SM
uNNuvalYu uNNu(V30)+va_#_FUT+alYu_a_3FM
uNNuvuxu uNNu(V30)+va_#_FUT+uxu_a_3SN
uNNuvaru uNNu(V30)+va_#_FUT+aru_a_3P
uNNuvaru uNNu(V30)+va_#_FUT+aru_a_3SH
uNNuvuvu uNNu(V30)+va_#_FUT+vuvu_va_3PN
uMdeVnu uNNu(V30)+Mda_NNu_PAST+eVnu_a_1S
uMdeVvu uNNu(V30)+Mda_NNu_PAST+eVvu_a_1P
uNNuwweneV uNNu(V30)+uwwa_u_FUT+eneV_a_1S
uNNuwweveV uNNu(V30)+uwwa_u_FUT+eveV_a_1P
uNNuveVnu uNNu(V30)+va_#_FUT+eVnu_a_1S
uNNuveVvu uNNu(V30)+va_#_FUT+eVvu_a_1P
uNNoNa uNNu(V30)+oNa_u_1P
uNNuvanA uNNu(V30)+vanA_#_1P
uMdi uNNu(V30)+Mda_NNu_PAST+i_a_2S
uMdiri uNNu(V30)+Mda_NNu_PAST+iri_a_2S
uMdiri uNNu(V30)+Mda_NNu_PAST+iri_a_2SH
uNNuwwi  uNNu(V30)+uwwa_u_FUT+wwi_wwa_2S
uNNuwwIri uNNu(V30)+uwwa_u_FUT+wwIri_wwa_2P
uNNuwwIri uNNu(V30)+uwwa_u_FUT+wwIri_wwa_2SH
uNNuviri uNNu(V30)+va_#_FUT+viri_va_2P
uNNuviri uNNu(V30)+va_#_FUT+viri_va_2SH
uNNuva uNNu(V30)+va_#_FUT_#_RP
uMda uNNu(V30)+Mda_NNu_PAST_#_RP
uNNalu uNNu(V30)+alu_u_INFN_#_INCH
uNNalikkeV uNNu(V30)+alikkeV_u_INFN_#_INCH
uNNokeV uNNu(V30)+okeV_u_INFN_#_INCH
uNNabeku uNNu(V30)+a_u_AVY+beku_#_FUT_#_IMPR
uNNakUdaxu uNNu(V30)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
uNNabAraxu uNNu(V30)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
uNNNNu uNNu(V30)+NNu_u_FUTNEG_#_3SM
uNNalYu uNNu(V30)+alYu_u_FUTNEG_#_3SF
uNNaxu uNNu(V30)+axu_u_FUTNEG_#_3SN
uNNaru uNNu(V30)+aru_u_FUTNEG_#_3P
uNNaru uNNu(V30)+aru_u_FUTNEG_#_3SH
uNNavu uNNu(V30)+avu_u_FUTNEG_#_3PN
uNNalAreV uNNu(V30)+alu_u_FUTNEG+AreV_u_1S
uNNalAreVvu uNNu(V30)+alu_u_FUTNEG+AreVvu_u_1P
uNNalAreVnu uNNu(V30)+alu_u_FUTNEG+AreVnu_u_2S
uNNalAriri uNNu(V30)+alu_u_FUTNEG+Ariri_u_2P
uNNalAriri uNNu(V30)+alu_u_FUTNEG+Ariri_u_2SH
uNNalArNNu uNNu(V30)+alu_u_FUTNEG+ArNNu_u_3SM
uNNalAralYu uNNu(V30)+alu_u_FUTNEG+AralYu_u_3SF
uNNalAraxu uNNu(V30)+alu_u_FUTNEG+Araxu_u_3SN
uNNalAraru uNNu(V30)+alu_u_FUTNEG+Araru_u_3P
uNNalAraru uNNu(V30)+alu_u_FUTNEG+Araru_u_3SH
uNNalAravu uNNu(V30)+alu_u_FUTNEG+Aravu_u_3PN
uNNalArxa uNNu(V30)+alu_u_NEG+Arxa_u_3
uNNaxa uNNu(V30)+axa_u_NFV_#_NEG
uNNaxeV uNNu(V30)+axeV_u_NFV_#_NEG
uMdarU uNNu(V30)+MdarU_NNu_NFV_#_CONS
uNNuwwA uNNu(V30)+uwwa_u_NFV+A_a_PRESCONT
uMdu uNNu(V30)+Mdu_NNu_NFV_#_PASTPERF
uNNali uNNu(V30)+ali_u_FUTOPT_#_3SM
uNNali uNNu(V30)+ali_u_FUTOPT_#_3SF
uNNali uNNu(V30)+ali_u_FUTOPT_#_3P
uNNali uNNu(V30)+ali_u_FUTOPT_#_3SH
uNNali uNNu(V30)+ali_u_FUTOPT_#_3SN
uNNali uNNu(V30)+ali_u_FUTOPT_#_3SM

