uwwanu ulYu(V1)+wwa_lYu_PAST+anu_a_3SM     
uwwalYu ulYu(V1)+wwa_lYu_PAST+alYu_a_3SF
uwwiwu ulYu(V1)+wwa_lYu_PAST+iwu_a_3SN 
uwwaru ulYu(V1)+wwa_lYu_PAST+aru_a_3P
uwwaru ulYu(V1)+wwa_lYu_PAST+aru_a_3SH
uwwavu ulYu(V1)+wwa_lYu_PAST+avu_a_3PN
ulYuwwAneV ulYu(V1)+uwwa_u_FUT+AneV_a_3SM
ulYuwwAlYeV ulYu(V1)+uwwa_u_FUT+AlYeV_a_3SF
ulYuwwaxeV ulYu(V1)+uwwa_u_FUT+axeV_a_3SN
ulYuwwAreV ulYu(V1)+uwwa_u_FUT+AreV_a_3P
ulYuwwAreV ulYu(V1)+uwwa_u_FUT+AreV_a_3SH
ulYuwwaveV ulYu(V1)+uwwa_u_FUT+aveV_a_3PN
ulYuvanu ulYu(V1)+va_#_FUT+anu_a_3SM
ulYuvalYu ulYu(V1)+va_#_FUT+alYu_a_3FM
ulYuvuxu ulYu(V1)+va_#_FUT+uxu_a_3SN
ulYuvaru ulYu(V1)+va_#_FUT+aru_a_3P
ulYuvaru ulYu(V1)+va_#_FUT+aru_a_3SH
ulYuvuvu ulYu(V1)+va_#_FUT+vuvu_va_3PN
uwweVnu ulYu(V1)+wwa_lYu_PAST+eVnu_a_1S
uwweVvu ulYu(V1)+wwa_lYu_PAST+eVvu_a_1P
ulYuwweneV ulYu(V1)+uwwa_u_FUT+eneV_a_1S
ulYuwweveV ulYu(V1)+uwwa_u_FUT+eveV_a_1P
ulYveVnu ulYu(V1)+va_u_FUT+eVnu_a_1P
ulYuveVvu ulYu(V1)+va_#_FUT+eVvu_a_1P
ulYoNa ulYu(V1)+lYoNa_lYu_1P
ulYuvanA ulYu(V1)+vanA_#_1P
uwwi ulYu(V1)+wwa_lYu_PAST+i_a_2S
uwwiri ulYu(V1)+wwa_lYu_PAST+iri_a_2S
uwwiri ulYu(V1)+wwa_lYu_PAST+iri_a_2SH
ulYuwwi  ulYu(V1)+lYuwwa_lYu_FUT+wwi_wwa_2S
ulYuwwIri ulYu(V1)+lYuwwa_lYu_FUT+wwIri_wwa_2P
ulYuwwIri ulYu(V1)+lYuwwa_lYu_FUT+wwIri_wwa_2SH
