wiMxanu winnu(V15)+Mxa_nnu_PAST+anu_a_3SM 
wiMxalYu winnu(V15)+Mxa_nnu_PAST+alYu_a_3SF
wiMxiwu winnu(V15)+Mxa_nnu_PAST+iwu_a_3SN 
wiMxaru winnu(V15)+Mxa_nnu_PAST+aru_a_3P
wiMxaru winnu(V15)+Mxa_nnu_PAST+aru_a_3SH
wiMxavu winnu(V15)+Mxa_nnu_PAST+avu_a_3PN
winnuwwAneV winnu(V15)+uwwa_u_FUT+AneV_a_3SM
winnuwwAlYeV winnu(V15)+uwwa_u_FUT+AlYeV_a_3SF
winnuwwaxeV winnu(V15)+uwwa_u_FUT+axeV_a_3SN
winnuwwAreV winnu(V15)+uwwa_u_FUT+AreV_a_3P
winnuwwAreV winnu(V15)+uwwa_u_FUT+AreV_a_3SH
winnuwwaveV winnu(V15)+uwwa_u_FUT+aveV_a_3PN
winnuvanu winnu(V15)+va_#_FUT+anu_a_3SM
winnuvalYu winnu(V15)+va_#_FUT+alYu_a_3FM
winnuvuxu winnu(V15)+va_#_FUT+uxu_a_3SN
winnuvaru winnu(V15)+va_#_FUT+aru_a_3P
winnuvaru winnu(V15)+va_#_FUT+aru_a_3SH
winnuvuvu winnu(V15)+va_#_FUT+vuvu_va_3PN
wiMxeVnu winnu(V15)+Mxa_nnu_PAST+eVnu_a_1S
wiMxeVvu winnu(V15)+Mxa_nnu_PAST+eVvu_a_1P
winnuwweneV winnu(V15)+uwwa_u_FUT+eneV_a_1S
winnuwweveV winnu(V15)+uwwa_u_FUT+eveV_a_1P
winnuveVnu winnu(V15)+va_#_FUT+eVnu_a_1S
winnuveVvu winnu(V15)+va_#_FUT+eVvu_a_1P
winnoNa winnu(V15)+oNa_u_1P
winnuvanA winnu(V15)+vanA_#_1P
wiMxi winnu(V15)+Mxa_nnu_PAST+i_a_2S
wiMxiri winnu(V15)+Mxa_nnu_PAST+iri_a_2S
wiMxiri winnu(V15)+Mxa_nnu_PAST+iri_a_2SH
winnuwwi  winnu(V15)+uwwa_u_FUT+wwi_wwa_2S
winnuwwIri winnu(V15)+uwwa_u_FUT+wwIri_wwa_2P
winnuwwIri winnu(V15)+uwwa_u_FUT+wwIri_wwa_2SH
winnuviri winnu(V15)+va_#_FUT+viri_va_2P
winnuviri winnu(V15)+va_#_FUT+viri_va_2SH
winnuva winnu(V15)+va_#_FUT_#_RP
wiMxa winnu(V15)+Mxa_nnu_PAST_#_RP
winnalu winnu(V15)+alu_u_INFN_#_INCH
winnalikkeV winnu(V15)+alikkeV_u_INFN_#_INCH
winnokeV winnu(V15)+okeV_u_INFN_#_INCH
winnabeku winnu(V15)+a_u_AVY+beku_#_FUT_#_IMPR
winnakUdaxu winnu(V15)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
winnabAraxu winnu(V15)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
winnanu winnu(V15)+anu_u_FUTNEG_#_3SM
winnalYu winnu(V15)+alYu_u_FUTNEG_#_3SF
winnaxu winnu(V15)+axu_u_FUTNEG_#_3SN
winnaru winnu(V15)+aru_u_FUTNEG_#_3P
winnaru winnu(V15)+aru_u_FUTNEG_#_3SH
winnavu winnu(V15)+avu_u_FUTNEG_#_3PN
winnalAreV winnu(V15)+alu_u_FUTNEG+AreV_u_1S
winnalAreVvu winnu(V15)+alu_u_FUTNEG+AreVvu_u_1P
winnalAreVnu winnu(V15)+alu_u_FUTNEG+AreVnu_u_2S
winnalAriri winnu(V15)+alu_u_FUTNEG+Ariri_u_2P
winnalAriri winnu(V15)+alu_u_FUTNEG+Ariri_u_2SH
winnalAranu winnu(V15)+alu_u_FUTNEG+Aranu_u_3SM
winnalAralYu winnu(V15)+alu_u_FUTNEG+AralYu_u_3SF
winnalAraxu winnu(V15)+alu_u_FUTNEG+Araxu_u_3SN
winnalAraru winnu(V15)+alu_u_FUTNEG+Araru_u_3P
winnalAraru winnu(V15)+alu_u_FUTNEG+Araru_u_3SH
winnalAravu winnu(V15)+alu_u_FUTNEG+Aravu_u_3PN
winnalArxa winnu(V15)+alu_u_NEG+Arxa_u_3
winnaxa winnu(V15)+axa_u_NFV_#_NEG
winnaxeV winnu(V15)+axeV_u_NFV_#_NEG
wiMxarU winnu(V15)+MxarU_nnu_NFV_#_CONS
winnuwwA winnu(V15)+uwwa_u_NFV+A_a_PRESCONT
winni winnu(V15)+i_u_NFV_#_PASTPERF
winnali winnu(V15)+ali_u_FUTOPT_#_3SM
winnali winnu(V15)+ali_u_FUTOPT_#_3SF
winnali winnu(V15)+ali_u_FUTOPT_#_3P
winnali winnu(V15)+ali_u_FUTOPT_#_3SH
winnali winnu(V15)+ali_u_FUTOPT_#_3SN
winnali winnu(V15)+ali_u_FUTOPT_#_3SM
winni winnu(V15)+i_u_FUTPERM_2P
winni winnu(V15)+i_u_FUTPERM_2SH
winnaballa winnu(V15)+winna_winnu_AVY+balla_#_FUTINF_#_CAP
winnaballanu winnu(V15)+winna_winnu_AVY+balla_#_FUTCAP+anu_a_3SM
winnaballalYu winnu(V15)+winna_winnu_AVY+balla_#_FUTCAP+alYu_a_3SF
winnaballaxu winnu(V15)+winna_winnu_AVY+balla_#_FUTCAP+axu_a_3SN
winnaballaru winnu(V15)+winna_winnu_AVY+balla_#_FUTCAP+aru_a_3P
winnaballaru winnu(V15)+winna_winnu_AVY+balla_#_FUTCAP+aru_a_3SH
winnaballavu winnu(V15)+winna_winnu_AVY+balla_#_FUTCAP+avu_a_3PN
wiMxAnu winnu(V15)+Mxa_nnu_FUTDUB+Anu_a_3SM
wiMxAlYu winnu(V15)+Mxa_nnu_FUTDUB+AlYu_a_3SF
wiMxAru winnu(V15)+Mxa_nnu_FUTDUB+Aru_a_3P
